#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 none
# number of wavelengths
          38
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
      4     0.657863523E+01     0.680407573E+01     0.678021948E+01     0.657896420E+01    -0.547329057E-01     0.357837410E-03
      5     0.754750380E+01     0.773114262E+01     0.771629807E+01     0.754755572E+01    -0.460876663E-01    -0.477939164E-02
      6     0.842203346E+01     0.857654827E+01     0.856637444E+01     0.842143163E+01    -0.414892790E-01    -0.518083678E-02
      7     0.921711173E+01     0.935014008E+01     0.934338984E+01     0.921678425E+01    -0.396180612E-01    -0.498378972E-02
      8     0.993602223E+01     0.100565368E+02     0.100513395E+02     0.993553456E+01    -0.393400960E-01    -0.408199849E-02
# lambda =      8.5470
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.959810754E+00     0.000000000E+00     0.000000000E+00
      1     0.275261634E+01     0.000000000E+00     0.000000000E+00     0.275357760E+01     0.000000000E+00     0.000000000E+00
      2     0.422520473E+01     0.465031925E+01     0.458915078E+01     0.422927475E+01    -0.714472061E-01     0.147335631E-01
      3     0.547243637E+01     0.575937563E+01     0.572115255E+01     0.547387713E+01    -0.647572255E-01     0.710043383E-02
      4     0.655550232E+01     0.678324307E+01     0.675992321E+01     0.655579677E+01    -0.544390314E-01     0.480491064E-03
      5     0.751322818E+01     0.769883902E+01     0.768423771E+01     0.751320834E+01    -0.458554123E-01    -0.477657446E-02
      6     0.837544019E+01     0.853167703E+01     0.852170188E+01     0.837483639E+01    -0.413021409E-01    -0.524884951E-02
      7     0.915776241E+01     0.929210700E+01     0.928547857E+01     0.915746124E+01    -0.393631761E-01    -0.501843235E-02
      8     0.986378445E+01     0.998541405E+01     0.998022085E+01     0.986324120E+01    -0.390543055E-01    -0.418526395E-02
# lambda =      8.6957
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
