#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 none
# number of wavelengths
          38
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
      4     0.521323519E+01     0.563912197E+01     0.562172811E+01     0.520988111E+01    -0.381202601E-01     0.509814793E-01
      5     0.542140035E+01     0.575609174E+01     0.573937849E+01     0.542088008E+01    -0.693504681E-01     0.908173160E-01
      6     0.542624038E+01     0.574256423E+01     0.572642738E+01     0.542907703E+01    -0.638619689E-01     0.117100046E+00
      7     0.527810252E+01     0.553042218E+01     0.551404036E+01     0.528369825E+01    -0.793792413E-01     0.149081541E+00
      8     0.499998264E+01     0.524578609E+01     0.522815679E+01     0.500644401E+01    -0.723688349E-01     0.175254119E+00
# lambda =      8.5470
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.979693876E+00     0.000000000E+00     0.000000000E+00
      1     0.269664928E+01     0.000000000E+00     0.000000000E+00     0.269352987E+01     0.000000000E+00     0.000000000E+00
      2     0.395897086E+01     0.457110337E+01     0.453792841E+01     0.394738529E+01     0.817472083E-03    -0.521278887E-02
      3     0.477303419E+01     0.523159667E+01     0.521573091E+01     0.476792498E+01    -0.334450772E-01     0.397604956E-01
      4     0.524498788E+01     0.567300972E+01     0.565617941E+01     0.524178428E+01    -0.354591539E-01     0.550764701E-01
      5     0.544788654E+01     0.578878428E+01     0.577269702E+01     0.544763489E+01    -0.657421323E-01     0.942527412E-01
      6     0.543958935E+01     0.576056477E+01     0.574488918E+01     0.544259627E+01    -0.614329043E-01     0.122215468E+00
      7     0.527241758E+01     0.553131266E+01     0.551536617E+01     0.527813391E+01    -0.758977139E-01     0.153849852E+00
      8     0.497238623E+01     0.522172085E+01     0.520453419E+01     0.497894722E+01    -0.695333918E-01     0.179978586E+00
# lambda =      8.6957
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.980396385E+00     0.000000000E+00     0.000000000E+00
      1     0.270530644E+01     0.000000000E+00     0.000000000E+00     0.270227902E+01     0.000000000E+00     0.000000000E+00
      2     0.397801910E+01     0.458156903E+01     0.454955698E+01     0.396684586E+01     0.334481584E-02    -0.293638846E-02
      3     0.480300734E+01     0.526197222E+01     0.524664536E+01     0.479810221E+01    -0.301836039E-01     0.409013281E-01
      4     0.527795418E+01     0.570810625E+01     0.569184757E+01     0.527492020E+01    -0.323387225E-01     0.591920631E-01
      5     0.547550711E+01     0.582280408E+01     0.580732987E+01     0.547551123E+01    -0.614195656E-01     0.978006850E-01
      6     0.545378463E+01     0.577955014E+01     0.576434670E+01     0.545695256E+01    -0.582004724E-01     0.127374059E+00
      7     0.526704964E+01     0.553269201E+01     0.551719295E+01     0.527286887E+01    -0.714813160E-01     0.158692683E+00
      8     0.494461665E+01     0.519756657E+01     0.518083213E+01     0.495124392E+01    -0.656933583E-01     0.184679479E+00
# lambda =      8.8496
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.981100557E+00     0.000000000E+00     0.000000000E+00
      1     0.271442800E+01     0.000000000E+00     0.000000000E+00     0.271151319E+01     0.000000000E+00     0.000000000E+00
      2     0.399836729E+01     0.459265554E+01     0.456179903E+01     0.398764858E+01     0.610010232E-02    -0.564226529E-03
      3     0.483505110E+01     0.529443642E+01     0.527962028E+01     0.483034885E+01    -0.263844422E-01     0.420576867E-01
      4     0.531358875E+01     0.574584155E+01     0.573017883E+01     0.531074787E+01    -0.286094203E-01     0.633508309E-01
      5     0.550589885E+01     0.585988044E+01     0.584501614E+01     0.550614226E+01    -0.561662390E-01     0.101454347E+00
      6     0.547048627E+01     0.580124320E+01     0.578653666E+01     0.547380231E+01    -0.539536860E-01     0.132575320E+00
      7     0.526354189E+01     0.553621868E+01     0.552119121E+01     0.526943812E+01    -0.658845933E-01     0.163584494E+00
      8     0.491803799E+01     0.517474274E+01     0.515848672E+01     0.492469323E+01    -0.606147957E-01     0.189320306E+00
# lambda =      9.0090
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.981723123E+00     0.000000000E+00     0.000000000E+00
      1     0.272281652E+01     0.000000000E+00     0.000000000E+00     0.272003671E+01     0.000000000E+00     0.000000000E+00
      2     0.401699516E+01     0.460286312E+01     0.457300511E+01     0.400671684E+01     0.883856058E-02     0.171030585E-02
      3     0.486377752E+01     0.532403971E+01     0.530966247E+01     0.485927730E+01    -0.224041945E-01     0.432732912E-01
      4     0.534454754E+01     0.577914656E+01     0.576402700E+01     0.534191583E+01    -0.245876167E-01     0.673407547E-01
      5     0.553035001E+01     0.589100946E+01     0.587668735E+01     0.553082468E+01    -0.504546233E-01     0.105165912E+00
      6     0.548026586E+01     0.581606582E+01     0.580181321E+01     0.548372888E+01    -0.490048799E-01     0.137624763E+00
      7     0.525244510E+01     0.553193928E+01     0.551734624E+01     0.525841555E+01    -0.595401065E-01     0.168399768E+00
      8     0.488359304E+01     0.514396669E+01     0.512814646E+01     0.489025530E+01    -0.546184177E-01     0.193726654E+00
# lambda =      9.1743
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.982292150E+00     0.000000000E+00     0.000000000E+00
      1     0.273121017E+01     0.000000000E+00     0.000000000E+00     0.272855573E+01     0.000000000E+00     0.000000000E+00
      2     0.403569821E+01     0.461307947E+01     0.458414301E+01     0.402588572E+01     0.117391456E-01     0.406120019E-02
      3     0.489235410E+01     0.535375681E+01     0.533972404E+01     0.488804347E+01    -0.179036415E-01     0.445704032E-01
      4     0.537510087E+01     0.581214604E+01     0.579753328E+01     0.537269440E+01    -0.199676389E-01     0.713574002E-01
      5     0.555388240E+01     0.592142190E+01     0.590758944E+01     0.555458100E+01    -0.438169890E-01     0.109042765E+00
      6     0.548851231E+01     0.582951400E+01     0.581568245E+01     0.549211625E+01    -0.429641210E-01     0.142716759E+00
      7     0.523912127E+01     0.552553472E+01     0.551135048E+01     0.524515700E+01    -0.519570976E-01     0.173289781E+00
      8     0.484640569E+01     0.511049846E+01     0.509508867E+01     0.485305530E+01    -0.472807965E-01     0.198070388E+00
# lambda =      9.3458
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.982839245E+00     0.000000000E+00     0.000000000E+00
      1     0.274002935E+01     0.000000000E+00     0.000000000E+00     0.273750083E+01     0.000000000E+00     0.000000000E+00
      2     0.405561183E+01     0.462385266E+01     0.459581039E+01     0.404632311E+01     0.149248669E-01     0.652943829E-02
      3     0.492271011E+01     0.538541585E+01     0.537164486E+01     0.491857809E+01    -0.126387247E-01     0.459147820E-01
      4     0.540773514E+01     0.584731384E+01     0.583320873E+01     0.540557982E+01    -0.144557339E-01     0.753872620E-01
      5     0.557924449E+01     0.595402756E+01     0.594065767E+01     0.558015212E+01    -0.358664323E-01     0.113013063E+00
      6     0.549794845E+01     0.584443821E+01     0.583103016E+01     0.550168056E+01    -0.354284231E-01     0.147774329E+00
      7     0.522603577E+01     0.551966092E+01     0.550589004E+01     0.523211009E+01    -0.426930187E-01     0.178115079E+00
      8     0.480858421E+01     0.507654645E+01     0.506156102E+01     0.481518904E+01    -0.381752287E-01     0.202187916E+00
# lambda =      9.5238
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.983305228E+00     0.000000000E+00     0.000000000E+00
      1     0.274821303E+01     0.000000000E+00     0.000000000E+00     0.274581813E+01     0.000000000E+00     0.000000000E+00
      2     0.407399301E+01     0.463384728E+01     0.460655902E+01     0.406523666E+01     0.181810778E-01     0.892158293E-02
      3     0.494991956E+01     0.541450673E+01     0.540089691E+01     0.494596102E+01    -0.698254553E-02     0.473187118E-01
      4     0.543559613E+01     0.587811249E+01     0.586445855E+01     0.543371016E+01    -0.836392309E-02     0.792275974E-01
      5     0.559818126E+01     0.598034004E+01     0.596736336E+01     0.559929295E+01    -0.271138923E-01     0.116955689E+00
      6     0.549952275E+01     0.585165604E+01     0.583862484E+01     0.550338057E+01    -0.267793102E-01     0.152569697E+00
      7     0.520403304E+01     0.550470292E+01     0.549130544E+01     0.521013774E+01    -0.322598632E-01     0.182647459E+00
      8     0.476132320E+01     0.503305705E+01     0.501845982E+01     0.476786512E+01    -0.277460833E-01     0.205816209E+00
# lambda =      9.7087
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.983736512E+00     0.000000000E+00     0.000000000E+00
      1     0.275682025E+01     0.000000000E+00     0.000000000E+00     0.275455078E+01     0.000000000E+00     0.000000000E+00
      2     0.409363684E+01     0.464439846E+01     0.461782596E+01     0.408548937E+01     0.217982900E-01     0.114118003E-01
      3     0.497887570E+01     0.544560964E+01     0.543204180E+01     0.497507906E+01    -0.307762381E-03     0.487519466E-01
      4     0.546527271E+01     0.591094977E+01     0.589773246E+01     0.546368406E+01    -0.101140311E-02     0.829687106E-01
      5     0.561835383E+01     0.600833886E+01     0.599571734E+01     0.561965504E+01    -0.165918348E-01     0.120852477E+00
      6     0.550130945E+01     0.585947465E+01     0.584681445E+01     0.550527810E+01    -0.160619980E-01     0.157112524E+00
      7     0.518097145E+01     0.548899064E+01     0.547596430E+01     0.518707366E+01    -0.195657228E-01     0.186823884E+00
      8     0.471190867E+01     0.498757857E+01     0.497338562E+01     0.471835651E+01    -0.149601032E-01     0.208871714E+00
# lambda =      9.9010
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.984080873E+00     0.000000000E+00     0.000000000E+00
      1     0.276510256E+01     0.000000000E+00     0.000000000E+00     0.276293981E+01     0.000000000E+00     0.000000000E+00
      2     0.411257596E+01     0.465454584E+01     0.462856671E+01     0.410507872E+01     0.256536122E-01     0.138704222E-01
      3     0.500602989E+01     0.547550262E+01     0.546182583E+01     0.500238783E+01     0.720064263E-02     0.502239173E-01
      4     0.549177352E+01     0.594109457E+01     0.592823813E+01     0.549049995E+01     0.749723466E-02     0.864635805E-01
      5     0.563370492E+01     0.603182283E+01     0.601947831E+01     0.563519330E+01    -0.452295912E-02     0.124585108E+00
      6     0.549663174E+01     0.586113330E+01     0.584878771E+01     0.550070618E+01    -0.338903826E-02     0.161206562E+00
      7     0.515008751E+01     0.546543525E+01     0.545273297E+01     0.515617277E+01    -0.481126823E-02     0.190421267E+00
      8     0.465385849E+01     0.493343898E+01     0.491961829E+01     0.466019831E+01     0.895898018E-05     0.211106022E+00
# lambda =     10.1010
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.984255140E+00     0.000000000E+00     0.000000000E+00
      1     0.277435772E+01     0.000000000E+00     0.000000000E+00     0.277213835E+01     0.000000000E+00     0.000000000E+00
      2     0.413437433E+01     0.466584434E+01     0.464032708E+01     0.412762244E+01     0.302673693E-01     0.167448968E-01
      3     0.503767813E+01     0.551015366E+01     0.549599219E+01     0.503414975E+01     0.169271718E-01     0.520372120E-01
      4     0.552383428E+01     0.597698548E+01     0.596427904E+01     0.552288433E+01     0.187114417E-01     0.901997206E-01
      5     0.565468360E+01     0.606162344E+01     0.604937435E+01     0.565638217E+01     0.112640172E-01     0.128705672E+00
      6     0.549682399E+01     0.586832430E+01     0.585612195E+01     0.550102381E+01     0.135839988E-01     0.165463487E+00
      7     0.512271184E+01     0.544604224E+01     0.543351161E+01     0.512880161E+01     0.146263274E-01     0.194088558E+00
      8     0.459790741E+01     0.488186884E+01     0.486829602E+01     0.460418192E+01     0.197857617E-01     0.213171554E+00
# lambda =     10.3093
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.984151823E+00     0.000000000E+00     0.000000000E+00
      1     0.278267406E+01     0.000000000E+00     0.000000000E+00     0.278025198E+01     0.000000000E+00     0.000000000E+00
      2     0.415399133E+01     0.467587520E+01     0.465047393E+01     0.414795504E+01     0.353512630E-01     0.196168231E-01
