#  
#  ARTDECO flux output for each k-dis band 
#  
# number of wavelengths
  38
# number of solar zenith angles
   1
# number of sampled altitudes 
  50
##################
# Wavelength (microns) 
       8.000000000
# Solar zenithal angle (deg) 
60.000
#     ALTITUDE           PRESSION           FLUX DW          FLUX UP           FLUX DIR
#       (KM)               (hPa)             (W.M-2)          (W.M-2)          (W.M-2) 
      19.000000000      62.800000000       0.041662790       1.169375461       0.036144932
      18.000000000      73.600000000       0.042174924       1.170124107       0.036077041
      17.000000000      86.100000000       0.042784342       1.171023180       0.035999284
      16.000000000     100.700000000       0.043508027       1.172106935       0.035910479
      15.000000000     117.800000000       0.044366357       1.173418144       0.035809220
      14.000000000     137.800000000       0.045383910       1.175011512       0.035693874
      13.000000000     161.100000000       0.046591116       1.176957742       0.035562480
      12.000000000     188.200000000       0.048024081       1.179344513       0.035412699
      11.000000000     219.900000000       0.049734491       1.182294018       0.035240919
      10.000000000     256.800000000       0.051825638       1.186006176       0.035038838
       9.000000000     299.300000000       0.055022284       1.190373374       0.034787415
       8.000000000     347.300000000       0.334633657       1.695310262       0.004988972
       7.000000000     401.600000000       0.368841440       1.779746265       0.004016545
       6.000000000     462.700000000       0.379537831       1.795955834       0.003937480
       5.000000000     531.300000000       0.399999935       1.815882297       0.003830315
       4.000000000     608.100000000       0.435930795       1.838958864       0.003684833
       3.000000000     693.800000000       0.499108925       1.863172920       0.003478803
       2.000000000     789.700000000       0.592211081       1.882853198       0.003216871
       1.000000000     897.300000000       0.713406452       1.892148401       0.002911271
       0.000000000    1018.000000000       2.066521270       2.093107537       0.000000000
# Wavelength (microns) 
       8.264462000
# Solar zenithal angle (deg) 
60.000
#     ALTITUDE           PRESSION           FLUX DW          FLUX UP           FLUX DIR
#       (KM)               (hPa)             (W.M-2)          (W.M-2)          (W.M-2) 
     120.000000000       0.000040000       0.035500535       1.283102132       0.035500535
     115.000000000       0.000060000       0.035500535       1.283102132       0.035500535
     110.000000000       0.000110000       0.035500535       1.283102132       0.035500535
     105.000000000       0.000200000       0.035500535       1.283102132       0.035500535
     100.000000000       0.000410000       0.035500535       1.283102132       0.035500535
      95.000000000       0.000880000       0.035500535       1.283102132       0.035500535
      90.000000000       0.001980000       0.035500535       1.283102132       0.035500535
      85.000000000       0.004560000       0.035500535       1.283102132       0.035500535
      80.000000000       0.010300000       0.035500535       1.283102132       0.035500535
      75.000000000       0.022200000       0.035500535       1.283102132       0.035500535
      70.000000000       0.047000000       0.035500535       1.283102132       0.035500535
      65.000000000       0.095000000       0.035503131       1.283102880       0.035500419
      60.000000000       0.188000000       0.035512425       1.283102337       0.035500116
      55.000000000       0.362000000       0.035539932       1.283094385       0.035499438
      50.000000000       0.683000000       0.035614309       1.283063735       0.035497924
      47.500000000       0.940000000       0.035678606       1.283035211       0.035496687
      45.000000000       1.290000000       0.035758184       1.283004112       0.035495012
      42.500000000       1.800000000       0.035844809       1.282981400       0.035492806
      40.000000000       2.530000000       0.035936338       1.282973970       0.035489908
      37.500000000       3.600000000       0.036030004       1.282989107       0.035486162
      35.000000000       5.180000000       0.036123218       1.283035281       0.035481366
      32.500000000       7.560000000       0.036214446       1.283122764       0.035475223
      30.000000000      11.100000000       0.036312429       1.283261215       0.035467101
      27.500000000      16.460000000       0.036434087       1.283464237       0.035455951
      25.000000000      24.400000000       0.036599619       1.283762316       0.035440051
      24.000000000      28.600000000       0.036681311       1.283911086       0.035432146
      23.000000000      33.400000000       0.036774521       1.284081058       0.035423120
      22.000000000      39.100000000       0.036882613       1.284278744       0.035412646
      21.000000000      45.800000000       0.037006023       1.284504922       0.035400677
      20.000000000      53.700000000       0.037146206       1.284762421       0.035387065
