# 
#  Transmission filter file 
#  for use in ARTDECO 
# 
# nlambda 
   123
# 
# lamb(microns)    transmission 
   0.41200     0.00000
   0.41250     0.00000
   0.41300     0.00450
   0.41350     0.00420
   0.41400     0.00380
   0.41450     0.00310
   0.41500     0.00330
   0.41550     0.00570
   0.41600     0.00680
   0.41650     0.00470
   0.41700     0.00330
   0.41750     0.00340
   0.41800     0.00350
   0.41850     0.00370
   0.41900     0.00420
   0.41950     0.00520
   0.42000     0.00550
   0.42050     0.00390
   0.42100     0.00270
   0.42150     0.00220
   0.42200     0.00190
   0.42250     0.00250
   0.42300     0.00310
   0.42350     0.00370
   0.42400     0.00380
   0.42450     0.00290
   0.42500     0.00280
   0.42550     0.00450
   0.42600     0.00530
   0.42650     0.00430
   0.42700     0.00370
   0.42750     0.00430
   0.42800     0.00480
   0.42850     0.00520
   0.42900     0.00590
   0.42950     0.00760
   0.43000     0.00960
   0.43050     0.01240
   0.43100     0.01580
   0.43150     0.02060
   0.43200     0.02740
   0.43250     0.03900
   0.43300     0.05410
   0.43350     0.07740
   0.43400     0.10640
   0.43450     0.14910
   0.43500     0.20180
   0.43550     0.27800
   0.43600     0.36090
   0.43650     0.45950
   0.43700     0.54970
   0.43750     0.62000
   0.43800     0.67660
   0.43850     0.70090
   0.43900     0.72860
   0.43950     0.76450
   0.44000     0.79060
   0.44050     0.79370
   0.44100     0.80470
   0.44150     0.83420
   0.44200     0.85990
   0.44250     0.87680
   0.44300     0.89390
   0.44350     0.91150
   0.44400     0.93030
   0.44450     0.95170
   0.44500     0.97150
   0.44550     0.98750
   0.44600     0.99900
   0.44650     0.99960
   0.44700     0.99020
   0.44750     0.95770
   0.44800     0.91120
   0.44850     0.83240
   0.44900     0.74490
   0.44950     0.63700
   0.45000     0.53090
   0.45050     0.42900
   0.45100     0.33650
   0.45150     0.26560
   0.45200     0.20190
   0.45250     0.15480
   0.45300     0.11420
   0.45350     0.08910
   0.45400     0.06740
   0.45450     0.05400
   0.45500     0.04210
   0.45550     0.03380
   0.45600     0.02650
   0.45650     0.02160
   0.45700     0.01740
   0.45750     0.01500
   0.45800     0.01290
   0.45850     0.01140
   0.45900     0.00990
   0.45950     0.00830
   0.46000     0.00690
   0.46050     0.00590
   0.46100     0.00510
   0.46150     0.00440
   0.46200     0.00390
   0.46250     0.00380
   0.46300     0.00350
   0.46350     0.00300
   0.46400     0.00260
   0.46450     0.00260
   0.46500     0.00250
   0.46550     0.00210
   0.46600     0.00200
   0.46650     0.00230
   0.46700     0.00250
   0.46750     0.00230
   0.46800     0.00210
   0.46850     0.00200
   0.46900     0.00190
   0.46950     0.00210
   0.47000     0.00210
   0.47050     0.00150
   0.47100     0.00110
   0.47150     0.00120
   0.47200     0.00120
   0.47250     0.00000
   0.47300     0.00000
