# 
#  Transmission filter file 
#  for use in ARTDECO 
# 
# nlambda 
   240
# 
# lamb(microns)    transmission 
   0.70400     0.00000
   0.70450     0.00230
   0.70500     0.00200
   0.70550     0.00220
   0.70600     0.00240
   0.70650     0.00210
   0.70700     0.00180
   0.70750     0.00190
   0.70800     0.00200
   0.70850     0.00190
   0.70900     0.00180
   0.70950     0.00250
   0.71000     0.00330
   0.71050     0.00290
   0.71100     0.00250
   0.71150     0.00290
   0.71200     0.00320
   0.71250     0.00320
   0.71300     0.00320
   0.71350     0.00420
   0.71400     0.00530
   0.71450     0.00600
   0.71500     0.00680
   0.71550     0.00620
   0.71600     0.00560
   0.71650     0.00650
   0.71700     0.00730
   0.71750     0.00750
   0.71800     0.00770
   0.71850     0.00810
   0.71900     0.00840
   0.71950     0.00920
   0.72000     0.01000
   0.72050     0.01140
   0.72100     0.01270
   0.72150     0.01390
   0.72200     0.01510
   0.72250     0.01670
   0.72300     0.01830
   0.72350     0.01920
   0.72400     0.02010
   0.72450     0.02150
   0.72500     0.02300
   0.72550     0.02540
   0.72600     0.02780
   0.72650     0.02940
   0.72700     0.03100
   0.72750     0.03360
   0.72800     0.03610
   0.72850     0.03910
   0.72900     0.04200
   0.72950     0.04590
   0.73000     0.04990
   0.73050     0.05390
   0.73100     0.05790
   0.73150     0.06310
   0.73200     0.06840
   0.73250     0.07500
   0.73300     0.08170
   0.73350     0.09040
   0.73400     0.09920
   0.73450     0.10840
   0.73500     0.11770
   0.73550     0.12890
   0.73600     0.14020
   0.73650     0.15610
   0.73700     0.17200
   0.73750     0.18870
   0.73800     0.20530
   0.73850     0.22620
   0.73900     0.24700
   0.73950     0.26610
   0.74000     0.28520
   0.74050     0.31570
   0.74100     0.34620
   0.74150     0.37400
   0.74200     0.40180
   0.74250     0.43260
   0.74300     0.46330
   0.74350     0.49320
   0.74400     0.52300
   0.74450     0.55300
   0.74500     0.58300
   0.74550     0.60860
   0.74600     0.63420
   0.74650     0.66090
   0.74700     0.68690
   0.74750     0.70390
   0.74800     0.72810
   0.74850     0.74000
   0.74900     0.75590
   0.74950     0.76280
   0.75000     0.78080
   0.75050     0.79320
   0.75100     0.79530
   0.75150     0.81680
   0.75200     0.81650
   0.75250     0.81630
   0.75300     0.83030
   0.75350     0.83110
   0.75400     0.84880
   0.75450     0.83810
   0.75500     0.84680
   0.75550     0.85220
   0.75600     0.83820
   0.75650     0.84310
   0.75700     0.84840
   0.75750     0.83870
   0.75800     0.85210
   0.75850     0.86190
   0.75900     0.84490
   0.75950     0.85260
   0.76000     0.86470
   0.76050     0.86160
   0.76100     0.86420
   0.76150     0.86890
   0.76200     0.87950
   0.76250     0.86870
   0.76300     0.86970
   0.76350     0.87530
   0.76400     0.86870
   0.76450     0.88040
   0.76500     0.88310
   0.76550     0.89300
   0.76600     0.89820
   0.76650     0.89680
   0.76700     0.92270
   0.76750     0.92630
   0.76800     0.92020
   0.76850     0.94700
   0.76900     0.95380
   0.76950     0.95060
   0.77000     0.96780
   0.77050     0.97300
   0.77100     0.97210
   0.77150     0.98010
   0.77200     0.99710
   0.77250     0.99960
   0.77300     0.99810
   0.77350     0.99410
   0.77400     0.98530
   0.77450     0.98720
   0.77500     0.99090
   0.77550     0.97300
   0.77600     0.95130
   0.77650     0.92750
   0.77700     0.90370
   0.77750     0.86580
   0.77800     0.82800
   0.77850     0.78540
   0.77900     0.74290
   0.77950     0.69550
   0.78000     0.64820
   0.78050     0.60270
   0.78100     0.55710
   0.78150     0.51590
   0.78200     0.47460
   0.78250     0.43580
   0.78300     0.39690
   0.78350     0.36280
   0.78400     0.32880
   0.78450     0.29790
   0.78500     0.26700
   0.78550     0.24330
   0.78600     0.21950
   0.78650     0.19860
   0.78700     0.17770
   0.78750     0.16150
   0.78800     0.14530
   0.78850     0.13140
   0.78900     0.11740
   0.78950     0.10640
   0.79000     0.09550
   0.79050     0.08600
   0.79100     0.07640
   0.79150     0.06950
   0.79200     0.06250
   0.79250     0.05700
   0.79300     0.05150
   0.79350     0.04710
   0.79400     0.04270
   0.79450     0.03920
   0.79500     0.03570
   0.79550     0.03270
   0.79600     0.02970
   0.79650     0.02780
   0.79700     0.02580
   0.79750     0.02300
   0.79800     0.02020
   0.79850     0.01850
   0.79900     0.01680
   0.79950     0.01590
   0.80000     0.01490
   0.80050     0.01370
   0.80100     0.01250
   0.80150     0.01150
   0.80200     0.01060
   0.80250     0.01040
   0.80300     0.01020
   0.80350     0.00910
   0.80400     0.00800
   0.80450     0.00780
   0.80500     0.00770
   0.80550     0.00690
   0.80600     0.00610
   0.80650     0.00620
   0.80700     0.00630
   0.80750     0.00590
   0.80800     0.00560
   0.80850     0.00550
   0.80900     0.00540
   0.80950     0.00520
   0.81000     0.00500
   0.81050     0.00470
   0.81100     0.00440
   0.81150     0.00440
   0.81200     0.00450
   0.81250     0.00400
   0.81300     0.00360
   0.81350     0.00370
   0.81400     0.00390
   0.81450     0.00390
   0.81500     0.00380
   0.81550     0.00330
   0.81600     0.00280
   0.81650     0.00310
   0.81700     0.00340
   0.81750     0.00360
   0.81800     0.00380
   0.81850     0.00320
   0.81900     0.00260
   0.81950     0.00240
   0.82000     0.00230
   0.82050     0.00260
   0.82100     0.00300
   0.82150     0.00260
   0.82200     0.00230
   0.82250     0.00240
   0.82300     0.00260
   0.82350     0.00260
