# 
#  Transmission filter file 
#  for use in ARTDECO 
# 
# nlambda 
   120
# 
# lamb(microns)    transmission 
   0.98900     0.00000
   0.98950     0.00180
   0.99000     0.00240
   0.99050     0.00260
   0.99100     0.00230
   0.99150     0.00220
   0.99200     0.00240
   0.99250     0.00240
   0.99300     0.00230
   0.99350     0.00240
   0.99400     0.00290
   0.99450     0.00300
   0.99500     0.00270
   0.99550     0.00280
   0.99600     0.00350
   0.99650     0.00400
   0.99700     0.00410
   0.99750     0.00420
   0.99800     0.00460
   0.99850     0.00530
   0.99900     0.00660
   0.99950     0.00710
   1.00000     0.00640
   1.00050     0.00680
   1.00100     0.00900
   1.00150     0.01100
   1.00200     0.01270
   1.00250     0.01480
   1.00300     0.01750
   1.00350     0.02060
   1.00400     0.02410
   1.00450     0.02900
   1.00500     0.03600
   1.00550     0.04400
   1.00600     0.05350
   1.00650     0.06570
   1.00700     0.08170
   1.00750     0.10190
   1.00800     0.12830
   1.00850     0.15970
   1.00900     0.19830
   1.00950     0.24570
   1.01000     0.30600
   1.01050     0.37760
   1.01100     0.46620
   1.01150     0.56130
   1.01200     0.66590
   1.01250     0.76070
   1.01300     0.84080
   1.01350     0.90730
   1.01400     0.95350
   1.01450     0.98500
   1.01500     0.99440
   1.01550     0.99740
   1.01600     0.99090
   1.01650     0.98310
   1.01700     0.97330
   1.01750     0.96340
   1.01800     0.95330
   1.01850     0.94300
   1.01900     0.93230
   1.01950     0.92280
   1.02000     0.91480
   1.02050     0.90560
   1.02100     0.89450
   1.02150     0.88290
   1.02200     0.87030
   1.02250     0.85760
   1.02300     0.84470
   1.02350     0.83050
   1.02400     0.81440
   1.02450     0.79680
   1.02500     0.77690
   1.02550     0.75250
   1.02600     0.72150
   1.02650     0.68600
   1.02700     0.64350
   1.02750     0.59270
   1.02800     0.52920
   1.02850     0.46880
   1.02900     0.41310
   1.02950     0.35710
   1.03000     0.30030
   1.03050     0.24650
   1.03100     0.19710
   1.03150     0.15370
   1.03200     0.11940
   1.03250     0.09050
   1.03300     0.06970
   1.03350     0.05300
   1.03400     0.04250
   1.03450     0.03330
   1.03500     0.02590
   1.03550     0.02030
   1.03600     0.01730
   1.03650     0.01440
   1.03700     0.01160
   1.03750     0.00920
   1.03800     0.00750
   1.03850     0.00610
   1.03900     0.00530
   1.03950     0.00480
   1.04000     0.00510
   1.04050     0.00460
   1.04100     0.00320
   1.04150     0.00230
   1.04200     0.00220
   1.04250     0.00210
   1.04300     0.00190
   1.04350     0.00200
   1.04400     0.00230
   1.04450     0.00240
   1.04500     0.00240
   1.04550     0.00240
   1.04600     0.00230
   1.04650     0.00220
   1.04700     0.00200
   1.04750     0.00200
   1.04800     0.00240
   1.04850     0.00260
