# 
#  Transmission filter file 
#  for use in ARTDECO 
# 
# nlambda 
   120
# 
# lamb(microns)    transmission 
   0.53450     0.00000
   0.53500     0.00130
   0.53550     0.00180
   0.53600     0.00200
   0.53650     0.00170
   0.53700     0.00150
   0.53750     0.00150
   0.53800     0.00150
   0.53850     0.00140
   0.53900     0.00130
   0.53950     0.00120
   0.54000     0.00120
   0.54050     0.00140
   0.54100     0.00150
   0.54150     0.00160
   0.54200     0.00170
   0.54250     0.00180
   0.54300     0.00200
   0.54350     0.00240
   0.54400     0.00260
   0.54450     0.00260
   0.54500     0.00260
   0.54550     0.00290
   0.54600     0.00340
   0.54650     0.00420
   0.54700     0.00510
   0.54750     0.00600
   0.54800     0.00710
   0.54850     0.00830
   0.54900     0.01020
   0.54950     0.01310
   0.55000     0.01670
   0.55050     0.02110
   0.55100     0.02720
   0.55150     0.03580
   0.55200     0.04690
   0.55250     0.06170
   0.55300     0.08230
   0.55350     0.11130
   0.55400     0.14890
   0.55450     0.19930
   0.55500     0.26440
   0.55550     0.35160
   0.55600     0.44980
   0.55650     0.56460
   0.55700     0.67030
   0.55750     0.76210
   0.55800     0.84520
   0.55850     0.91500
   0.55900     0.96550
   0.55950     0.98700
   0.56000     0.99920
   0.56050     0.99730
   0.56100     0.99160
   0.56150     0.98020
   0.56200     0.96970
   0.56250     0.96060
   0.56300     0.94610
   0.56350     0.92330
   0.56400     0.91220
   0.56450     0.91850
   0.56500     0.92000
   0.56550     0.91430
   0.56600     0.90800
   0.56650     0.90070
   0.56700     0.89300
   0.56750     0.88490
   0.56800     0.87060
   0.56850     0.84710
   0.56900     0.81870
   0.56950     0.78280
   0.57000     0.73190
   0.57050     0.65840
   0.57100     0.58490
   0.57150     0.51140
   0.57200     0.43620
   0.57250     0.35860
   0.57300     0.28740
   0.57350     0.22600
   0.57400     0.17270
   0.57450     0.13150
   0.57500     0.09820
   0.57550     0.07660
   0.57600     0.05840
   0.57650     0.04540
   0.57700     0.03450
   0.57750     0.02650
   0.57800     0.02030
   0.57850     0.01660
   0.57900     0.01350
   0.57950     0.01110
   0.58000     0.00900
   0.58050     0.00740
   0.58100     0.00610
   0.58150     0.00510
   0.58200     0.00430
   0.58250     0.00370
   0.58300     0.00320
   0.58350     0.00270
   0.58400     0.00240
   0.58450     0.00240
   0.58500     0.00230
   0.58550     0.00210
   0.58600     0.00200
   0.58650     0.00190
   0.58700     0.00190
   0.58750     0.00180
   0.58800     0.00160
   0.58850     0.00140
   0.58900     0.00110
   0.58950     0.00100
   0.59000     0.00090
   0.59050     0.00090
   0.59100     0.00080
   0.59150     0.00070
   0.59200     0.00070
   0.59250     0.00100
   0.59300     0.00100
   0.59350     0.00080
   0.59400     0.00070
