# 
#  Transmission filter file 
#  for use in ARTDECO 
# 
# nlambda 
   120
# 
# lamb(microns)    transmission 
   0.87900     0.00000
   0.87950     0.00360
   0.88000     0.00290
   0.88050     0.00340
   0.88100     0.00510
   0.88150     0.00540
   0.88200     0.00440
   0.88250     0.00450
   0.88300     0.00550
   0.88350     0.00610
   0.88400     0.00620
   0.88450     0.00700
   0.88500     0.00840
   0.88550     0.01010
   0.88600     0.01200
   0.88650     0.01440
   0.88700     0.01720
   0.88750     0.02000
   0.88800     0.02270
   0.88850     0.02620
   0.88900     0.03040
   0.88950     0.03570
   0.89000     0.04190
   0.89050     0.05030
   0.89100     0.06050
   0.89150     0.07510
   0.89200     0.09360
   0.89250     0.11440
   0.89300     0.13730
   0.89350     0.16670
   0.89400     0.20220
   0.89450     0.24610
   0.89500     0.29780
   0.89550     0.35670
   0.89600     0.42250
   0.89650     0.49350
   0.89700     0.56930
   0.89750     0.64250
   0.89800     0.71320
   0.89850     0.77980
   0.89900     0.84250
   0.89950     0.89200
   0.90000     0.92920
   0.90050     0.95820
   0.90100     0.97950
   0.90150     0.99250
   0.90200     0.99760
   0.90250     1.00000
   0.90300     0.99990
   0.90350     0.99820
   0.90400     0.99490
   0.90450     0.98950
   0.90500     0.98220
   0.90550     0.97700
   0.90600     0.97390
   0.90650     0.96630
   0.90700     0.95470
   0.90750     0.95230
   0.90800     0.95840
   0.90850     0.95870
   0.90900     0.95340
   0.90950     0.95170
   0.91000     0.95320
   0.91050     0.94980
   0.91100     0.94180
   0.91150     0.94090
   0.91200     0.94630
   0.91250     0.94580
   0.91300     0.93970
   0.91350     0.92660
   0.91400     0.90700
   0.91450     0.87760
   0.91500     0.83920
   0.91550     0.79060
   0.91600     0.73260
   0.91650     0.66400
   0.91700     0.58560
   0.91750     0.51300
   0.91800     0.44570
   0.91850     0.38140
   0.91900     0.31990
   0.91950     0.26490
   0.92000     0.21580
   0.92050     0.17680
   0.92100     0.14710
   0.92150     0.12150
   0.92200     0.09960
   0.92250     0.08240
   0.92300     0.06950
   0.92350     0.05820
   0.92400     0.04840
   0.92450     0.04050
   0.92500     0.03430
   0.92550     0.02930
   0.92600     0.02520
   0.92650     0.02180
   0.92700     0.01890
   0.92750     0.01660
   0.92800     0.01480
   0.92850     0.01290
   0.92900     0.01090
   0.92950     0.00980
   0.93000     0.00950
   0.93050     0.00860
   0.93100     0.00730
   0.93150     0.00630
   0.93200     0.00570
   0.93250     0.00530
   0.93300     0.00510
   0.93350     0.00450
   0.93400     0.00360
   0.93450     0.00340
   0.93500     0.00380
   0.93550     0.00380
   0.93600     0.00350
   0.93650     0.00340
   0.93700     0.00370
   0.93750     0.00330
   0.93800     0.00240
   0.93850     0.00200
