# 
#  Transmission filter file 
#  for use in ARTDECO 
# 
# nlambda 
   122
# 
# lamb(microns)    transmission 
   0.45900     0.00000
   0.45950     0.00000
   0.46000     0.00310
   0.46050     0.00370
   0.46100     0.00430
   0.46150     0.00460
   0.46200     0.00490
   0.46250     0.00540
   0.46300     0.00590
   0.46350     0.00550
   0.46400     0.00510
   0.46450     0.00540
   0.46500     0.00570
   0.46550     0.00480
   0.46600     0.00380
   0.46650     0.00440
   0.46700     0.00500
   0.46750     0.00440
   0.46800     0.00380
   0.46850     0.00400
   0.46900     0.00430
   0.46950     0.00480
   0.47000     0.00540
   0.47050     0.00630
   0.47100     0.00730
   0.47150     0.00610
   0.47200     0.00480
   0.47250     0.00540
   0.47300     0.00600
   0.47350     0.00700
   0.47400     0.00800
   0.47450     0.00760
   0.47500     0.00710
   0.47550     0.00890
   0.47600     0.01070
   0.47650     0.01280
   0.47700     0.01490
   0.47750     0.01830
   0.47800     0.02180
   0.47850     0.03050
   0.47900     0.03920
   0.47950     0.06090
   0.48000     0.08250
   0.48050     0.13480
   0.48100     0.18700
   0.48150     0.27560
   0.48200     0.36420
   0.48250     0.46640
   0.48300     0.56860
   0.48350     0.62870
   0.48400     0.68870
   0.48450     0.71400
   0.48500     0.73930
   0.48550     0.74850
   0.48600     0.75780
   0.48650     0.77750
   0.48700     0.79720
   0.48750     0.81830
   0.48800     0.83940
   0.48850     0.85430
   0.48900     0.86920
   0.48950     0.88250
   0.49000     0.89570
   0.49050     0.90610
   0.49100     0.91650
   0.49150     0.92810
   0.49200     0.93970
   0.49250     0.95110
   0.49300     0.96250
   0.49350     0.97370
   0.49400     0.98480
   0.49450     0.99110
   0.49500     0.99730
   0.49550     0.98090
   0.49600     0.96440
   0.49650     0.91060
   0.49700     0.85680
   0.49750     0.76950
   0.49800     0.68220
   0.49850     0.58830
   0.49900     0.49440
   0.49950     0.42040
   0.50000     0.34630
   0.50050     0.29490
   0.50100     0.24350
   0.50150     0.21160
   0.50200     0.17980
   0.50250     0.15750
   0.50300     0.13520
   0.50350     0.11800
   0.50400     0.10070
   0.50450     0.08690
   0.50500     0.07310
   0.50550     0.06070
   0.50600     0.04820
   0.50650     0.03900
   0.50700     0.02980
   0.50750     0.02400
   0.50800     0.01820
   0.50850     0.01540
   0.50900     0.01260
   0.50950     0.01060
   0.51000     0.00860
   0.51050     0.00740
   0.51100     0.00630
   0.51150     0.00580
   0.51200     0.00540
   0.51250     0.00470
   0.51300     0.00400
   0.51350     0.00320
   0.51400     0.00250
   0.51450     0.00260
   0.51500     0.00260
   0.51550     0.00300
   0.51600     0.00340
   0.51650     0.00250
   0.51700     0.00160
   0.51750     0.00200
   0.51800     0.00250
   0.51850     0.00120
   0.51900     0.00000
   0.51950     0.00000
