#
#     DEFINES WAVELENGTH DEPENDENT COMPLEX INDEX OF REFRACTION FOR ICE.
#     ALLOWABLE WAVELENGTH RANGE EXTENDS FROM 0.045 MICRONS TO 167 MICRONS.
#
#     STEPHEN G. WARREN - 1983
#     DEPT. OF ATMOSPHERIC SCIENCES
#     UNIVERSITY OF WASHINGTON
#     SEATTLE, WA  98195
#
#     BASED ON
#
#        WARREN,S.G.,1984.
#        OPTICAL CONSTANTS OF ICE FROM THE ULTRAVIOLET TO THE MICROWAVE.
#        APPLIED OPTICS,23,1206-1225
#
#  nlambda = 
 468
#    lambda          real              im 
#   (microns)
#
  0.74000001       1.3060499      4.92000005E-08
  0.75000000       1.3058500      5.86999995E-08
  0.75999999       1.3056600      7.07999988E-08
  0.76999998       1.3054700      8.58000035E-08
  0.77999997       1.3052800      1.02000001E-07
  0.79000002       1.3050900      1.18000003E-07
  0.80000001       1.3049099      1.34000004E-07
  0.81000000       1.3047301      1.39999997E-07
  0.81999999       1.3045501      1.42999994E-07
  0.82999998       1.3043700      1.45000001E-07
  0.83999997       1.3041900      1.50999995E-07
  0.85000002       1.3040200      1.82999997E-07
  0.86000001       1.3038501      2.15000000E-07
  0.87000000       1.3036700      2.65000011E-07
  0.88000000       1.3035001      3.35000010E-07
  0.88999999       1.3033299      3.92000004E-07
  0.89999998       1.3031600      4.19999992E-07
  0.91000003       1.3029900      4.43999994E-07
  0.92000002       1.3028300      4.73999989E-07
  0.93000001       1.3026600      5.10999996E-07
  0.94000000       1.3024900      5.53000007E-07
  0.94999999       1.3023200      6.02000000E-07
  0.95999998       1.3021600      7.54999974E-07
  0.97000003       1.3019900      9.25999984E-07
  0.98000002       1.3018200      1.11999998E-06
  0.99000001       1.3016599      1.33000003E-06
   1.0000000       1.3014899      1.62000003E-06
   1.0100000       1.3013200      1.99999999E-06
   1.0200000       1.3011600      2.25000008E-06
   1.0300000       1.3009900      2.32999992E-06
   1.0400000       1.3008200      2.32999992E-06
   1.0500000       1.3006500      2.17000002E-06
   1.0599999       1.3004800      1.95999996E-06
   1.0700001       1.3003100      1.80999996E-06
   1.0800000       1.3001400      1.74000002E-06
   1.0900000       1.2999700      1.73000001E-06
   1.1000000       1.2997900      1.69999998E-06
   1.1100000       1.2996200      1.76000003E-06
   1.1200000       1.2994500      1.81999997E-06
   1.1300000       1.2992700      2.04000003E-06
   1.1400000       1.2990900      2.25000008E-06
   1.1500000       1.2989100      2.29000011E-06
   1.1600000       1.2987300      3.03999991E-06
   1.1700000       1.2985500      3.83999986E-06
   1.1799999       1.2983700      4.77000003E-06
   1.1900001       1.2981800      5.76000002E-06
   1.2000000       1.2980000      6.70999998E-06
   1.2100000       1.2978100      8.66000028E-06
   1.2200000       1.2976201      1.02000004E-05
   1.2300000       1.2974300      1.12999996E-05
   1.2400000       1.2972400      1.22000001E-05
   1.2500000       1.2970500      1.29000000E-05
   1.2600000       1.2968600      1.31999996E-05
   1.2700000       1.2966599      1.35000000E-05
   1.2800000       1.2964600      1.33000003E-05
   1.2900000       1.2962600      1.31999996E-05
   1.3000000       1.2960500      1.31999996E-05
   1.3099999       1.2958400      1.30999997E-05
   1.3200001       1.2956300      1.31999996E-05
   1.3300000       1.2954201      1.31999996E-05
   1.3400000       1.2952100      1.34000002E-05
   1.3500000       1.2949899      1.39000003E-05
   1.3600000       1.2947600      1.41999999E-05
   1.3700000       1.2945300      1.47999999E-05
   1.3800000       1.2943000      1.58000003E-05
   1.3900000       1.2940600      1.73999997E-05
   1.4000000       1.2938100      1.97999998E-05
   1.4100000       1.2935500      2.49999994E-05
   1.4200000       1.2932700      5.40000001E-05
   1.4299999       1.2929900      1.03999999E-04
   1.4400001       1.2927200      2.03000003E-04
   1.4490000       1.2925200      2.70799996E-04
   1.4600000       1.2922800      3.51099996E-04
   1.4710000       1.2920500      4.29900014E-04
   1.4809999       1.2918600      5.18099987E-04
   1.4930000       1.2916700      5.85499976E-04
   1.5039999       1.2915000      5.89900010E-04
   1.5150000       1.2913001      5.63499983E-04
   1.5270000       1.2910600      5.47999982E-04
   1.5380000       1.2908300      5.26599993E-04
   1.5630000       1.2902499      4.39399999E-04
   1.5870000       1.2896200      3.70099995E-04
   1.6130000       1.2889100      3.37200006E-04
   1.6500000       1.2878400      2.41000002E-04
   1.6799999       1.2868900      1.88999998E-04
   1.7000000       1.2862300      1.65999998E-04
   1.7300000       1.2852100      1.44999998E-04
   1.7600000       1.2841300      1.28000000E-04
   1.8000000       1.2826101      1.02999998E-04
   1.8300000       1.2813700      8.60000000E-05
   1.8400000       1.2809300      8.22000002E-05
   1.8500000       1.2804700      8.03000003E-05
   1.8550000       1.2802200      8.49999997E-05
   1.8600000       1.2799799      9.89999971E-05
