# 
# Refractive index taken form OPAC database 
# 
# Material :
# sea salt (acc., 50%) 
# 
#  nlambda = 
61 
# wavelength          ref.real         ref.imag  
#   [um]      
2.500000000e-01   1.398000000e+00   1.229000000e-06
3.000000000e-01   1.388000000e+00   4.935000000e-07
3.500000000e-01   1.383000000e+00   8.291000000e-08
4.000000000e-01   1.378000000e+00   8.632000000e-09
4.500000000e-01   1.376000000e+00   6.623000000e-09
5.000000000e-01   1.375000000e+00   4.490000000e-09
5.500000000e-01   1.373000000e+00   3.895000000e-09
6.000000000e-01   1.370000000e+00   1.213000000e-08
6.500000000e-01   1.369000000e+00   2.266000000e-08
7.000000000e-01   1.369000000e+00   7.357000000e-08
7.500000000e-01   1.369000000e+00   3.784000000e-07
8.000000000e-01   1.365000000e+00   5.642000000e-07
9.000000000e-01   1.365000000e+00   1.057000000e-05
1.000000000e+00   1.361000000e+00   3.613000000e-05
1.250000000e+00   1.358000000e+00   9.277000000e-05
1.500000000e+00   1.354000000e+00   2.890000000e-04
1.750000000e+00   1.346000000e+00   2.593000000e-04
2.000000000e+00   1.341000000e+00   1.076000000e-03
2.500000000e+00   1.302000000e+00   2.284000000e-03
3.000000000e+00   1.429000000e+00   2.089000000e-01
3.200000000e+00   1.481000000e+00   7.088000000e-02
3.390000000e+00   1.437000000e+00   1.807000000e-02
3.500000000e+00   1.419000000e+00   7.523000000e-03
3.750000000e+00   1.393000000e+00   2.995000000e-03
4.000000000e+00   1.382000000e+00   3.830000000e-03
4.500000000e+00   1.370000000e+00   1.051000000e-02
5.000000000e+00   1.360000000e+00   1.002000000e-02
5.500000000e+00   1.327000000e+00   9.675000000e-03
6.000000000e+00   1.300000000e+00   8.390000000e-02
6.200000000e+00   1.420000000e+00   7.212000000e-02
6.500000000e+00   1.368000000e+00   3.097000000e-02
7.200000000e+00   1.338000000e+00   2.606000000e-02
7.900000000e+00   1.320000000e+00   2.887000000e-02
8.200000000e+00   1.318000000e+00   3.147000000e-02
8.500000000e+00   1.327000000e+00   3.412000000e-02
8.700000000e+00   1.351000000e+00   3.600000000e-02
9.000000000e+00   1.355000000e+00   3.704000000e-02
9.200000000e+00   1.340000000e+00   3.782000000e-02
9.500000000e+00   1.324000000e+00   3.805000000e-02
9.800000000e+00   1.309000000e+00   4.022000000e-02
1.000000000e+01   1.295000000e+00   4.218000000e-02
1.060000000e+01   1.256000000e+00   5.455000000e-02
1.100000000e+01   1.232000000e+00   7.687000000e-02
1.150000000e+01   1.211000000e+00   1.112000000e-01
1.250000000e+01   1.194000000e+00   2.005000000e-01
1.300000000e+01   1.210000000e+00   2.359000000e-01
1.400000000e+01   1.258000000e+00   2.865000000e-01
1.480000000e+01   1.299000000e+00   3.079000000e-01
1.500000000e+01   1.313000000e+00   3.137000000e-01
1.640000000e+01   1.398000000e+00   3.459000000e-01
1.720000000e+01   1.471000000e+00   3.546000000e-01
1.800000000e+01   1.509000000e+00   3.548000000e-01
1.850000000e+01   1.522000000e+00   3.522000000e-01
2.000000000e+01   1.547000000e+00   3.350000000e-01
2.130000000e+01   1.556000000e+00   3.275000000e-01
2.250000000e+01   1.567000000e+00   3.243000000e-01
2.500000000e+01   1.586000000e+00   3.197000000e-01
2.790000000e+01   1.602000000e+00   3.236000000e-01
3.000000000e+01   1.604000000e+00   3.213000000e-01
3.500000000e+01   1.587000000e+00   3.755000000e-01
4.000000000e+01   1.572000000e+00   5.330000000e-01
