# 
# Refractive index taken form OPAC database 
# 
# Material :
# water soluble (0%) 
# 
#  nlambda = 
61 
# wavelength          ref.real         ref.imag  
#   [um]      
2.500000000e-01   1.530000000e+00   3.000000000e-02
3.000000000e-01   1.530000000e+00   8.000000000e-03
3.500000000e-01   1.530000000e+00   5.000000000e-03
4.000000000e-01   1.530000000e+00   5.000000000e-03
4.500000000e-01   1.530000000e+00   5.000000000e-03
5.000000000e-01   1.530000000e+00   5.000000000e-03
5.500000000e-01   1.530000000e+00   6.000000000e-03
6.000000000e-01   1.530000000e+00   6.000000000e-03
6.500000000e-01   1.530000000e+00   7.000000000e-03
7.000000000e-01   1.530000000e+00   7.000000000e-03
7.500000000e-01   1.530000000e+00   8.500000000e-03
8.000000000e-01   1.520000000e+00   1.000000000e-02
9.000000000e-01   1.520000000e+00   1.300000000e-02
1.000000000e+00   1.520000000e+00   1.550000000e-02
1.250000000e+00   1.510000000e+00   1.900000000e-02
1.500000000e+00   1.510000000e+00   2.250000000e-02
1.750000000e+00   1.470000000e+00   1.750000000e-02
2.000000000e+00   1.420000000e+00   8.000000000e-03
2.500000000e+00   1.420000000e+00   1.200000000e-02
3.000000000e+00   1.420000000e+00   2.200000000e-02
3.200000000e+00   1.430000000e+00   8.000000000e-03
3.390000000e+00   1.430000000e+00   7.050000000e-03
3.500000000e+00   1.450000000e+00   5.000000000e-03
3.750000000e+00   1.452000000e+00   4.000000000e-03
4.000000000e+00   1.455000000e+00   5.000000000e-03
4.500000000e+00   1.460000000e+00   1.300000000e-02
5.000000000e+00   1.450000000e+00   1.200000000e-02
5.500000000e+00   1.440000000e+00   1.800000000e-02
6.000000000e+00   1.410000000e+00   2.300000000e-02
6.200000000e+00   1.430000000e+00   2.700000000e-02
6.500000000e+00   1.460000000e+00   3.300000000e-02
7.200000000e+00   1.400000000e+00   7.000000000e-02
7.900000000e+00   1.200000000e+00   6.500000000e-02
8.200000000e+00   1.010000000e+00   1.000000000e-01
8.500000000e+00   1.300000000e+00   2.150000000e-01
8.700000000e+00   2.400000000e+00   2.900000000e-01
9.000000000e+00   2.560000000e+00   3.700000000e-01
9.200000000e+00   2.200000000e+00   4.200000000e-01
9.500000000e+00   1.950000000e+00   1.600000000e-01
9.800000000e+00   1.870000000e+00   9.500000000e-02
1.000000000e+01   1.820000000e+00   9.000000000e-02
1.060000000e+01   1.760000000e+00   7.000000000e-02
1.100000000e+01   1.720000000e+00   5.000000000e-02
1.150000000e+01   1.670000000e+00   4.700000000e-02
1.250000000e+01   1.620000000e+00   5.300000000e-02
1.300000000e+01   1.620000000e+00   5.500000000e-02
1.400000000e+01   1.560000000e+00   7.300000000e-02
1.480000000e+01   1.440000000e+00   1.000000000e-01
1.500000000e+01   1.420000000e+00   2.000000000e-01
1.640000000e+01   1.750000000e+00   1.600000000e-01
1.720000000e+01   2.080000000e+00   2.420000000e-01
1.800000000e+01   1.980000000e+00   1.800000000e-01
1.850000000e+01   1.850000000e+00   1.700000000e-01
2.000000000e+01   2.120000000e+00   2.200000000e-01
2.130000000e+01   2.060000000e+00   2.300000000e-01
2.250000000e+01   2.000000000e+00   2.400000000e-01
2.500000000e+01   1.880000000e+00   2.800000000e-01
2.790000000e+01   1.840000000e+00   2.900000000e-01
3.000000000e+01   1.820000000e+00   3.000000000e-01
3.500000000e+01   1.920000000e+00   4.000000000e-01
4.000000000e+01   1.860000000e+00   5.000000000e-01
