1.3940927;0.0018602;1.2674520;-0.0000095;-0.0399837;-0.0017483;
1.3741918;0.0017767;1.2383202;-0.0000087;-0.0344615;-0.0015341;
1.3857801;0.0014299;1.2189110;-0.0000075;-0.0319313;-0.0014109;
1.3724995;0.0013201;1.2049115;-0.0000068;-0.0296380;-0.0013074;
1.3705355;0.0009664;1.1845431;-0.0000053;-0.0266864;-0.0011621;
1.3405057;0.0009371;1.1715534;-0.0000046;-0.0241845;-0.0010512;
1.2837174;0.0011287;1.1639081;-0.0000044;-0.0218799;-0.0009577;
1.1758267;0.0017805;1.1756843;-0.0000052;-0.0213400;-0.0009565;
1.1422602;0.0019872;1.1771589;-0.0000055;-0.0208504;-0.0009448;
1.1426642;0.0018817;1.1757358;-0.0000051;-0.0207856;-0.0009330;
1.1480787;0.0018640;1.1762484;-0.0000052;-0.0209902;-0.0009421;
1.2830352;0.0010288;1.1543071;-0.0000039;-0.0205401;-0.0008942;
1.4505530;-0.0003766;1.0964751;-0.0000008;-0.0155745;-0.0006315;
1.3360778;0.0001839;1.0985940;-0.0000011;-0.0135996;-0.0005588;
1.2776639;0.0006732;1.1095318;-0.0000020;-0.0137637;-0.0005899;
1.2519428;0.0007168;1.0980384;-0.0000017;-0.0115615;-0.0004965;
1.1022209;0.0019520;1.1267761;-0.0000039;-0.0122313;-0.0005768;
0.9488665;0.0029303;1.1505801;-0.0000055;-0.0126664;-0.0006313;
0.5780047;0.0058766;1.2618714;-0.0000120;-0.0214162;-0.0011222;
0.5598536;0.0060278;1.2713362;-0.0000124;-0.0224688;-0.0011738;
0.6175390;0.0056366;1.2632929;-0.0000118;-0.0225577;-0.0011629;
0.6614674;0.0052011;1.2371615;-0.0000107;-0.0196353;-0.0010250;
0.6617332;0.0054141;1.2553337;-0.0000116;-0.0222963;-0.0011472;
0.7535207;0.0048217;1.2442014;-0.0000107;-0.0226074;-0.0011383;
0.8579248;0.0041859;1.2309195;-0.0000099;-0.0228150;-0.0011258;
1.0356008;0.0028852;1.1936054;-0.0000075;-0.0210877;-0.0010037;
1.3556036;0.0010115;1.1501298;-0.0000051;-0.0212068;-0.0009526;
