120.000;100.000;95.170;90.800;85.000
80.000;75.000;70.530;67.600;65.580
63.780;60.000;57.460;55.000;53.500
50.030;47.360;45.500;42.760;41.140
39.600;38.240;37.000;35.640;34.480
33.330;31.000;28.570;26.000;25.000
24.600;23.600;23.050;22.600;22.220
20.830;20.410;20.000;19.610;19.230
18.870;18.610;18.320;18.180;17.240
16.670;16.130;15.630;15.150;14.710
14.290;14.080;13.700;13.510;13.330
12.990;12.820;12.500;12.200;11.900
11.630;11.360;11.000;10.750;10.530
10.310;10.200;10.000;9.804;9.259
9.091;8.696;8.475;8.333;8.065
7.812;7.463;7.246;7.042;6.757
6.494;6.410;6.329;6.250;6.061
5.814;5.747;5.556;5.263;5.200
5.000;4.900;4.700;4.500;4.300
4.100;3.925;3.775;3.650;3.550
3.450;3.350;3.275;3.225;3.188
3.162;3.138;3.112;3.088;3.062
3.037;3.013;2.987;2.963;2.888
2.862;2.838;2.812;2.750;2.650
2.500;2.350;2.250;2.150;2.050
1.975;1.925;1.850;1.725;1.575
1.450;1.350;1.250;1.150;1.050
0.950;0.870;0.650;0.551;0.476
0.425;0.350;0.275;0.225;0.200
