# sum atmospheric constituent profile.
# 
# number of sampled altitude :
121
# number of sampled gas :
30
# sampled gas :
N2 
O2 
CO2 
O3 
H2O 
CH4 
N2O 
HNO3 
CO 
NO2 
N2O5 
ClO 
HOCl 
ClONO2 
NO 
HNO4 
HCN 
NH3 
F11 
F12 
F14 
F22 
CCl4 
COF2 
H2O2 
C2H2 
C2H6 
OCS 
SO2 
SF6 
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
1.100e+02     6.910e-05     2.973e+02     7.450e+05     1.580e+05     8.051e+01     4.560e-02     2.810e-01     5.163e-04     1.304e-07     4.644e-09     6.700e+01     5.380e-07     6.347e-11     1.333e-11     3.956e-18     3.885e-15     4.690e+01     1.138e-13     5.866e-05     1.914e-11     4.977e-12     6.240e-15     7.650e-05     1.400e-06     1.000e-08     6.587e-07     2.346e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.090e+02     7.940e-05     2.886e+02     7.470e+05     1.630e+05     8.465e+01     6.300e-02     2.920e-01     5.589e-04     1.469e-07     5.313e-09     6.800e+01     5.932e-07     7.040e-11     1.708e-11     6.067e-18     4.989e-15     4.350e+01     1.337e-13     5.874e-05     1.914e-11     5.347e-12     8.192e-15     7.650e-05     1.441e-06     1.000e-08     6.959e-07     2.447e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.080e+02     9.150e-05     2.795e+02     7.490e+05     1.670e+05     8.886e+01     8.710e-02     3.030e-01     6.060e-04     1.659e-07     6.095e-09     6.900e+01     6.553e-07     7.826e-11     2.200e-11     9.387e-18     6.439e-15     3.870e+01     1.576e-13     5.883e-05     1.914e-11     5.754e-12     1.082e-14     7.650e-05     1.483e-06     1.000e-08     7.360e-07     2.555e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.070e+02     1.060e-04     2.688e+02     7.510e+05     1.710e+05     9.319e+01     1.180e-01     3.140e-01     6.591e-04     1.883e-07     7.028e-09     6.580e+01     7.265e-07     8.733e-11     2.860e-11     1.476e-17     8.391e-15     3.370e+01     1.869e-13     5.891e-05     1.914e-11     6.208e-12     1.443e-14     7.650e-05     1.524e-06     1.000e-08     7.801e-07     2.672e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.060e+02     1.230e-04     2.565e+02     7.540e+05     1.750e+05     9.947e+01     1.590e-01     3.270e-01     7.174e-04     2.140e-07     8.117e-09     6.270e+01     8.065e-07     9.758e-11     3.729e-11     2.333e-17     1.097e-14     2.910e+01     2.220e-13     5.899e-05     1.914e-11     6.703e-12     1.931e-14     7.650e-05     1.565e-06     1.000e-08     8.274e-07     2.796e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.050e+02     1.440e-04     2.428e+02     7.570e+05     1.780e+05     1.078e+02     2.310e-01     3.380e-01     7.849e-04     2.450e-07     9.457e-09     5.980e+01     9.009e-07     1.098e-10     4.939e-11     3.790e-17     1.456e-14     2.450e+01     2.665e-13     5.908e-05     1.914e-11     7.272e-12     2.629e-14     7.650e-05     1.606e-06     1.000e-08     8.806e-07     2.933e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.040e+02     1.680e-04     2.290e+02     7.600e+05     1.820e+05     1.154e+02     3.360e-01     3.510e-01     8.571e-04     2.797e-07     1.098e-08     5.700e+01     1.004e-06     1.231e-10     6.501e-11     6.091e-17     1.922e-14     2.030e+01     3.186e-13     5.916e-05     1.914e-11     7.874e-12     3.556e-14     7.650e-05     1.647e-06     1.000e-08     9.360e-07     3.074e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.030e+02     1.980e-04     2.157e+02     7.610e+05     1.840e+05     1.238e+02     5.250e-01     3.630e-01     9.413e-04     3.221e-07     1.287e-08     5.430e+01     1.127e-06     1.392e-10     8.715e-11     1.010e-16     2.583e-14     1.680e+01     3.854e-13     5.925e-05     1.914e-11     8.572e-12     4.906e-14     7.650e-05     1.688e-06     1.000e-08     9.988e-07     3.231e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.020e+02     2.330e-04     2.035e+02     7.630e+05     1.870e+05     1.331e+02     8.200e-01     3.750e-01     1.033e-03     3.705e-07     1.507e-08     5.180e+01     1.263e-06     1.571e-10     1.165e-10     1.667e-16     3.462e-14     1.370e+01     4.653e-13     5.933e-05     1.914e-11     9.323e-12     6.748e-14     7.650e-05     1.730e-06     1.000e-08     1.065e-06     3.395e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.010e+02     2.780e-04     1.922e+02     7.650e+05     1.890e+05     1.443e+02     1.140e+00     3.930e-01     1.142e-03     4.312e-07     1.788e-08     4.930e+01     1.430e-06     1.793e-10     1.596e-10     2.870e-16     4.756e-14     1.110e+01     5.709e-13     5.941e-05     1.914e-11     1.021e-11     9.536e-14     7.650e-05     1.770e-06     1.000e-08     1.142e-06     3.583e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.000e+02     3.310e-04     1.823e+02     7.670e+05     1.910e+05     1.563e+02     1.590e+00     4.120e-01     1.262e-03     5.010e-07     2.118e-08     4.700e+01     1.616e-06     2.042e-10     2.179e-10     4.911e-16     6.511e-14     8.610e+00     6.988e-13     5.950e-05     1.914e-11     1.118e-11     1.342e-13     7.650e-05     1.812e-06     1.000e-08     1.224e-06     3.778e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
