# ngt atmospheric constituent profile.
# 
# number of sampled altitude :
121
# number of sampled gas :
30
# sampled gas :
N2 
O2 
CO2 
O3 
H2O 
CH4 
N2O 
HNO3 
CO 
NO2 
N2O5 
ClO 
HOCl 
ClONO2 
NO 
HNO4 
HCN 
NH3 
F11 
F12 
F14 
F22 
CCl4 
COF2 
H2O2 
C2H2 
C2H6 
OCS 
SO2 
SF6 
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
1.100e+02     6.497e-05     2.426e+02     7.450e+05     1.580e+05     8.051e+01     3.498e-02     3.236e-02     2.307e-02     2.386e-04     4.867e-08     6.622e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     5.644e-16     6.650e+01     9.000e-08     5.866e-05     1.914e-11     2.043e-19     2.070e-09     7.650e-05     1.400e-06     1.000e-08     2.254e-11     2.442e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.090e+02     7.386e-05     2.335e+02     7.470e+05     1.630e+05     8.465e+01     5.399e-02     3.620e-02     2.385e-02     2.462e-04     5.348e-08     6.726e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     7.635e-16     5.800e+01     9.000e-08     5.874e-05     1.914e-11     2.753e-19     2.291e-09     7.650e-05     1.441e-06     1.000e-08     2.759e-11     2.544e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.080e+02     8.425e-05     2.250e+02     7.490e+05     1.670e+05     8.886e+01     6.972e-02     4.061e-02     2.467e-02     2.534e-04     5.892e-08     6.819e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     1.041e-15     4.960e+01     9.000e-08     5.883e-05     1.914e-11     3.739e-19     2.542e-09     7.650e-05     1.483e-06     1.000e-08     3.394e-11     2.653e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.070e+02     9.698e-05     2.179e+02     7.510e+05     1.710e+05     9.319e+01     9.161e-02     4.592e-02     2.558e-02     2.604e-04     6.535e-08     6.845e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     1.451e-15     4.150e+01     9.000e-08     5.891e-05     1.914e-11     5.188e-19     2.841e-09     7.650e-05     1.524e-06     1.000e-08     4.237e-11     2.775e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.060e+02     1.123e-04     2.117e+02     7.540e+05     1.750e+05     9.947e+01     1.219e-01     5.221e-02     2.657e-02     2.686e-04     7.281e-08     6.519e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     2.049e-15     3.460e+01     9.000e-08     5.899e-05     1.914e-11     7.302e-19     3.190e-09     7.650e-05     1.565e-06     1.000e-08     5.341e-11     2.908e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.050e+02     1.301e-04     2.059e+02     7.570e+05     1.780e+05     1.078e+02     1.619e-01     5.936e-02     2.760e-02     2.770e-04     8.113e-08     6.207e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     2.899e-15     2.800e+01     9.000e-08     5.908e-05     1.914e-11     1.028e-18     3.583e-09     7.650e-05     1.606e-06     1.000e-08     6.734e-11     3.047e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.040e+02     1.514e-04     2.011e+02     7.600e+05     1.820e+05     1.154e+02     2.156e-01     6.774e-02     2.870e-02     2.864e-04     9.067e-08     5.909e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     4.144e-15     2.260e+01     9.000e-08     5.916e-05     1.914e-11     1.461e-18     4.037e-09     7.650e-05     1.647e-06     1.000e-08     8.544e-11     3.198e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.030e+02     1.788e-04     1.965e+02     7.610e+05     1.840e+05     1.238e+02     2.885e-01     7.835e-02     2.996e-02     2.959e-04     1.025e-07     5.618e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     6.132e-15     1.830e+01     9.000e-08     5.925e-05     1.914e-11     2.153e-18     4.606e-09     7.650e-05     1.688e-06     1.000e-08     1.111e-10     3.372e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.020e+02     2.113e-04     1.927e+02     7.630e+05     1.870e+05     1.331e+02     3.865e-01     9.063e-02     3.128e-02     3.058e-04     1.159e-07     5.340e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     9.089e-15     1.500e+01     9.000e-08     5.933e-05     1.914e-11     3.173e-18     5.254e-09     7.650e-05     1.730e-06     1.000e-08     1.445e-10     3.557e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.010e+02     2.495e-04     1.895e+02     7.650e+05     1.890e+05     1.443e+02     5.176e-01     1.048e-01     3.265e-02     3.163e-04     1.310e-07     5.077e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     1.345e-14     1.220e+01     9.000e-08     5.941e-05     1.914e-11     4.673e-18     5.992e-09     7.650e-05     1.770e-06     1.000e-08     1.878e-10     3.750e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.000e+02     2.945e-04     1.866e+02     7.670e+05     1.910e+05     1.563e+02     6.918e-01     1.211e-01     3.408e-02     3.267e-04     1.479e-07     4.825e+01     1.200e-05     1.000e-10     4.300e-06     1.000e-08     1.988e-14     9.320e+00     9.000e-08     5.950e-05     1.914e-11     6.869e-18     6.829e-09     7.650e-05     1.812e-06     1.000e-08     2.438e-10     3.954e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.900e+01     3.500e-04     1.842e+02     7.710e+05     1.940e+05     1.690e+02     8.026e-01     1.408e-01     3.563e-02     3.381e-04     1.680e-07     4.439e+01     1.234e-05     1.000e-10     4.300e-06     1.000e-08     2.985e-14     6.940e+00     9.000e-08     5.958e-05     1.914e-11     1.027e-17     7.828e-09     7.650e-05     1.853e-06     1.000e-08     3.201e-10     4.178e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.800e+01     4.177e-04     1.823e+02     7.690e+05     1.950e+05     1.821e+02     8.077e-01     1.643e-01     3.729e-02     3.499e-04     1.913e-07     3.922e+01     1.337e-05     1.000e-10     5.100e-06     1.000e-08     4.529e-14     5.220e+00     9.000e-08     5.967e-05     1.914e-11     1.548e-17     9.000e-09     7.650e-05     1.894e-06     1.000e-08     4.228e-10     4.420e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.700e+01     4.993e-04     1.807e+02     7.710e+05     1.980e+05     1.955e+02     8.129e-01     1.921e-01     3.905e-02     3.624e-04     2.181e-07     3.459e+01     1.511e-05     1.000e-10     6.000e-06     1.000e-08     6.896e-14     4.140e+00     9.000e-08     5.975e-05     1.914e-11     2.345e-17     1.036e-08     7.650e-05     1.935e-06     1.000e-08     5.601e-10     4.679e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.600e+01     5.990e-04     1.794e+02     7.750e+05     2.010e+05     2.091e+02     8.181e-01     2.252e-01     4.093e-02     3.754e-04     2.494e-07     3.047e+01     1.722e-05     1.000e-10     6.800e-06     1.000e-08     1.059e-13     3.280e+00     9.000e-08     5.984e-05     1.914e-11     3.581e-17     1.196e-08     7.650e-05     1.977e-06     1.000e-08     7.461e-10     4.959e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.500e+01     7.193e-04     1.787e+02     7.780e+05     2.030e+05     2.223e+02     8.234e-01     2.642e-01     4.291e-02     3.888e-04     2.854e-07     2.754e+01     1.934e-05     1.000e-10     7.700e-06     1.000e-08     1.630e-13     2.480e+00     9.000e-08     5.992e-05     1.914e-11     5.483e-17     1.383e-08     7.650e-05     2.018e-06     1.000e-08     9.957e-10     5.257e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.400e+01     8.646e-04     1.782e+02     7.790e+05     2.060e+05     2.353e+02     8.286e-01     3.103e-01     4.500e-02     4.039e-04     3.267e-07     2.531e+01     2.144e-05     1.000e-10     8.600e-06     1.000e-08     2.515e-13     1.820e+00     9.000e-08     6.001e-05     1.914e-11     8.412e-17     1.599e-08     7.650e-05     2.059e-06     1.000e-08     1.331e-09     5.575e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.300e+01     1.041e-03     1.781e+02     7.800e+05     2.070e+05     2.481e+02     8.339e-01     3.648e-01     4.720e-02     4.198e-04     3.745e-07     2.323e+01     2.356e-05     1.000e-10     9.400e-06     1.000e-08     3.895e-13     1.330e+00     9.000e-08     6.010e-05     1.914e-11     1.294e-16     1.851e-08     7.650e-05     2.100e-06     1.000e-08     1.782e-09     5.914e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.200e+01     1.252e-03     1.786e+02     7.820e+05     2.090e+05     2.602e+02     8.392e-01     4.288e-01     4.951e-02     4.355e-04     4.291e-07     2.132e+01     2.565e-05     1.000e-10     1.000e-05     1.000e-08     6.018e-13     1.030e+00     9.000e-08     6.018e-05     1.914e-11     1.991e-16     2.142e-08     7.650e-05     2.141e-06     1.000e-08     2.385e-09     6.274e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
