# tropic atmospheric constituent profile.
# 
# number of sampled altitude :
41
# number of sampled gas :
30
# sampled gas :
N2 
O2 
CO2 
O3 
H2O 
CH4 
N2O 
HNO3 
CO 
NO2 
N2O5 
ClO 
HOCl 
ClONO2 
NO 
HNO4 
HCN 
NH3 
F11 
F12 
F14 
F22 
CCl4 
COF2 
H2O2 
C2H2 
C2H6 
OCS 
SO2 
SF6 
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
3.000e+01     1.220e+01     2.297e+02     7.890e+05     2.120e+05     3.630e+02     9.493e+00     4.250e+00     1.331e+00     2.033e-01     2.863e-03     2.084e-02     6.758e-03     8.510e-04     2.252e-04     1.183e-04     6.232e-04     5.023e-03     2.341e-04     1.530e-04     6.762e-07     8.871e-05     2.926e-04     7.650e-05     3.568e-05     4.383e-08     1.812e-04     3.347e-04     1.616e-15     1.081e-05     4.511e-06     2.358e-05     1.859e-06
2.900e+01     1.403e+01     2.272e+02     7.890e+05     2.120e+05     3.630e+02     9.180e+00     4.147e+00     1.372e+00     2.195e-01     3.163e-03     1.976e-02     6.275e-03     7.103e-04     2.001e-04     1.143e-04     6.794e-04     4.100e-03     2.700e-04     1.539e-04     1.040e-06     1.082e-04     3.311e-04     7.650e-05     3.830e-05     6.075e-08     1.597e-04     3.564e-04     7.132e-15     1.598e-05     8.756e-06     2.631e-05     1.898e-06
2.800e+01     1.629e+01     2.252e+02     7.890e+05     2.120e+05     3.630e+02     8.356e+00     4.071e+00     1.408e+00     2.309e-01     3.260e-03     1.922e-02     6.009e-03     5.442e-04     1.717e-04     1.011e-04     6.689e-04     3.246e-03     2.756e-04     1.549e-04     1.573e-06     1.299e-04     3.707e-04     7.650e-05     4.118e-05     1.015e-07     1.371e-04     3.275e-04     3.143e-14     2.294e-05     1.341e-05     2.905e-05     1.953e-06
2.700e+01     1.763e+01     2.232e+02     7.890e+05     2.120e+05     3.630e+02     7.404e+00     4.006e+00     1.442e+00     2.401e-01     3.258e-03     1.920e-02     5.194e-03     4.013e-04     1.451e-04     8.607e-05     6.381e-04     2.438e-03     2.667e-04     1.560e-04     2.234e-06     1.550e-04     4.132e-04     7.650e-05     4.488e-05     3.445e-07     1.163e-04     2.820e-04     1.396e-13     3.300e-05     2.217e-05     3.186e-05     2.013e-06
2.600e+01     2.166e+01     2.213e+02     7.890e+05     2.120e+05     3.630e+02     6.434e+00     3.949e+00     1.476e+00     2.499e-01     3.213e-03     1.920e-02     4.213e-03     2.915e-04     1.222e-04     7.084e-05     5.977e-04     1.818e-03     2.531e-04     1.572e-04     3.118e-06     1.838e-04     4.549e-04     7.650e-05     4.859e-05     5.875e-07     9.815e-05     2.355e-04     5.974e-13     4.674e-05     3.686e-05     3.471e-05     2.089e-06
2.500e+01     2.570e+01     2.214e+02     7.890e+05     2.120e+05     3.630e+02     5.064e+00     3.935e+00     1.505e+00     2.580e-01     2.936e-03     1.988e-02     3.891e-03     1.995e-04     1.026e-04     4.908e-05     5.466e-04     1.232e-03     2.166e-04     1.582e-04     4.327e-06     2.079e-04     4.633e-04     7.650e-05     5.229e-05     2.220e-06     8.136e-05     1.677e-04     2.382e-12     6.454e-05     5.435e-05     3.763e-05     2.199e-06
2.400e+01     3.000e+01     2.192e+02     7.890e+05     2.120e+05     3.630e+02     3.975e+00     3.922e+00     1.535e+00     2.665e-01     2.681e-03     2.068e-02     3.521e-03     1.360e-04     8.600e-05     3.386e-05     4.863e-04     8.075e-04     1.849e-04     1.593e-04     5.973e-06     2.355e-04     4.720e-04     7.650e-05     5.600e-05     3.853e-06     6.730e-05     1.189e-04     9.648e-12     8.943e-05     8.030e-05     4.055e-05     2.332e-06
2.300e+01     3.500e+01     2.170e+02     7.890e+05     2.120e+05     3.630e+02     2.880e+00     3.869e+00     1.557e+00     2.752e-01     2.298e-03     2.164e-02     3.088e-03     8.765e-05     6.433e-05     1.886e-05     4.348e-04     4.938e-04     1.441e-04     1.602e-04     8.211e-06     2.494e-04     4.809e-04     7.650e-05     5.971e-05     5.485e-06     5.397e-05     7.724e-05     4.322e-11     1.225e-04     1.187e-04     4.346e-05     2.489e-06
2.200e+01     4.090e+01     2.146e+02     7.890e+05     2.120e+05     3.630e+02     2.005e+00     3.799e+00     1.574e+00     2.802e-01     1.910e-03     2.309e-02     2.685e-03     5.495e-05     4.547e-05     9.436e-06     3.695e-04     2.702e-04     1.073e-04     1.612e-04     1.137e-05     2.555e-04     4.901e-04     7.650e-05     6.341e-05     8.350e-06     4.261e-05     4.800e-05     2.139e-10     1.654e-04     1.460e-04     4.638e-05     2.653e-06
2.100e+01     4.800e+01     2.107e+02     7.890e+05     2.120e+05     3.630e+02     1.332e+00     3.707e+00     1.594e+00     2.851e-01     1.525e-03     2.561e-02     2.272e-03     3.303e-05     3.199e-05     4.394e-06     2.758e-04     2.727e-04     7.449e-05     1.619e-04     1.574e-05     2.605e-04     4.996e-04     7.650e-05     6.753e-05     1.385e-05     3.183e-05     3.010e-05     1.005e-09     2.215e-04     1.805e-04     5.007e-05     2.811e-06
