# win atmospheric constituent profile.
# 
# number of sampled altitude :
121
# number of sampled gas :
30
# sampled gas :
N2 
O2 
CO2 
O3 
H2O 
CH4 
N2O 
HNO3 
CO 
NO2 
N2O5 
ClO 
HOCl 
ClONO2 
NO 
HNO4 
HCN 
NH3 
F11 
F12 
F14 
F22 
CCl4 
COF2 
H2O2 
C2H2 
C2H6 
OCS 
SO2 
SF6 
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
1.100e+02     6.910e-05     2.429e+02     7.450e+05     1.580e+05     8.051e+01     4.560e-02     2.810e-01     2.133e-02     2.495e-04     9.000e-08     5.250e+01     1.600e-02     9.377e-14     9.633e-07     2.854e-21     2.854e-21     1.721e+02     1.015e-14     5.866e-05     1.914e-11     3.532e-09     4.430e-13     7.650e-05     1.400e-06     1.000e-08     8.644e-13     1.633e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.090e+02     7.940e-05     2.374e+02     7.470e+05     1.630e+05     8.465e+01     6.300e-02     2.920e-01     2.204e-02     2.577e-04     9.000e-08     5.320e+01     1.600e-02     1.250e-13     1.093e-06     4.809e-21     4.809e-21     1.561e+02     1.275e-14     5.874e-05     1.914e-11     3.532e-09     5.270e-13     7.650e-05     1.441e-06     1.000e-08     1.122e-12     1.709e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.080e+02     9.150e-05     2.323e+02     7.490e+05     1.670e+05     8.886e+01     8.710e-02     3.030e-01     2.279e-02     2.648e-04     9.000e-08     5.400e+01     1.600e-02     1.677e-13     1.240e-06     8.193e-21     8.193e-21     1.394e+02     1.609e-14     5.883e-05     1.914e-11     3.532e-09     6.291e-13     7.650e-05     1.483e-06     1.000e-08     1.464e-12     1.791e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.070e+02     1.060e-04     2.276e+02     7.510e+05     1.710e+05     9.319e+01     1.180e-01     3.140e-01     2.360e-02     2.730e-04     9.000e-08     5.320e+01     1.600e-02     2.274e-13     1.406e-06     1.424e-20     1.424e-20     1.240e+02     2.048e-14     5.891e-05     1.914e-11     3.532e-09     7.560e-13     7.650e-05     1.524e-06     1.000e-08     1.929e-12     1.880e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.060e+02     1.230e-04     2.232e+02     7.540e+05     1.750e+05     9.947e+01     1.590e-01     3.270e-01     2.444e-02     2.812e-04     9.000e-08     5.250e+01     1.600e-02     3.093e-13     1.595e-06     2.489e-20     2.489e-20     1.139e+02     2.614e-14     5.899e-05     1.914e-11     3.532e-09     9.104e-13     7.650e-05     1.565e-06     1.000e-08     2.549e-12     1.975e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.050e+02     1.440e-04     2.192e+02     7.570e+05     1.780e+05     1.078e+02     2.310e-01     3.380e-01     2.537e-02     2.904e-04     9.000e-08     5.170e+01     1.600e-02     4.287e-13     1.810e-06     4.499e-20     4.499e-20     1.047e+02     3.385e-14     5.908e-05     1.914e-11     3.532e-09     1.108e-12     7.650e-05     1.606e-06     1.000e-08     3.426e-12     2.080e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.040e+02     1.680e-04     2.156e+02     7.600e+05     1.820e+05     1.154e+02     3.360e-01     3.510e-01     2.631e-02     2.996e-04     9.000e-08     5.100e+01     1.600e-02     5.898e-13     2.053e-06     8.028e-20     8.028e-20     9.429e+01     4.359e-14     5.916e-05     1.914e-11     3.532e-09     1.344e-12     7.650e-05     1.647e-06     1.000e-08     4.575e-12     2.188e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.030e+02     1.980e-04     2.125e+02     7.610e+05     1.840e+05     1.238e+02     5.250e-01     3.630e-01     2.735e-02     3.088e-04     9.000e-08     4.920e+01     1.600e-02     8.287e-13     2.329e-06     1.488e-19     1.488e-19     8.349e+01     5.707e-14     5.925e-05     1.914e-11     3.532e-09     1.650e-12     7.650e-05     1.688e-06     1.000e-08     6.226e-12     2.310e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.020e+02     2.330e-04     2.099e+02     7.630e+05     1.870e+05     1.331e+02     8.200e-01     3.750e-01     2.842e-02     3.190e-04     9.000e-08     4.740e+01     1.600e-02     1.161e-12     2.642e-06     2.742e-19     2.742e-19     7.288e+01     7.454e-14     5.933e-05     1.914e-11     3.532e-09     2.022e-12     7.650e-05     1.730e-06     1.000e-08     8.448e-12     2.438e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.010e+02     2.780e-04     2.078e+02     7.650e+05     1.890e+05     1.443e+02     1.150e+00     4.150e-01     2.963e-02     3.293e-04     9.000e-08     4.570e+01     1.600e-02     1.673e-12     2.997e-06     5.323e-19     5.323e-19     6.130e+01     9.958e-14     5.941e-05     1.914e-11     3.532e-09     2.521e-12     7.650e-05     1.770e-06     1.000e-08     1.177e-11     2.584e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
1.000e+02     3.310e-04     2.063e+02     7.670e+05     1.910e+05     1.563e+02     1.600e+00     4.590e-01     3.087e-02     3.395e-04     9.000e-08     4.400e+01     1.629e-02     2.401e-12     3.400e-06     1.025e-18     1.025e-18     5.072e+01     1.326e-13     5.950e-05     1.914e-11     3.532e-09     3.135e-12     7.650e-05     1.812e-06     1.000e-08     1.632e-11     2.737e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.900e+01     3.920e-04     2.053e+02     7.710e+05     1.940e+05     1.690e+02     1.700e+00     5.810e-01     3.213e-02     3.446e-04     9.000e-08     4.180e+01     1.670e-02     3.407e-12     3.857e-06     1.935e-18     1.935e-18     4.115e+01     1.750e-13     5.958e-05     1.914e-11     3.532e-09     3.872e-12     7.650e-05     1.853e-06     1.000e-08     2.241e-11     2.894e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.800e+01     4.680e-04     2.047e+02     7.690e+05     1.950e+05     1.821e+02     1.810e+00     7.370e-01     3.351e-02     3.487e-04     9.000e-08     3.980e+01     1.721e-02     4.917e-12     4.375e-06     3.765e-18     3.765e-18     3.120e+01     2.340e-13     5.967e-05     1.914e-11     3.532e-09     4.832e-12     7.650e-05     1.894e-06     1.000e-08     3.125e-11     3.068e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.700e+01     5.590e-04     2.043e+02     7.710e+05     1.980e+05     1.955e+02     1.680e+00     1.000e+00     3.494e-02     3.538e-04     9.000e-08     3.790e+01     1.782e-02     7.103e-12     4.964e-06     7.339e-18     7.339e-18     2.143e+01     3.132e-13     5.975e-05     1.914e-11     3.532e-09     6.032e-12     7.650e-05     1.935e-06     1.000e-08     4.361e-11     3.253e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.600e+01     6.680e-04     2.040e+02     7.750e+05     2.010e+05     2.091e+02     1.560e+00     1.360e+00     3.644e-02     3.589e-04     9.000e-08     3.600e+01     1.855e-02     1.027e-11     5.631e-06     1.433e-17     1.433e-17     1.473e+01     4.195e-13     5.984e-05     1.914e-11     3.532e-09     7.535e-12     7.650e-05     1.977e-06     1.000e-08     6.091e-11     3.450e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.500e+01     7.980e-04     2.038e+02     7.780e+05     2.030e+05     2.223e+02     1.450e+00     1.840e+00     3.800e-02     3.630e-04     9.000e-08     3.520e+01     1.942e-02     1.484e-11     6.387e-06     2.795e-17     2.795e-17     1.118e+01     5.616e-13     5.992e-05     1.914e-11     3.532e-09     9.410e-12     7.650e-05     2.018e-06     1.000e-08     8.502e-11     3.659e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.400e+01     9.540e-04     2.035e+02     7.790e+05     2.060e+05     2.353e+02     1.350e+00     2.500e+00     3.964e-02     3.681e-04     9.000e-08     3.450e+01     2.047e-02     2.147e-11     7.246e-06     5.465e-17     5.465e-17     8.474e+00     7.527e-13     6.001e-05     1.914e-11     3.532e-09     1.176e-11     7.650e-05     2.059e-06     1.000e-08     1.188e-10     3.881e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.300e+01     1.140e-03     2.032e+02     7.800e+05     2.070e+05     2.481e+02     1.250e+00     3.400e+00     4.134e-02     3.732e-04     9.000e-08     3.370e+01     2.171e-02     3.105e-11     8.220e-06     1.067e-16     1.067e-16     5.941e+00     1.008e-12     6.010e-05     1.914e-11     3.532e-09     1.469e-11     7.650e-05     2.100e-06     1.000e-08     1.660e-10     4.116e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.200e+01     1.390e-03     2.030e+02     7.820e+05     2.090e+05     2.602e+02     1.160e+00     4.145e+00     4.332e-02     3.784e-04     9.000e-08     3.300e+01     2.330e-02     4.681e-11     9.325e-06     2.247e-16     2.247e-16     3.596e+00     1.396e-12     6.018e-05     1.914e-11     3.532e-09     1.882e-11     7.650e-05     2.141e-06     1.000e-08     2.408e-10     4.394e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.100e+01     1.660e-03     2.032e+02     7.820e+05     2.100e+05     2.714e+02     1.050e+00     6.094e+00     4.518e-02     3.835e-04     9.000e-08     3.140e+01     2.472e-02     6.759e-11     1.058e-05     4.377e-16     4.377e-16     2.611e+00     1.867e-12     6.030e-05     1.914e-11     3.532e-09     2.349e-11     7.650e-05     2.182e-06     1.000e-08     3.359e-10     4.659e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
9.000e+01     1.980e-03     2.039e+02     7.830e+05     2.110e+05     2.817e+02     9.580e-01     8.518e+00     4.710e-02     3.886e-04     9.000e-08     2.980e+01     2.639e-02     9.735e-11     1.200e-05     8.486e-16     8.486e-16     2.439e+00     2.494e-12     6.046e-05     1.914e-11     3.532e-09     2.928e-11     7.650e-05     2.224e-06     1.000e-08     4.675e-10     4.938e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
8.900e+01     2.370e-03     2.051e+02     7.840e+05     2.120e+05     2.910e+02     8.340e-01     9.174e+00     4.914e-02     3.947e-04     9.000e-08     2.840e+01     2.843e-02     1.412e-10     1.329e-05     1.667e-15     1.667e-15     2.361e+00     3.349e-12     6.072e-05     1.914e-11     3.532e-09     3.665e-11     7.650e-05     2.273e-06     1.000e-08     6.550e-10     5.239e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
8.800e+01     2.800e-03     2.068e+02     7.860e+05     2.130e+05     2.996e+02     7.270e-01     9.864e+00     5.111e-02     4.009e-04     9.000e-08     2.700e+01     3.068e-02     1.995e-10     1.472e-05     3.119e-15     3.119e-15     2.294e+00     4.403e-12     6.102e-05     1.914e-11     3.532e-09     4.513e-11     7.650e-05     2.322e-06     1.000e-08     8.954e-10     5.536e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
8.700e+01     3.330e-03     2.088e+02     7.860e+05     2.130e+05     3.074e+02     6.190e-01     9.489e+00     5.325e-02     4.070e-04     9.000e-08     2.590e+01     3.337e-02     2.856e-10     1.630e-05     5.981e-15     5.981e-15     2.250e+00     5.851e-12     6.137e-05     1.914e-11     3.532e-09     5.604e-11     7.650e-05     2.372e-06     1.000e-08     1.239e-09     5.861e-06     0.000e+00     0.000e+00     1.091e-08     2.000e-04     1.650e-06
8.600e+01     3.970e-03     2.109e+02     7.860e+05     2.130e+05     3.141e+02     5.280e-01     9.114e+00     5.550e-02     4.131e-04     9.000e-08     2.480e+01     3.652e-02     4.109e-10     1.806e-05     1.157e-14     1.157e-14     2.162e+00     7.806e-12     6.170e-05     1.914e-11     3.532e-09     6.981e-11     7.650e-05     2.421e-06     1.000e-08     1.724e-09     6.211e-06     0.000e+00     1.029e-20     1.091e-08     2.000e-04     1.650e-06
