# tropic atmospheric constituent profile.
# 
# number of sampled altitude :
101
# number of sampled gas :
2
# sampled gas :
O3
H2O 
#HGT [km] PRE [mb] TEM [K] O3 [ppmv] H2O [ppmv]
2.300e+01     3.514e+01     2.148e+02 2.880e+00     3.869e+00
2.200e+01     4.116e+01     2.123e+02 2.005e+00     3.799e+00
2.100e+01     4.831e+01     2.098e+02 1.332e+00     3.707e+00
2.000e+01     5.689e+01     2.069e+02 7.715e-01     3.549e+00
1.900e+01     6.710e+01     2.036e+02 4.446e-01     3.397e+00
1.800e+01     7.935e+01     2.002e+02 2.080e-01     3.504e+00
1.700e+01     9.409e+01     1.979e+02 9.420e-02     3.644e+00
1.600e+01     1.116e+02     1.973e+02 5.929e-02     3.999e+00
1.500e+01     1.323e+02     2.006e+02 4.924e-02     6.323e+00
1.400e+01     1.562e+02     2.068e+02 4.500e-02     1.159e+01
1.300e+01     1.836e+02     2.144e+02 4.288e-02     2.300e+01
1.200e+01     2.145e+02     2.228e+02 4.174e-02     5.407e+01
1.100e+01     2.489e+02     2.308e+02 4.117e-02     2.377e+02
1.000e+01     2.879e+02     2.393e+02 4.099e-02     6.388e+02
9.000e+00     3.306e+02     2.464e+02 4.083e-02     1.023e+03
8.000e+00     3.792e+02     2.540e+02 4.057e-02     1.492e+03
7.000e+00     4.323e+02     2.602e+02 3.988e-02     2.200e+03
6.000e+00     4.922e+02     2.666e+02 3.867e-02     3.293e+03
5.000e+00     5.580e+02     2.721e+02 3.660e-02     4.874e+03
4.000e+00     6.320e+02     2.779e+02 3.407e-02     7.077e+03
3.000e+00     7.131e+02     2.829e+02 3.098e-02     1.004e+04
2.000e+00     8.043e+02     2.885e+02 2.708e-02     1.482e+04
1.000e+00     9.045e+02     2.944e+02 2.267e-02     2.060e+04
0.000e+00     1.017e+03     3.009e+02 1.850e-02     2.725e+04
