# tropic atmospheric constituent profile.
# 
# number of sampled altitude :
121
# number of sampled gas :
0
# sampled gas :
N2
O2 
CO2 
O3 
H2O
CH4
N2O
HNO3
CO
NO2
N2O5
ClO
HOCl
ClONO2
NO
HNO4
HCN
NH3
F11
F12
F14
F22
CCl4
COF2
H2O2
C2H2
C2H6
OCS
SO2
SF6
#HGT [km] PRE [mb] TEM [K] N2 [ppmv] O2 [ppmv] CO2 [ppmv] O3 [ppmv] H2O [ppmv] CH4 [ppmv] N2O [ppmv] HNO3 [ppmv] CO [ppmv] NO2 [ppmv] N2O5 [ppmv] ClO [ppmv] HOCl [ppmv] ClONO2 [ppmv] NO [ppmv] HNO4 [ppmv] HCN [ppmv] NH3 [ppmv] F11 [ppmv] F12 [ppmv] F14 [ppmv] F22 [ppmv] CCl4 [ppmv] COF2 [ppmv] H2O2 [ppmv] C2H2 [ppmv] C2H6 [ppmv] OCS [ppmv] SO2 [ppmv] SF6 [ppmv]
1.100e+02     7.122e-05     2.234e+02     7.450e+05     1.580e+05     8.051e+01     5.030e-02     1.099e+00     1.073e-02     2.442e-04     8.258e-08     5.798e+01     9.000e-08     4.066e-11     1.148e-07     9.788e-14     1.000e-10     1.133e+01     5.145e-19     5.866e-05     1.914e-11     1.744e-14     1.220e-08     7.650e-05     1.400e-06     1.000e-08     1.314e-12     8.963e-06     0.000e+00     1.444e-20     1.091e-08     2.000e-04     1.650e-06
1.090e+02     8.251e-05     2.150e+02     7.470e+05     1.630e+05     8.465e+01     6.696e-02     1.135e+00     1.131e-02     2.524e-04     9.083e-08     5.788e+01     9.000e-08     4.842e-11     1.290e-07     1.305e-13     1.000e-10     8.259e+00     7.670e-19     5.874e-05     1.914e-11     2.197e-14     1.370e-08     7.650e-05     1.441e-06     1.000e-08     1.755e-12     9.207e-06     0.000e+00     2.194e-20     1.091e-08     2.000e-04     1.650e-06
1.080e+02     9.601e-05     2.079e+02     7.490e+05     1.670e+05     8.886e+01     8.983e-02     1.173e+00     1.194e-02     2.599e-04     1.002e-07     5.775e+01     9.000e-08     5.796e-11     1.455e-07     1.754e-13     1.000e-10     6.053e+00     1.157e-18     5.883e-05     1.914e-11     2.787e-14     1.544e-08     7.650e-05     1.483e-06     1.000e-08     2.364e-12     9.464e-06     0.000e+00     3.376e-20     1.091e-08     2.000e-04     1.650e-06
1.070e+02     1.122e-04     2.022e+02     7.510e+05     1.710e+05     9.319e+01     1.216e-01     1.213e+00     1.263e-02     2.686e-04     1.108e-07     5.761e+01     9.000e-08     6.974e-11     1.647e-07     2.378e-13     1.000e-10     4.438e+00     1.766e-18     5.891e-05     1.914e-11     3.559e-14     1.746e-08     7.650e-05     1.524e-06     1.000e-08     3.211e-12     9.737e-06     0.000e+00     5.259e-20     1.091e-08     2.000e-04     1.650e-06
1.060e+02     1.312e-04     1.983e+02     7.540e+05     1.750e+05     9.947e+01     1.645e-01     1.255e+00     1.336e-02     2.776e-04     1.226e-07     5.743e+01     9.000e-08     8.397e-11     1.865e-07     3.227e-13     1.000e-10     3.294e+00     2.701e-18     5.899e-05     1.914e-11     4.549e-14     1.976e-08     7.650e-05     1.565e-06     1.000e-08     4.367e-12     1.002e-05     0.000e+00     8.205e-20     1.091e-08     2.000e-04     1.650e-06
1.050e+02     1.539e-04     1.947e+02     7.570e+05     1.780e+05     1.078e+02     2.219e-01     1.300e+00     1.415e-02     2.873e-04     1.360e-07     5.723e+01     9.000e-08     1.015e-10     2.118e-07     4.407e-13     1.000e-10     2.450e+00     4.164e-18     5.908e-05     1.914e-11     5.843e-14     2.241e-08     7.650e-05     1.606e-06     1.000e-08     5.975e-12     1.031e-05     0.000e+00     1.292e-19     1.091e-08     2.000e-04     1.650e-06
1.040e+02     1.818e-04     1.922e+02     7.600e+05     1.820e+05     1.154e+02     2.970e-01     1.348e+00     1.503e-02     2.968e-04     1.514e-07     5.697e+01     9.000e-08     1.237e-10     2.417e-07     6.101e-13     1.000e-10     1.814e+00     6.545e-18     5.916e-05     1.914e-11     7.588e-14     2.556e-08     7.650e-05     1.647e-06     1.000e-08     8.290e-12     1.063e-05     0.000e+00     2.075e-19     1.091e-08     2.000e-04     1.650e-06
1.030e+02     2.148e-04     1.904e+02     7.610e+05     1.840e+05     1.238e+02     3.979e-01     1.398e+00     1.596e-02     3.068e-04     1.687e-07     5.667e+01     9.000e-08     1.507e-10     2.760e-07     8.451e-13     1.000e-10     1.355e+00     1.029e-17     5.925e-05     1.914e-11     9.858e-14     2.916e-08     7.650e-05     1.688e-06     1.000e-08     1.151e-11     1.096e-05     0.000e+00     3.334e-19     1.091e-08     2.000e-04     1.650e-06
1.020e+02     2.538e-04     1.891e+02     7.630e+05     1.870e+05     1.331e+02     5.333e-01     1.450e+00     1.694e-02     3.174e-04     1.879e-07     5.632e+01     9.000e-08     1.838e-10     3.151e-07     1.171e-12     1.000e-10     1.016e+00     1.619e-17     5.933e-05     1.914e-11     1.281e-13     3.326e-08     7.650e-05     1.730e-06     1.000e-08     1.597e-11     1.130e-05     0.000e+00     5.359e-19     1.091e-08     2.000e-04     1.650e-06
1.010e+02     2.998e-04     1.883e+02     7.650e+05     1.890e+05     1.443e+02     7.138e-01     1.503e+00     1.799e-02     3.279e-04     2.093e-07     5.590e+01     9.000e-08     2.239e-10     3.598e-07     1.620e-12     1.000e-10     7.681e-01     2.544e-17     5.941e-05     1.914e-11     1.663e-13     3.794e-08     7.650e-05     1.770e-06     1.000e-08     2.215e-11     1.164e-05     0.000e+00     8.606e-19     1.091e-08     2.000e-04     1.650e-06
1.000e+02     3.576e-04     1.877e+02     7.670e+05     1.910e+05     1.563e+02     8.032e-01     1.562e+00     1.917e-02     3.396e-04     2.346e-07     5.538e+01     9.000e-08     2.761e-10     4.139e-07     2.286e-12     1.000e-10     5.746e-01     4.105e-17     5.950e-05     1.914e-11     2.193e-13     4.360e-08     7.650e-05     1.812e-06     1.000e-08     3.133e-11     1.202e-05     0.000e+00     1.421e-18     1.091e-08     2.000e-04     1.650e-06
9.900e+01     4.266e-04     1.873e+02     7.710e+05     1.940e+05     1.690e+02     8.083e-01     1.623e+00     2.043e-02     3.512e-04     2.629e-07     5.475e+01     9.000e-08     3.404e-10     4.762e-07     3.227e-12     1.000e-10     4.313e-01     6.626e-17     5.958e-05     1.914e-11     2.892e-13     5.012e-08     7.650e-05     1.853e-06     1.000e-08     4.431e-11     1.242e-05     0.000e+00     2.347e-18     1.091e-08     2.000e-04     1.650e-06
9.800e+01     5.075e-04     1.871e+02     7.690e+05     1.950e+05     1.821e+02     8.133e-01     1.686e+00     2.174e-02     3.636e-04     2.942e-07     5.402e+01     9.000e-08     4.183e-10     5.466e-07     4.529e-12     1.000e-10     3.262e-01     1.061e-16     5.967e-05     1.914e-11     3.798e-13     5.748e-08     7.650e-05     1.894e-06     1.000e-08     6.234e-11     1.281e-05     0.000e+00     3.845e-18     1.091e-08     2.000e-04     1.650e-06
9.700e+01     6.044e-04     1.870e+02     7.710e+05     1.980e+05     1.955e+02     8.184e-01     1.751e+00     2.315e-02     3.761e-04     3.294e-07     5.313e+01     9.000e-08     5.147e-10     6.281e-07     6.371e-12     1.000e-10     2.472e-01     1.705e-16     5.975e-05     1.914e-11     4.996e-13     6.598e-08     7.650e-05     1.935e-06     1.000e-08     8.788e-11     1.323e-05     0.000e+00     6.320e-18     1.091e-08     2.000e-04     1.650e-06
9.600e+01     7.204e-04     1.869e+02     7.750e+05     2.010e+05     2.091e+02     8.235e-01     1.820e+00     2.466e-02     3.889e-04     3.690e-07     5.208e+01     9.000e-08     6.340e-10     7.221e-07     8.977e-12     1.000e-10     1.875e-01     2.747e-16     5.984e-05     1.914e-11     6.580e-13     7.579e-08     7.650e-05     1.977e-06     1.000e-08     1.241e-10     1.366e-05     0.000e+00     1.041e-17     1.091e-08     2.000e-04     1.650e-06
9.500e+01     8.590e-04     1.870e+02     7.780e+05     2.030e+05     2.223e+02     8.285e-01     1.891e+00     2.627e-02     4.033e-04     4.135e-07     5.082e+01     9.000e-08     7.812e-10     8.305e-07     1.266e-11     1.000e-10     1.422e-01     4.428e-16     5.992e-05     1.914e-11     8.672e-13     8.708e-08     7.650e-05     2.018e-06     1.000e-08     1.753e-10     1.410e-05     0.000e+00     1.718e-17     1.091e-08     2.000e-04     1.650e-06
9.400e+01     1.024e-03     1.870e+02     7.790e+05     2.060e+05     2.353e+02     8.335e-01     1.965e+00     2.799e-02     4.184e-04     4.633e-07     4.932e+01     9.000e-08     9.624e-10     9.550e-07     1.784e-11     1.000e-10     1.081e-01     7.133e-16     6.001e-05     1.914e-11     1.142e-12     1.000e-07     7.650e-05     2.059e-06     1.000e-08     2.477e-10     1.456e-05     0.000e+00     2.831e-17     1.091e-08     2.000e-04     1.650e-06
9.300e+01     1.222e-03     1.871e+02     7.800e+05     2.070e+05     2.481e+02     8.385e-01     2.042e+00     2.983e-02     4.334e-04     5.195e-07     4.752e+01     9.000e-08     1.187e-09     1.099e-06     2.519e-11     1.000e-10     8.202e-02     1.152e-15     6.010e-05     1.914e-11     1.507e-12     1.150e-07     7.650e-05     2.100e-06     1.000e-08     3.505e-10     1.504e-05     0.000e+00     4.680e-17     1.091e-08     2.000e-04     1.650e-06
