# model:  unkown 
#
# number of altitude
 50
# number of sampled gas :
 9 
# sampled gas :
h2o 
co2 
o3 
n2o 
co 
ch4 
o2 
no2 
so2 
# z (km)    P(z) (hpa)    T(z) (K)    air (cm-3) h2o(cm-3)    co2(cm-3)    o3(cm-3)    n2o(cm-3)    co(cm-3)    ch4(cm-3)    o2(cm-3)    no2(cm-3)    so2(cm-3) 
23     3.50000E+01     2.17000E+02     1.16900E+18     3.39010E+12     3.85770E+14     3.97460E+12     2.29942E+11     1.52788E+10     1.39228E+12     2.44321E+17     3.01602E+09     2.41983E+07     
22     4.09000E+01     2.14600E+02     1.38100E+18     3.86680E+12     4.55730E+14     3.31440E+12     2.83243E+11     1.70139E+10     1.75663E+12     2.88629E+17     2.98296E+09     3.14868E+07     
21     4.80000E+01     2.10700E+02     1.65100E+18     4.37515E+12     5.44830E+14     2.97180E+12     3.62229E+11     2.03403E+10     2.23710E+12     3.45059E+17     2.90576E+09     4.40817E+07     
20     5.65000E+01     2.06700E+02     1.98100E+18     5.15060E+12     6.53730E+14     2.77340E+12     4.68506E+11     2.63671E+10     2.82094E+12     4.14029E+17     2.75359E+09     6.31939E+07     
19     6.66000E+01     2.02700E+02     2.38100E+18     6.19060E+12     7.85730E+14     2.26195E+12     6.01679E+11     3.68817E+10     3.52388E+12     4.97629E+17     2.52386E+09     9.45257E+07     
18     7.89000E+01     1.98800E+02     2.87700E+18     7.91175E+12     9.49410E+14     1.43850E+12     7.68447E+11     5.65618E+10     4.37592E+12     6.01293E+17     2.21817E+09     1.37521E+08     
17     9.37000E+01     1.94800E+02     3.48600E+18     1.01094E+13     1.15038E+15     8.71500E+11     9.70154E+11     8.67665E+10     5.41376E+12     7.28574E+17     1.80923E+09     1.87198E+08     
16     1.11000E+02     1.97000E+02     4.08400E+18     1.22520E+13     1.34772E+15     5.89730E+11     1.17497E+12     1.25338E+11     6.46089E+12     8.53556E+17     1.30280E+09     2.34830E+08     
15     1.32000E+02     2.03700E+02     4.69700E+18     1.87880E+13     1.55001E+15     5.89943E+11     1.38280E+12     1.85109E+11     7.53868E+12     9.81673E+17     8.03187E+08     2.70078E+08     
14     1.56000E+02     2.10300E+02     5.37700E+18     3.34449E+13     1.77441E+15     5.64585E+11     1.61256E+12     2.70194E+11     8.74300E+12     1.12379E+18     4.02200E+08     3.03263E+08     
13     1.82000E+02     2.17000E+02     6.07900E+18     6.01821E+13     2.00607E+15     5.64678E+11     1.85288E+12     3.87475E+11     9.99996E+12     1.27051E+18     2.70516E+08     3.39816E+08     
12     2.13000E+02     2.23600E+02     6.90400E+18     2.00561E+14     2.27832E+15     5.39548E+11     2.13679E+12     5.39479E+11     1.14744E+13     1.44294E+18     2.17476E+08     3.86624E+08     
