# ARTDECO : output file
# Downward Radiances
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
# total number of geometries
         270
# nsza, nvza_dw, n
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           1
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.184972003E+00
#         sza               vza              vaa               theta              I_dw              dI_dw
      60.000000000     133.000000000     180.000000000     162.000000000       0.029583350       0.000000000
      60.000000000     134.000000000       0.000000000      77.000000000       0.043189913       0.000000000
      60.000000000     134.000000000      90.000000000     111.449243191       0.029558426       0.000000000
      60.000000000     134.000000000     180.000000000     163.000000000       0.028978345       0.000000000
      60.000000000     135.000000000       0.000000000      76.000000000       0.042433888       0.000000000
      60.000000000     135.000000000      90.000000000     111.079924852       0.029198159       0.000000000
      60.000000000     135.000000000     180.000000000     164.000000000       0.028404462       0.000000000
      60.000000000     136.000000000       0.000000000      75.000000000       0.041698705       0.000000000
      60.000000000     136.000000000      90.000000000     110.704811055       0.028853891       0.000000000
      60.000000000     136.000000000     180.000000000     165.000000000       0.027860453       0.000000000
      60.000000000     137.000000000       0.000000000      74.000000000       0.040983498       0.000000000
      60.000000000     137.000000000      90.000000000     110.324042898       0.028524869       0.000000000
      60.000000000     137.000000000     180.000000000     166.000000000       0.027345148       0.000000000
      60.000000000     138.000000000       0.000000000      73.000000000       0.040287462       0.000000000
      60.000000000     138.000000000      90.000000000     109.937761204       0.028210388       0.000000000
      60.000000000     138.000000000     180.000000000     167.000000000       0.026857449       0.000000000
      60.000000000     139.000000000       0.000000000      72.000000000       0.039609844       0.000000000
      60.000000000     139.000000000      90.000000000     109.546106430       0.027909788       0.000000000
      60.000000000     139.000000000     180.000000000     168.000000000       0.026396326       0.000000000
      60.000000000     140.000000000       0.000000000      71.000000000       0.038949947       0.000000000
      60.000000000     140.000000000      90.000000000     109.149218605       0.027622448       0.000000000
      60.000000000     140.000000000     180.000000000     169.000000000       0.025960809       0.000000000
      60.000000000     141.000000000       0.000000000      70.000000000       0.038307120       0.000000000
      60.000000000     141.000000000      90.000000000     108.747237251       0.027347788       0.000000000
      60.000000000     141.000000000     180.000000000     170.000000000       0.025549987       0.000000000
      60.000000000     142.000000000       0.000000000      69.000000000       0.037680756       0.000000000
      60.000000000     142.000000000      90.000000000     108.340301333       0.027085260       0.000000000
      60.000000000     142.000000000     180.000000000     171.000000000       0.025163002       0.000000000
      60.000000000     143.000000000       0.000000000      68.000000000       0.037070291       0.000000000
      60.000000000     143.000000000      90.000000000     107.928549195       0.026834353       0.000000000
      60.000000000     143.000000000     180.000000000     172.000000000       0.024799046       0.000000000
      60.000000000     144.000000000       0.000000000      67.000000000       0.036475202       0.000000000
      60.000000000     144.000000000      90.000000000     107.512118518       0.026594585       0.000000000
      60.000000000     144.000000000     180.000000000     173.000000000       0.024457358       0.000000000
      60.000000000     145.000000000       0.000000000      66.000000000       0.035895002       0.000000000
      60.000000000     145.000000000      90.000000000     107.091146270       0.026365503       0.000000000
      60.000000000     145.000000000     180.000000000     174.000000000       0.024137218       0.000000000
      60.000000000     146.000000000       0.000000000      65.000000000       0.035329237       0.000000000
      60.000000000     146.000000000      90.000000000     106.665768674       0.026146683       0.000000000
      60.000000000     146.000000000     180.000000000     175.000000000       0.023837951       0.000000000
      60.000000000     147.000000000       0.000000000      64.000000000       0.034777487       0.000000000
      60.000000000     147.000000000      90.000000000     106.236121171       0.025937725       0.000000000
      60.000000000     147.000000000     180.000000000     176.000000000       0.023558915       0.000000000
      60.000000000     148.000000000       0.000000000      63.000000000       0.034239362       0.000000000
      60.000000000     148.000000000      90.000000000     105.802338394       0.025738252       0.000000000
      60.000000000     148.000000000     180.000000000     177.000000000       0.023299505       0.000000000
      60.000000000     149.000000000       0.000000000      62.000000000       0.033714501       0.000000000
      60.000000000     149.000000000      90.000000000     105.364554146       0.025547912       0.000000000
      60.000000000     149.000000000     180.000000000     178.000000000       0.023059149       0.000000000
      60.000000000     150.000000000       0.000000000      61.000000000       0.033202569       0.000000000
      60.000000000     150.000000000      90.000000000     104.922901380       0.025366373       0.000000000
      60.000000000     150.000000000     180.000000000     179.000000000       0.022837305       0.000000000
      60.000000000     151.000000000       0.000000000      60.000000000       0.032703257       0.000000000
      60.000000000     151.000000000      90.000000000     104.477512186       0.025193321       0.000000000
      60.000000000     151.000000000     180.000000000     180.000000000       0.022633462       0.000000000
      60.000000000     152.000000000       0.000000000      59.000000000       0.032216279       0.000000000
      60.000000000     152.000000000      90.000000000     104.028517782       0.025028463       0.000000000
      60.000000000     152.000000000     180.000000000     179.000000000       0.022447133       0.000000000
      60.000000000     153.000000000       0.000000000      58.000000000       0.031741373       0.000000000
      60.000000000     153.000000000      90.000000000     103.576048509       0.024871523       0.000000000
      60.000000000     153.000000000     180.000000000     178.000000000       0.022277859       0.000000000
      60.000000000     154.000000000       0.000000000      57.000000000       0.031278296       0.000000000
      60.000000000     154.000000000      90.000000000     103.120233826       0.024722240       0.000000000
      60.000000000     154.000000000     180.000000000     177.000000000       0.022125203       0.000000000
      60.000000000     155.000000000       0.000000000      56.000000000       0.030826826       0.000000000
      60.000000000     155.000000000      90.000000000     102.661202316       0.024580371       0.000000000
      60.000000000     155.000000000     180.000000000     176.000000000       0.021988750       0.000000000
      60.000000000     156.000000000       0.000000000      55.000000000       0.030386760       0.000000000
      60.000000000     156.000000000      90.000000000     102.199081690       0.024445686       0.000000000
      60.000000000     156.000000000     180.000000000     175.000000000       0.021868109       0.000000000
      60.000000000     157.000000000       0.000000000      54.000000000       0.029957914       0.000000000
      60.000000000     157.000000000      90.000000000     101.733998795       0.024317971       0.000000000
      60.000000000     157.000000000     180.000000000     174.000000000       0.021762906       0.000000000
      60.000000000     158.000000000       0.000000000      53.000000000       0.029540118       0.000000000
      60.000000000     158.000000000      90.000000000     101.266079624       0.024197023       0.000000000
      60.000000000     158.000000000     180.000000000     173.000000000       0.021672786       0.000000000
      60.000000000     159.000000000       0.000000000      52.000000000       0.029133221       0.000000000
      60.000000000     159.000000000      90.000000000     100.795449334       0.024082653       0.000000000
      60.000000000     159.000000000     180.000000000     172.000000000       0.021597414       0.000000000
      60.000000000     160.000000000       0.000000000      51.000000000       0.028737086       0.000000000
      60.000000000     160.000000000      90.000000000     100.322232261       0.023974684       0.000000000
      60.000000000     160.000000000     180.000000000     171.000000000       0.021536469       0.000000000
      60.000000000     161.000000000       0.000000000      50.000000000       0.028351590       0.000000000
      60.000000000     161.000000000      90.000000000      99.846551940       0.023872950       0.000000000
      60.000000000     161.000000000     180.000000000     170.000000000       0.021489648       0.000000000
      60.000000000     162.000000000       0.000000000      49.000000000       0.027976625       0.000000000
      60.000000000     162.000000000      90.000000000      99.368531127       0.023777297       0.000000000
      60.000000000     162.000000000     180.000000000     169.000000000       0.021456663       0.000000000
      60.000000000     163.000000000       0.000000000      48.000000000       0.027612096       0.000000000
      60.000000000     163.000000000      90.000000000      98.888291823       0.023687580       0.000000000
      60.000000000     163.000000000     180.000000000     168.000000000       0.021437238       0.000000000
      60.000000000     164.000000000       0.000000000      47.000000000       0.027257921       0.000000000
      60.000000000     164.000000000      90.000000000      98.405955301       0.023603665       0.000000000
      60.000000000     164.000000000     180.000000000     167.000000000       0.021431113       0.000000000
      60.000000000     165.000000000       0.000000000      46.000000000       0.026914028       0.000000000
      60.000000000     165.000000000      90.000000000      97.921642135       0.023525427       0.000000000
      60.000000000     165.000000000     180.000000000     166.000000000       0.021438041       0.000000000
      60.000000000     166.000000000       0.000000000      45.000000000       0.026580360       0.000000000
      60.000000000     166.000000000      90.000000000      97.435472226       0.023452751       0.000000000
      60.000000000     166.000000000     180.000000000     165.000000000       0.021457786       0.000000000
      60.000000000     167.000000000       0.000000000      44.000000000       0.026256869       0.000000000
      60.000000000     167.000000000      90.000000000      96.947564839       0.023385531       0.000000000
      60.000000000     167.000000000     180.000000000     164.000000000       0.021490126       0.000000000
      60.000000000     168.000000000       0.000000000      43.000000000       0.025943518       0.000000000
      60.000000000     168.000000000      90.000000000      96.458038631       0.023323669       0.000000000
      60.000000000     168.000000000     180.000000000     163.000000000       0.021534848       0.000000000
      60.000000000     169.000000000       0.000000000      42.000000000       0.025640282       0.000000000
      60.000000000     169.000000000      90.000000000      95.967011691       0.023267075       0.000000000
      60.000000000     169.000000000     180.000000000     162.000000000       0.021591752       0.000000000
      60.000000000     170.000000000       0.000000000      41.000000000       0.025347143       0.000000000
      60.000000000     170.000000000      90.000000000      95.474601570       0.023215668       0.000000000
      60.000000000     170.000000000     180.000000000     161.000000000       0.021660648       0.000000000
      60.000000000     171.000000000       0.000000000      40.000000000       0.025064096       0.000000000
      60.000000000     171.000000000      90.000000000      94.980925322       0.023169373       0.000000000
      60.000000000     171.000000000     180.000000000     160.000000000       0.021741356       0.000000000
      60.000000000     172.000000000       0.000000000      39.000000000       0.024791144       0.000000000
      60.000000000     172.000000000      90.000000000      94.486099541       0.023128126       0.000000000
      60.000000000     172.000000000     180.000000000     159.000000000       0.021833705       0.000000000
      60.000000000     173.000000000       0.000000000      38.000000000       0.024528299       0.000000000
      60.000000000     173.000000000      90.000000000      93.990240398       0.023091867       0.000000000
      60.000000000     173.000000000     180.000000000     158.000000000       0.021937537       0.000000000
      60.000000000     174.000000000       0.000000000      37.000000000       0.024275582       0.000000000
      60.000000000     174.000000000      90.000000000      93.493463685       0.023060545       0.000000000
      60.000000000     174.000000000     180.000000000     157.000000000       0.022052699       0.000000000
      60.000000000     175.000000000       0.000000000      36.000000000       0.024033026       0.000000000
      60.000000000     175.000000000      90.000000000      92.995884851       0.023034116       0.000000000
      60.000000000     175.000000000     180.000000000     156.000000000       0.022179050       0.000000000
      60.000000000     176.000000000       0.000000000      35.000000000       0.023800667       0.000000000
      60.000000000     176.000000000      90.000000000      92.497619045       0.023012543       0.000000000
      60.000000000     176.000000000     180.000000000     155.000000000       0.022316458       0.000000000
      60.000000000     177.000000000       0.000000000      34.000000000       0.023578555       0.000000000
      60.000000000     177.000000000      90.000000000      91.998781159       0.022995795       0.000000000
      60.000000000     177.000000000     180.000000000     154.000000000       0.022464798       0.000000000
      60.000000000     178.000000000       0.000000000      33.000000000       0.023366746       0.000000000
      60.000000000     178.000000000      90.000000000      91.499485870       0.022983849       0.000000000
      60.000000000     178.000000000     180.000000000     153.000000000       0.022623955       0.000000000
      60.000000000     179.000000000       0.000000000      32.000000000       0.023165304       0.000000000
      60.000000000     179.000000000      90.000000000      90.999847680       0.022976688       0.000000000
      60.000000000     179.000000000     180.000000000     152.000000000       0.022793823       0.000000000
      60.000000000     180.000000000       0.000000000      31.000000000       0.022974302       0.000000000
      60.000000000     180.000000000      90.000000000      90.499980961       0.022974302       0.000000000
      60.000000000     180.000000000     180.000000000     151.000000000       0.022974302       0.000000000
