# The name of the file should be vdist_<name_of_the_particle>.dat
#  Altitude distribution of particles 
#
# number of altitude sampled :
  4
#
#    Alt (km)    concentration (arbitrary unit) 
120             0
0.31            0    
0.3             1.40000e-02    
0               1.40000e-02
