#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
     0.412000000E+00      8     0.488154958E+00     0.100000000E+01     0.900000000E+00     0.860000000E+00
# Betal
# lambda =      0.4120
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.906502427E+00     0.000000000E+00     0.000000000E+00
      1     0.218610719E+01     0.000000000E+00     0.000000000E+00     0.226817833E+01     0.000000000E+00     0.000000000E+00
      2     0.294988570E+01     0.404846289E+01     0.380637793E+01     0.284270734E+01    -0.380356367E-02     0.370565128E-01
      3     0.246928694E+01     0.335657679E+01     0.340381747E+01     0.252924755E+01    -0.178207006E+00    -0.168116066E-01
      4     0.190124122E+01     0.257591228E+01     0.249982728E+01     0.193320291E+01    -0.994847842E-02     0.751804414E-01
      5     0.137921240E+01     0.160992867E+01     0.149992213E+01     0.133446221E+01    -0.178346267E+00    -0.234623802E-01
      6     0.692876949E+00     0.108867138E+01     0.109425340E+01     0.745742879E+00     0.306735515E-01     0.162626245E-01
      7     0.440601418E+00     0.393255326E+00     0.304013737E+00     0.394345341E+00    -0.295349063E-02     0.128841771E-01
