#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00      8   1900     0.488154958E+00     0.200000506E+01     0.100000000E+01     0.900000000E+00     0.860000000E+00
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.997470860E+00     0.877092311E-01     0.838000247E-01    -0.837897048E-01    -0.857168910E-01    -0.521293372E-02    -0.152771469E-02
    -0.997351910E+00     0.885819227E-01     0.839625523E-01    -0.839512259E-01    -0.851471542E-01    -0.545535437E-02    -0.159912865E-02
    -0.997230230E+00     0.894730908E-01     0.841285760E-01    -0.841161701E-01    -0.845654125E-01    -0.570308399E-02    -0.167214093E-02
    -0.997105820E+00     0.903826314E-01     0.842980801E-01    -0.842845185E-01    -0.839717375E-01    -0.595610542E-02    -0.174674878E-02
    -0.996978680E+00     0.913104383E-01     0.844710488E-01    -0.844562513E-01    -0.833662023E-01    -0.621440109E-02    -0.182294935E-02
    -0.996848810E+00     0.922564035E-01     0.846474657E-01    -0.846313487E-01    -0.827488815E-01    -0.647795309E-02    -0.190073974E-02
    -0.996716220E+00     0.932203438E-01     0.848273008E-01    -0.848097767E-01    -0.821198985E-01    -0.674672287E-02    -0.198011101E-02
    -0.996580900E+00     0.942022197E-01     0.850105508E-01    -0.849915280E-01    -0.814792830E-01    -0.702071208E-02    -0.206106612E-02
    -0.996442850E+00     0.952019166E-01     0.851971986E-01    -0.851765815E-01    -0.808271140E-01    -0.729990171E-02    -0.214360200E-02
    -0.996302070E+00     0.962193180E-01     0.853872267E-01    -0.853649155E-01    -0.801634717E-01    -0.758427238E-02    -0.222771547E-02
    -0.996158570E+00     0.972542330E-01     0.855806038E-01    -0.855564946E-01    -0.794884848E-01    -0.787378421E-02    -0.231339738E-02
    -0.996012340E+00     0.983066134E-01     0.857773254E-01    -0.857513097E-01    -0.788021891E-01    -0.816843729E-02    -0.240065041E-02
    -0.995863380E+00     0.993763363E-01     0.859773731E-01    -0.859493381E-01    -0.781046691E-01    -0.846821119E-02    -0.248947122E-02
    -0.995711700E+00     0.100463205E+00     0.861807149E-01    -0.861505432E-01    -0.773960573E-01    -0.877306500E-02    -0.257985047E-02
    -0.995557290E+00     0.101567166E+00     0.863873453E-01    -0.863549146E-01    -0.766763940E-01    -0.908299770E-02    -0.267179064E-02
    -0.995400160E+00     0.102688017E+00     0.865972318E-01    -0.865624153E-01    -0.759458141E-01    -0.939796775E-02    -0.276528226E-02
    -0.995240310E+00     0.103825630E+00     0.868103548E-01    -0.867730208E-01    -0.752044072E-01    -0.971795335E-02    -0.286032177E-02
    -0.995077730E+00     0.104979942E+00     0.870267080E-01    -0.869867194E-01    -0.744522179E-01    -0.100429523E-01    -0.295691144E-02
    -0.994912420E+00     0.106150819E+00     0.872462713E-01    -0.872034860E-01    -0.736893388E-01    -0.103729422E-01    -0.305504757E-02
    -0.994744400E+00     0.107337984E+00     0.874689979E-01    -0.874232688E-01    -0.729159555E-01    -0.107078600E-01    -0.315471452E-02
    -0.994573650E+00     0.108541439E+00     0.876948937E-01    -0.876460681E-01    -0.721320708E-01    -0.110477227E-01    -0.325592033E-02
    -0.994400180E+00     0.109760974E+00     0.879239247E-01    -0.878718444E-01    -0.713378269E-01    -0.113924866E-01    -0.335865516E-02
    -0.994223990E+00     0.110996448E+00     0.881560697E-01    -0.881005711E-01    -0.705333208E-01    -0.117421280E-01    -0.346291506E-02
    -0.994045080E+00     0.112247716E+00     0.883913076E-01    -0.883322210E-01    -0.697186513E-01    -0.120966226E-01    -0.356869602E-02
    -0.993863440E+00     0.113514704E+00     0.886296297E-01    -0.885667797E-01    -0.688938727E-01    -0.124559657E-01    -0.367599986E-02
    -0.993679090E+00     0.114797124E+00     0.888709881E-01    -0.888041934E-01    -0.680591767E-01    -0.128200928E-01    -0.378481061E-02
    -0.993492020E+00     0.116094897E+00     0.891153737E-01    -0.890444469E-01    -0.672146202E-01    -0.131889986E-01    -0.389513000E-02
    -0.993302230E+00     0.117407872E+00     0.893627642E-01    -0.892875115E-01    -0.663603065E-01    -0.135626574E-01    -0.400695373E-02
    -0.993109720E+00     0.118735897E+00     0.896131370E-01    -0.895333583E-01    -0.654963402E-01    -0.139410434E-01    -0.412027750E-02
    -0.992914490E+00     0.120078818E+00     0.898664692E-01    -0.897819579E-01    -0.646228269E-01    -0.143241304E-01    -0.423509688E-02
    -0.992716540E+00     0.121436478E+00     0.901227379E-01    -0.900332806E-01    -0.637398737E-01    -0.147118920E-01    -0.435140744E-02
    -0.992515880E+00     0.122808652E+00     0.903819067E-01    -0.902872837E-01    -0.628476329E-01    -0.151042815E-01    -0.446919878E-02
    -0.992312500E+00     0.124195248E+00     0.906439652E-01    -0.905439494E-01    -0.619461691E-01    -0.155012916E-01    -0.458847219E-02
    -0.992106410E+00     0.125596038E+00     0.909088766E-01    -0.908032344E-01    -0.610356365E-01    -0.159028753E-01    -0.470921717E-02
    -0.991897590E+00     0.127010996E+00     0.911766428E-01    -0.910651325E-01    -0.601160583E-01    -0.163090436E-01    -0.483144072E-02
