# 
# Monochromatic solar spectrum 
# Integrated value (W m-2) : 
1373.097
# Number of sampled values :
54154
# 
# lambda (microns)         Spectr. (W m-2 microns-1) 
2.62487860e-01  1.1319324e+02
2.62494750e-01  1.7096375e+02
2.62501641e-01  2.1333067e+02
2.62508532e-01  2.1549620e+02
2.62515423e-01  2.0532735e+02
2.62522314e-01  1.8819476e+02
2.62529206e-01  1.7889896e+02
2.62536099e-01  1.5306447e+02
2.62542991e-01  1.2804513e+02
2.62549884e-01  1.1071710e+02
2.62556778e-01  1.1908136e+02
2.62563672e-01  1.4488027e+02
2.62570566e-01  1.4255192e+02
2.62577460e-01  1.2907030e+02
2.62584355e-01  1.1873728e+02
2.62591250e-01  1.0739018e+02
2.62598146e-01  9.4782625e+01
2.62605042e-01  7.8942704e+01
2.62611938e-01  6.9310490e+01
2.62618835e-01  5.4575519e+01
2.62625732e-01  5.5848527e+01
2.62632629e-01  5.5613629e+01
2.62639527e-01  4.7405374e+01
2.62646425e-01  5.2070691e+01
2.62653324e-01  5.8199566e+01
2.62660223e-01  6.0457693e+01
2.62667122e-01  6.9005984e+01
2.62674022e-01  8.2640506e+01
2.62680921e-01  8.9592558e+01
2.62687822e-01  1.0277532e+02
2.62694722e-01  1.0736356e+02
2.62701623e-01  1.1331339e+02
2.62708525e-01  1.1517658e+02
2.62715427e-01  1.0414464e+02
2.62722329e-01  8.1016447e+01
2.62729231e-01  8.8588974e+01
2.62736134e-01  8.8830588e+01
2.62743037e-01  9.7807014e+01
2.62749941e-01  1.2539556e+02
2.62756845e-01  1.3969928e+02
2.62763749e-01  1.4801986e+02
2.62770654e-01  1.4497074e+02
2.62777559e-01  1.1977922e+02
2.62784464e-01  1.0018004e+02
2.62791370e-01  7.7571010e+01
2.62798276e-01  9.8359563e+01
2.62805183e-01  1.3877916e+02
2.62812089e-01  1.4550415e+02
2.62818997e-01  1.3627449e+02
2.62825904e-01  1.3070835e+02
2.62832812e-01  1.0940766e+02
2.62839720e-01  8.7790761e+01
2.62846629e-01  1.0186956e+02
2.62853538e-01  1.0541020e+02
2.62860447e-01  9.5592174e+01
2.62867357e-01  9.1303455e+01
2.62874267e-01  7.6190746e+01
2.62881178e-01  7.0210458e+01
2.62888089e-01  5.2148637e+01
2.62895000e-01  4.2350454e+01
2.62901911e-01  4.0120135e+01
2.62908823e-01  2.8225845e+01
2.62915736e-01  4.3761502e+01
2.62922648e-01  5.1512897e+01
2.62929561e-01  5.9408128e+01
2.62936475e-01  6.8835748e+01
2.62943388e-01  7.1580206e+01
2.62950302e-01  8.4390491e+01
2.62957217e-01  9.7040345e+01
2.62964132e-01  1.0378866e+02
2.62971047e-01  1.1389111e+02
2.62977962e-01  1.1517204e+02
2.62984878e-01  1.2641509e+02
2.62991795e-01  1.1581055e+02
2.62998711e-01  1.1662853e+02
2.63005628e-01  1.3521375e+02
2.63012546e-01  1.3221425e+02
2.63019463e-01  1.3408647e+02
2.63026382e-01  1.1794826e+02
2.63033300e-01  8.3498928e+01
2.63040219e-01  6.9663088e+01
2.63047138e-01  9.8433679e+01
2.63054058e-01  9.8255084e+01
2.63060978e-01  1.0053312e+02
2.63067898e-01  1.1528116e+02
2.63074818e-01  1.0544969e+02
2.63081739e-01  7.2776395e+01
2.63088661e-01  6.7051316e+01
2.63095583e-01  9.1101778e+01
2.63102505e-01  9.0678048e+01
2.63109427e-01  9.0153245e+01
2.63116350e-01  9.9349686e+01
2.63123273e-01  9.8535605e+01
2.63130197e-01  9.1799963e+01
2.63137121e-01  8.4617319e+01
2.63144045e-01  7.4547126e+01
2.63150970e-01  6.6615226e+01
2.63157895e-01  6.3218320e+01
2.63164820e-01  5.2587712e+01
2.63171746e-01  4.9639494e+01
2.63178672e-01  4.0844310e+01
2.63185598e-01  3.2569782e+01
2.63192525e-01  2.9060071e+01
2.63199453e-01  3.9928428e+01
2.63206380e-01  4.0936754e+01
2.63213308e-01  3.4829051e+01
2.63220236e-01  3.9186032e+01
2.63227165e-01  4.1752936e+01
2.63234094e-01  4.0639502e+01
2.63241023e-01  3.7563584e+01
2.63247953e-01  4.8081165e+01
2.63254883e-01  6.0516744e+01
2.63261814e-01  7.6659164e+01
2.63268745e-01  8.4460590e+01
2.63275676e-01  9.0717497e+01
2.63282608e-01  9.1506168e+01
2.63289540e-01  9.5006762e+01
2.63296472e-01  8.5885283e+01
2.63303405e-01  6.5413041e+01
2.63310338e-01  6.4803819e+01
2.63317271e-01  7.2242429e+01
2.63324205e-01  9.6539300e+01
2.63331139e-01  9.9158839e+01
2.63338073e-01  7.0212181e+01
2.63345008e-01  9.1188838e+01
2.63351944e-01  1.1353306e+02
2.63358879e-01  1.0481863e+02
2.63365815e-01  6.8121313e+01
2.63372751e-01  6.7541066e+01
2.63379688e-01  7.9646689e+01
2.63386625e-01  1.2066739e+02
2.63393563e-01  1.4270030e+02
2.63400500e-01  1.4185680e+02
2.63407439e-01  1.7727563e+02
2.63414377e-01  1.6054850e+02
2.63421316e-01  1.4158940e+02
2.63428255e-01  1.4081819e+02
2.63435195e-01  1.2691990e+02
2.63442135e-01  1.4725852e+02
2.63449075e-01  1.7145636e+02
2.63456016e-01  1.6755735e+02
2.63462957e-01  1.5847237e+02
2.63469899e-01  1.5212546e+02
2.63476840e-01  1.4462681e+02
2.63483783e-01  1.8451911e+02
2.63490725e-01  1.9271941e+02
2.63497668e-01  1.8925258e+02
2.63504611e-01  1.4299771e+02
2.63511555e-01  1.7036698e+02
2.63518499e-01  2.3170416e+02
2.63525443e-01  2.6423538e+02
2.63532388e-01  2.3427155e+02
2.63539333e-01  1.7393062e+02
2.63546279e-01  1.3221198e+02
2.63553225e-01  1.7463212e+02
2.63560171e-01  1.8671552e+02
2.63567117e-01  1.9419118e+02
2.63574064e-01  2.1404526e+02
2.63581012e-01  2.2353381e+02
2.63587959e-01  2.3949816e+02
2.63594907e-01  1.7558435e+02
2.63601856e-01  1.1623935e+02
2.63608805e-01  1.1080795e+02
2.63615754e-01  1.5440345e+02
2.63622703e-01  1.7914460e+02
2.63629653e-01  1.5812814e+02
2.63636603e-01  1.1317292e+02
2.63643554e-01  7.5099352e+01
2.63650505e-01  6.7988663e+01
2.63657456e-01  1.1721168e+02
2.63664408e-01  2.0728170e+02
2.63671360e-01  2.5200443e+02
2.63678312e-01  1.9848618e+02
2.63685265e-01  2.5801842e+02
2.63692218e-01  3.4961522e+02
2.63699172e-01  3.6857941e+02
2.63706126e-01  3.3045291e+02
2.63713080e-01  2.2934926e+02
2.63720035e-01  1.4939267e+02
2.63726990e-01  2.2731218e+02
2.63733945e-01  2.5605417e+02
2.63740901e-01  1.9249773e+02
2.63747857e-01  1.6373663e+02
2.63754814e-01  1.9017747e+02
2.63761770e-01  1.9792937e+02
2.63768728e-01  1.7722152e+02
2.63775685e-01  1.5177296e+02
2.63782643e-01  1.7404106e+02
2.63789601e-01  2.0464194e+02
2.63796560e-01  2.6110589e+02
2.63803519e-01  3.2532336e+02
2.63810479e-01  3.5720460e+02
2.63817438e-01  3.2313385e+02
2.63824398e-01  2.8748631e+02
2.63831359e-01  2.2914367e+02
2.63838320e-01  1.6922696e+02
2.63845281e-01  2.7523068e+02
2.63852243e-01  3.4014189e+02
2.63859205e-01  2.7979790e+02
2.63866167e-01  3.6093174e+02
2.63873130e-01  4.4018997e+02
2.63880093e-01  3.0890658e+02
2.63887056e-01  1.5810702e+02
2.63894020e-01  2.0246969e+02
2.63900984e-01  3.6184162e+02
2.63907949e-01  3.9944058e+02
2.63914914e-01  4.0961316e+02
2.63921879e-01  4.1763120e+02
2.63928845e-01  3.7167071e+02
2.63935811e-01  3.6145904e+02
2.63942777e-01  3.3890379e+02
2.63949744e-01  2.9754785e+02
2.63956711e-01  3.7044402e+02
2.63963679e-01  3.5736417e+02
2.63970646e-01  3.4615135e+02
2.63977615e-01  2.7768139e+02
2.63984583e-01  2.0520073e+02
2.63991552e-01  2.1853442e+02
2.63998522e-01  3.4335210e+02
2.64005491e-01  3.8824142e+02
2.64012461e-01  2.8406409e+02
2.64019432e-01  2.3383839e+02
2.64026403e-01  2.3511711e+02
2.64033374e-01  1.7041146e+02
2.64040345e-01  2.2792046e+02
2.64047317e-01  3.2113717e+02
2.64054290e-01  3.1853863e+02
2.64061262e-01  2.0938399e+02
2.64068235e-01  1.9632297e+02
2.64075209e-01  2.5768718e+02
2.64082182e-01  2.7502388e+02
2.64089156e-01  2.6626297e+02
2.64096131e-01  2.0560093e+02
2.64103106e-01  2.0057218e+02
2.64110081e-01  2.2220905e+02
2.64117057e-01  2.4513381e+02
2.64124033e-01  2.3938704e+02
2.64131009e-01  2.4109445e+02
2.64137986e-01  2.7978092e+02
2.64144963e-01  2.7589642e+02
2.64151940e-01  2.7989467e+02
2.64158918e-01  3.0424219e+02
2.64165896e-01  3.1869943e+02
2.64172875e-01  3.0091432e+02
2.64179854e-01  1.9329141e+02
2.64186833e-01  1.2147057e+02
2.64193813e-01  1.7622188e+02
2.64200793e-01  2.8953301e+02
2.64207773e-01  3.0140785e+02
2.64214754e-01  2.4108489e+02
2.64221735e-01  1.7861971e+02
2.64228716e-01  1.4394813e+02
2.64235698e-01  1.3925709e+02
2.64242680e-01  1.1730891e+02
2.64249663e-01  1.9562386e+02
2.64256646e-01  2.8783541e+02
2.64263629e-01  3.6328350e+02
2.64270613e-01  3.3677479e+02
2.64277597e-01  2.3424083e+02
2.64284582e-01  2.4153019e+02
2.64291566e-01  2.5239788e+02
2.64298552e-01  2.4064572e+02
2.64305537e-01  2.8744263e+02
2.64312523e-01  4.3028231e+02
2.64319509e-01  4.6904877e+02
2.64326496e-01  4.9450041e+02
2.64333483e-01  4.4180667e+02
2.64340471e-01  4.3090689e+02
2.64347458e-01  4.3517721e+02
2.64354446e-01  4.1698104e+02
2.64361435e-01  4.0465341e+02
2.64368424e-01  3.9747798e+02
2.64375413e-01  4.2392548e+02
2.64382403e-01  4.1660673e+02
2.64389393e-01  3.6594219e+02
2.64396383e-01  3.9095666e+02
2.64403374e-01  4.1396588e+02
2.64410365e-01  4.1551737e+02
2.64417356e-01  4.0891613e+02
2.64424348e-01  3.7571384e+02
2.64431340e-01  4.1287723e+02
2.64438333e-01  4.6877034e+02
2.64445326e-01  4.3070824e+02
2.64452319e-01  4.0037161e+02
2.64459313e-01  3.3843910e+02
2.64466307e-01  2.0588362e+02
2.64473301e-01  1.1608934e+02
2.64480296e-01  1.7841359e+02
2.64487291e-01  2.7732697e+02
2.64494287e-01  2.4014674e+02
2.64501283e-01  1.8481744e+02
2.64508279e-01  2.4483800e+02
2.64515276e-01  3.3100689e+02
2.64522273e-01  3.8329600e+02
2.64529270e-01  3.4411929e+02
2.64536268e-01  3.2995407e+02
2.64543266e-01  3.1864818e+02
2.64550265e-01  2.2147020e+02
2.64557263e-01  2.6289265e+02
2.64564263e-01  3.2159785e+02
2.64571262e-01  2.8986562e+02
2.64578262e-01  2.1042359e+02
2.64585263e-01  2.2698262e+02
2.64592263e-01  2.6239459e+02
2.64599264e-01  2.9351788e+02
2.64606266e-01  2.6979364e+02
2.64613268e-01  1.8309007e+02
2.64620270e-01  2.3206367e+02
2.64627272e-01  3.5214690e+02
2.64634275e-01  3.4855843e+02
2.64641279e-01  3.1898334e+02
2.64648282e-01  2.9983418e+02
2.64655286e-01  2.1743966e+02
2.64662291e-01  2.3070511e+02
2.64669296e-01  2.8251315e+02
2.64676301e-01  2.6722417e+02
2.64683306e-01  2.1082757e+02
2.64690312e-01  1.4430290e+02
2.64697319e-01  1.3827226e+02
2.64704325e-01  1.6498169e+02
2.64711332e-01  1.7325015e+02
2.64718340e-01  1.8993718e+02
2.64725347e-01  2.2146274e+02
2.64732356e-01  2.2330595e+02
2.64739364e-01  1.6964646e+02
2.64746373e-01  2.7221894e+02
2.64753382e-01  3.4524892e+02
2.64760392e-01  2.9059290e+02
2.64767402e-01  3.1283087e+02
2.64774412e-01  3.3150043e+02
2.64781423e-01  3.1836049e+02
2.64788434e-01  2.8682305e+02
2.64795446e-01  2.2020454e+02
2.64802457e-01  2.1819631e+02
2.64809470e-01  2.4984294e+02
2.64816482e-01  2.2016956e+02
2.64823495e-01  1.9819914e+02
2.64830508e-01  1.2042455e+02
2.64837522e-01  1.5811480e+02
2.64844536e-01  2.2938975e+02
2.64851551e-01  2.6900903e+02
2.64858566e-01  2.5759066e+02
2.64865581e-01  2.4873928e+02
2.64872596e-01  2.3190681e+02
2.64879612e-01  1.8186688e+02
2.64886629e-01  1.2845449e+02
2.64893645e-01  1.0630104e+02
2.64900662e-01  1.1946299e+02
2.64907680e-01  1.4506368e+02
2.64914697e-01  1.6657215e+02
2.64921716e-01  1.5331235e+02
2.64928734e-01  1.3434067e+02
2.64935753e-01  1.3769581e+02
2.64942772e-01  1.0905386e+02
2.64949792e-01  1.1500263e+02
2.64956812e-01  2.0540692e+02
2.64963832e-01  2.3929636e+02
2.64970853e-01  2.0168196e+02
2.64977874e-01  1.8187444e+02
2.64984896e-01  1.4611847e+02
2.64991918e-01  1.9609598e+02
2.64998940e-01  1.8697195e+02
2.65005963e-01  1.5435404e+02
2.65012986e-01  1.9848535e+02
2.65020009e-01  2.3634736e+02
2.65027033e-01  2.3163661e+02
2.65034057e-01  2.6351361e+02
2.65041081e-01  2.1865773e+02
2.65048106e-01  2.1238283e+02
2.65055131e-01  1.9258629e+02
2.65062157e-01  1.7834281e+02
2.65069183e-01  1.9213890e+02
2.65076209e-01  2.3197763e+02
2.65083236e-01  3.4481717e+02
2.65090263e-01  3.7695925e+02
2.65097291e-01  3.0550721e+02
2.65104319e-01  1.9706803e+02
2.65111347e-01  2.1185468e+02
2.65118375e-01  2.1312390e+02
2.65125404e-01  1.6445805e+02
2.65132434e-01  1.6501836e+02
2.65139463e-01  1.6372937e+02
2.65146493e-01  1.4394903e+02
2.65153524e-01  2.0126193e+02
2.65160555e-01  2.8416962e+02
2.65167586e-01  3.2354935e+02
2.65174617e-01  3.2338998e+02
2.65181649e-01  2.3748136e+02
2.65188682e-01  1.6750791e+02
2.65195714e-01  1.1790339e+02
2.65202748e-01  1.1511037e+02
2.65209781e-01  1.4970948e+02
2.65216815e-01  2.5760606e+02
2.65223849e-01  3.5070665e+02
2.65230883e-01  3.1074344e+02
2.65237918e-01  2.2032332e+02
2.65244954e-01  2.3381461e+02
2.65251989e-01  1.7666635e+02
2.65259025e-01  2.1716159e+02
2.65266062e-01  2.2795073e+02
2.65273099e-01  2.7597059e+02
2.65280136e-01  2.4156803e+02
2.65287173e-01  1.4351222e+02
2.65294211e-01  1.4128809e+02
2.65301250e-01  2.4067712e+02
2.65308288e-01  3.5630827e+02
2.65315327e-01  3.4037851e+02
2.65322367e-01  1.9205648e+02
2.65329406e-01  9.5383937e+01
2.65336447e-01  1.7612778e+02
2.65343487e-01  3.5465140e+02
2.65350528e-01  4.1627076e+02
2.65357569e-01  4.0730167e+02
2.65364611e-01  3.5047670e+02
2.65371653e-01  3.3384400e+02
2.65378695e-01  2.7958483e+02
2.65385738e-01  2.5088887e+02
2.65392781e-01  2.5925227e+02
2.65399825e-01  2.0997467e+02
2.65406869e-01  2.0215555e+02
2.65413913e-01  2.7596175e+02
2.65420958e-01  2.8247671e+02
2.65428003e-01  1.8168392e+02
2.65435048e-01  1.0336982e+02
2.65442094e-01  1.2608661e+02
2.65449140e-01  1.9868514e+02
2.65456186e-01  3.1461541e+02
2.65463233e-01  3.6923132e+02
2.65470281e-01  3.8027955e+02
2.65477328e-01  3.3655791e+02
2.65484376e-01  2.9482724e+02
2.65491425e-01  2.8856918e+02
2.65498473e-01  2.0329286e+02
2.65505523e-01  2.2002128e+02
2.65512572e-01  2.5788359e+02
2.65519622e-01  3.2808199e+02
2.65526672e-01  4.2564711e+02
2.65533723e-01  3.9470610e+02
2.65540774e-01  3.7043391e+02
2.65547825e-01  3.8331918e+02
2.65554877e-01  4.1662299e+02
2.65561929e-01  4.4113182e+02
2.65568982e-01  4.7457080e+02
2.65576034e-01  4.5483785e+02
2.65583088e-01  3.5528775e+02
2.65590141e-01  3.5725362e+02
2.65597195e-01  4.6511384e+02
2.65604250e-01  4.6537264e+02
2.65611304e-01  4.1559552e+02
2.65618360e-01  3.7177665e+02
2.65625415e-01  2.9040408e+02
2.65632471e-01  2.5056473e+02
2.65639527e-01  2.5040970e+02
2.65646584e-01  2.5011298e+02
2.65653641e-01  2.4783250e+02
2.65660698e-01  2.1834740e+02
2.65667756e-01  2.5630724e+02
2.65674814e-01  2.9511311e+02
2.65681873e-01  1.7850348e+02
2.65688931e-01  1.5016162e+02
2.65695991e-01  2.1559796e+02
2.65703050e-01  1.8215785e+02
2.65710110e-01  1.6855079e+02
2.65717171e-01  2.7490732e+02
2.65724231e-01  4.2841341e+02
2.65731293e-01  4.9041878e+02
2.65738354e-01  4.5428237e+02
2.65745416e-01  3.0557645e+02
2.65752478e-01  1.9412560e+02
2.65759541e-01  2.3885666e+02
2.65766604e-01  3.2322511e+02
2.65773667e-01  4.1692833e+02
2.65780731e-01  4.1435801e+02
2.65787795e-01  3.4143437e+02
2.65794860e-01  3.0206559e+02
2.65801924e-01  3.1365594e+02
2.65808990e-01  2.9934433e+02
2.65816055e-01  2.4229327e+02
2.65823121e-01  2.1241989e+02
2.65830188e-01  2.8556999e+02
2.65837254e-01  3.8757910e+02
2.65844322e-01  4.2137612e+02
2.65851389e-01  4.5785783e+02
2.65858457e-01  3.8992246e+02
2.65865525e-01  2.6554628e+02
2.65872594e-01  2.6638096e+02
2.65879663e-01  2.8008829e+02
2.65886732e-01  1.9873895e+02
2.65893802e-01  2.1541874e+02
2.65900872e-01  2.1512441e+02
2.65907943e-01  2.2770012e+02
2.65915014e-01  2.7803393e+02
2.65922085e-01  2.2767590e+02
2.65929156e-01  1.4578967e+02
2.65936228e-01  1.1774258e+02
2.65943301e-01  1.4506721e+02
2.65950374e-01  2.6424580e+02
2.65957447e-01  4.0122509e+02
2.65964520e-01  3.5441078e+02
2.65971594e-01  2.0355978e+02
2.65978669e-01  2.1330234e+02
2.65985743e-01  2.7477647e+02
2.65992818e-01  3.7765621e+02
2.65999894e-01  3.6081775e+02
2.66006969e-01  2.8900628e+02
2.66014046e-01  3.0707933e+02
2.66021122e-01  2.7795348e+02
2.66028199e-01  3.1849203e+02
2.66035276e-01  3.7527498e+02
2.66042354e-01  3.3724914e+02
2.66049432e-01  2.8312163e+02
2.66056510e-01  3.0867657e+02
2.66063589e-01  3.3267489e+02
2.66070668e-01  4.1642182e+02
2.66077748e-01  3.9111624e+02
2.66084828e-01  3.4844074e+02
2.66091908e-01  3.0704088e+02
2.66098989e-01  3.8187413e+02
2.66106070e-01  3.1703469e+02
2.66113151e-01  1.5575530e+02
2.66120233e-01  1.0667894e+02
2.66127315e-01  1.8482501e+02
2.66134398e-01  2.6924564e+02
2.66141481e-01  3.3728033e+02
2.66148564e-01  3.5646191e+02
2.66155648e-01  3.3512694e+02
2.66162732e-01  3.7124555e+02
2.66169816e-01  3.8336473e+02
2.66176901e-01  4.6492496e+02
2.66183986e-01  4.5092780e+02
2.66191072e-01  3.4661024e+02
2.66198158e-01  1.7724727e+02
2.66205244e-01  1.2209090e+02
2.66212331e-01  1.5027726e+02
2.66219418e-01  1.7594908e+02
2.66226506e-01  2.0486324e+02
2.66233593e-01  1.8227907e+02
2.66240682e-01  1.3169385e+02
2.66247770e-01  9.3965294e+01
2.66254859e-01  1.4472791e+02
2.66261949e-01  2.6983405e+02
2.66269038e-01  2.5204798e+02
2.66276128e-01  1.7502791e+02
2.66283219e-01  1.9419871e+02
2.66290310e-01  3.1575001e+02
2.66297401e-01  3.0120862e+02
2.66304493e-01  2.0417924e+02
2.66311585e-01  2.4534043e+02
2.66318677e-01  3.4388129e+02
2.66325770e-01  3.0354120e+02
2.66332863e-01  2.1513200e+02
2.66339956e-01  2.8038975e+02
2.66347050e-01  3.5156098e+02
2.66354144e-01  4.7234085e+02
2.66361239e-01  4.5638860e+02
2.66368334e-01  3.6714916e+02
2.66375430e-01  2.8299280e+02
2.66382525e-01  2.9157416e+02
2.66389621e-01  2.0771262e+02
2.66396718e-01  2.1826981e+02
2.66403815e-01  2.2093533e+02
2.66410912e-01  1.4610825e+02
2.66418010e-01  7.0908740e+01
2.66425108e-01  6.7594279e+01
2.66432206e-01  8.0973576e+01
2.66439305e-01  8.6364394e+01
2.66446404e-01  1.2296868e+02
2.66453504e-01  1.7634431e+02
2.66460604e-01  2.1717926e+02
2.66467704e-01  1.7576218e+02
2.66474805e-01  1.4533406e+02
2.66481906e-01  1.3732773e+02
2.66489007e-01  1.4037604e+02
2.66496109e-01  1.9107246e+02
2.66503211e-01  3.4537640e+02
2.66510314e-01  4.3799784e+02
2.66517417e-01  3.8560339e+02
2.66524520e-01  3.1012741e+02
2.66531624e-01  2.1101054e+02
2.66538728e-01  1.2161667e+02
2.66545833e-01  1.7960023e+02
2.66552937e-01  2.9289040e+02
2.66560043e-01  3.9786498e+02
2.66567148e-01  4.3415211e+02
2.66574254e-01  3.5799808e+02
2.66581361e-01  3.0507015e+02
2.66588467e-01  3.5289444e+02
2.66595575e-01  2.8097792e+02
2.66602682e-01  2.2370109e+02
2.66609790e-01  2.9135865e+02
2.66616898e-01  4.1120035e+02
2.66624007e-01  3.7868365e+02
2.66631116e-01  2.8652952e+02
2.66638225e-01  3.4783982e+02
2.66645335e-01  4.0675257e+02
2.66652445e-01  3.2234688e+02
2.66659556e-01  2.1755848e+02
2.66666667e-01  1.8604688e+02
2.66673778e-01  1.0104774e+02
2.66680890e-01  1.1335978e+02
2.66688002e-01  2.1245038e+02
2.66695114e-01  2.8048703e+02
2.66702227e-01  3.0887074e+02
2.66709340e-01  2.2773961e+02
2.66716454e-01  1.0601978e+02
2.66723568e-01  1.3880794e+02
2.66730682e-01  1.7232350e+02
2.66737797e-01  1.2598903e+02
2.66744912e-01  1.1901140e+02
2.66752027e-01  1.2130982e+02
2.66759143e-01  8.0283370e+01
2.66766259e-01  9.2054665e+01
2.66773376e-01  9.3230059e+01
2.66780493e-01  1.6706048e+02
2.66787610e-01  3.4646691e+02
2.66794728e-01  3.7482741e+02
2.66801846e-01  3.0835917e+02
2.66808965e-01  3.2365449e+02
2.66816084e-01  3.4302174e+02
2.66823203e-01  4.2826269e+02
2.66830323e-01  4.7276329e+02
2.66837443e-01  5.0714710e+02
2.66844563e-01  5.2411298e+02
2.66851684e-01  4.5246568e+02
2.66858805e-01  2.7901965e+02
2.66865927e-01  1.6274108e+02
2.66873048e-01  1.5753731e+02
2.66880171e-01  2.3236215e+02
2.66887293e-01  1.5527421e+02
2.66894417e-01  1.4305242e+02
2.66901540e-01  2.3078079e+02
2.66908664e-01  3.1878053e+02
2.66915788e-01  3.8936591e+02
2.66922913e-01  4.0506490e+02
2.66930038e-01  3.6897394e+02
2.66937163e-01  3.0074893e+02
2.66944289e-01  1.9365906e+02
2.66951415e-01  1.3603121e+02
2.66958541e-01  2.2436795e+02
2.66965668e-01  2.6336220e+02
2.66972795e-01  2.1732886e+02
2.66979923e-01  2.6459674e+02
2.66987051e-01  3.1312215e+02
2.66994180e-01  2.1504956e+02
2.67001308e-01  2.6651817e+02
2.67008437e-01  3.2036579e+02
2.67015567e-01  2.2399161e+02
2.67022697e-01  1.3978742e+02
2.67029827e-01  8.4496263e+01
2.67036958e-01  7.0902953e+01
2.67044089e-01  1.1950211e+02
2.67051220e-01  1.6209466e+02
2.67058352e-01  1.8367877e+02
2.67065484e-01  2.2278624e+02
2.67072617e-01  2.4576679e+02
2.67079750e-01  2.5066032e+02
2.67086883e-01  1.9219068e+02
2.67094017e-01  2.0353462e+02
2.67101151e-01  2.3506152e+02
2.67108286e-01  2.5733447e+02
2.67115421e-01  2.7161631e+02
2.67122556e-01  3.0313452e+02
2.67129691e-01  3.4572025e+02
2.67136827e-01  3.4051696e+02
2.67143964e-01  3.8982204e+02
2.67151101e-01  3.2380683e+02
2.67158238e-01  2.2515352e+02
2.67165375e-01  2.7277565e+02
2.67172513e-01  3.7432851e+02
2.67179652e-01  3.4699183e+02
2.67186790e-01  3.7330796e+02
2.67193929e-01  4.9528946e+02
2.67201069e-01  5.1585226e+02
2.67208209e-01  4.5167924e+02
2.67215349e-01  4.0894043e+02
2.67222489e-01  3.9505456e+02
2.67229630e-01  4.5062659e+02
2.67236772e-01  3.7610887e+02
2.67243914e-01  3.1672107e+02
2.67251056e-01  2.8310158e+02
2.67258198e-01  1.5358350e+02
2.67265341e-01  1.1973833e+02
2.67272484e-01  1.4544776e+02
2.67279628e-01  1.1635199e+02
2.67286772e-01  1.4683195e+02
2.67293916e-01  1.8125568e+02
2.67301061e-01  1.6487087e+02
2.67308206e-01  1.5702481e+02
2.67315352e-01  1.2134486e+02
2.67322498e-01  8.7627827e+01
2.67329644e-01  8.7105407e+01
2.67336791e-01  1.2721607e+02
2.67343938e-01  1.9573885e+02
2.67351085e-01  1.9223074e+02
2.67358233e-01  1.0822543e+02
2.67365382e-01  1.8031945e+02
2.67372530e-01  3.0788354e+02
2.67379679e-01  2.5205655e+02
2.67386829e-01  1.3730893e+02
2.67393978e-01  1.1580494e+02
2.67401128e-01  1.8041109e+02
2.67408279e-01  2.2053727e+02
2.67415430e-01  2.4429804e+02
2.67422581e-01  2.3044169e+02
2.67429733e-01  2.4748785e+02
2.67436885e-01  2.5642285e+02
2.67444037e-01  2.3501840e+02
2.67451190e-01  3.4922342e+02
2.67458343e-01  4.2916676e+02
2.67465497e-01  3.6931528e+02
2.67472651e-01  3.6412371e+02
2.67479805e-01  3.6200767e+02
2.67486960e-01  2.6597055e+02
2.67494115e-01  3.1305421e+02
2.67501271e-01  4.9568924e+02
2.67508427e-01  5.2109565e+02
2.67515583e-01  3.9055630e+02
2.67522739e-01  4.0352996e+02
2.67529896e-01  3.5795999e+02
2.67537054e-01  2.6335616e+02
2.67544212e-01  2.5216574e+02
2.67551370e-01  3.9576029e+02
2.67558528e-01  4.4700500e+02
2.67565687e-01  3.3453740e+02
2.67572847e-01  2.8926509e+02
2.67580006e-01  3.7905526e+02
2.67587167e-01  3.7247099e+02
2.67594327e-01  2.8600666e+02
2.67601488e-01  2.3292655e+02
2.67608649e-01  3.8344249e+02
2.67615811e-01  4.2126150e+02
2.67622973e-01  3.5226579e+02
2.67630135e-01  3.6551030e+02
2.67637298e-01  3.1244013e+02
2.67644461e-01  3.1088781e+02
2.67651625e-01  3.3697486e+02
2.67658789e-01  3.9572187e+02
2.67665953e-01  3.0218412e+02
2.67673118e-01  1.7543885e+02
2.67680283e-01  1.4626099e+02
2.67687448e-01  2.0333097e+02
2.67694614e-01  3.5696141e+02
2.67701780e-01  4.5420141e+02
2.67708947e-01  4.9171123e+02
2.67716114e-01  5.1372980e+02
2.67723281e-01  4.3180570e+02
2.67730449e-01  3.2045383e+02
2.67737617e-01  3.6368237e+02
2.67744786e-01  3.7775186e+02
2.67751955e-01  3.8121882e+02
2.67759124e-01  2.9179183e+02
2.67766294e-01  1.6569318e+02
2.67773464e-01  1.6261608e+02
2.67780634e-01  1.4601193e+02
2.67787805e-01  8.8411278e+01
2.67794976e-01  6.5761081e+01
2.67802148e-01  1.0666780e+02
2.67809320e-01  1.6313025e+02
2.67816492e-01  2.5444167e+02
2.67823665e-01  3.4170034e+02
2.67830838e-01  3.9186790e+02
2.67838012e-01  4.1624150e+02
2.67845185e-01  3.6060251e+02
2.67852360e-01  2.3444179e+02
2.67859534e-01  1.5763345e+02
2.67866710e-01  2.5587932e+02
2.67873885e-01  2.8387705e+02
2.67881061e-01  2.0178298e+02
2.67888237e-01  2.4413318e+02
2.67895414e-01  2.1151502e+02
2.67902591e-01  1.7750705e+02
2.67909768e-01  2.5454317e+02
2.67916946e-01  3.4550259e+02
