# 
# Monochromatic solar spectrum 
# Integrated value (W m-2) : 
1373.097
# Number of sampled values :
54154
# 
# lambda (microns)         Spectr. (W m-2 microns-1) 
1.85092639e-01  2.1566988e+00
1.85096065e-01  2.2456100e+00
1.85099491e-01  2.3941834e+00
1.85102917e-01  2.4658804e+00
1.85106344e-01  2.8292670e+00
1.85109770e-01  2.9834042e+00
1.85113197e-01  2.9196372e+00
1.85116623e-01  3.0291659e+00
1.85120050e-01  3.0728948e+00
1.85123477e-01  2.5712150e+00
1.85126904e-01  2.0566023e+00
1.85130332e-01  1.8083519e+00
1.85133759e-01  2.0826294e+00
1.85137187e-01  3.1954626e+00
1.85140614e-01  2.6827651e+00
1.85144042e-01  2.0293270e+00
1.85147470e-01  2.1594245e+00
1.85150898e-01  2.9434679e+00
1.85154326e-01  3.5204146e+00
1.85157754e-01  3.0483998e+00
1.85161183e-01  3.0309156e+00
1.85164611e-01  3.1822092e+00
1.85168040e-01  2.8771959e+00
1.85171469e-01  2.0318143e+00
1.85174898e-01  1.5289160e+00
1.85178327e-01  2.2657314e+00
1.85181756e-01  1.8260391e+00
1.85185185e-01  1.7908129e+00
1.85188615e-01  2.2693199e+00
1.85192044e-01  2.7315604e+00
1.85195474e-01  2.9584024e+00
1.85198904e-01  3.2006528e+00
1.85202334e-01  3.2022423e+00
1.85205764e-01  3.1337231e+00
1.85209194e-01  2.9705722e+00
1.85212624e-01  2.4737060e+00
1.85216055e-01  2.5521650e+00
1.85219485e-01  2.7065986e+00
1.85222916e-01  2.9286971e+00
1.85226347e-01  3.0960075e+00
1.85229778e-01  3.0633527e+00
1.85233209e-01  2.7183882e+00
1.85236640e-01  2.2193098e+00
1.85240071e-01  2.1364364e+00
1.85243503e-01  1.8285245e+00
1.85246934e-01  1.2624325e+00
1.85250366e-01  8.9725011e-01
1.85253798e-01  9.9376638e-01
1.85257230e-01  1.4929808e+00
1.85260662e-01  2.0858271e+00
1.85264094e-01  2.4750626e+00
1.85267526e-01  2.5667704e+00
1.85270959e-01  2.6432312e+00
1.85274391e-01  2.3709642e+00
1.85277824e-01  2.4944972e+00
1.85281257e-01  2.8753110e+00
1.85284690e-01  3.1137375e+00
1.85288123e-01  2.8733047e+00
1.85291556e-01  2.6647470e+00
1.85294990e-01  2.4993971e+00
1.85298423e-01  2.9194808e+00
1.85301857e-01  2.9941027e+00
1.85305290e-01  2.6412386e+00
1.85308724e-01  2.8662883e+00
1.85312158e-01  2.6626473e+00
1.85315592e-01  1.7434751e+00
1.85319027e-01  1.7241987e+00
1.85322461e-01  2.3809293e+00
1.85325896e-01  2.9547795e+00
1.85329330e-01  2.9347226e+00
1.85332765e-01  3.4476214e+00
1.85336200e-01  3.4697010e+00
1.85339635e-01  3.3185070e+00
1.85343070e-01  3.2605902e+00
1.85346505e-01  3.3926338e+00
1.85349941e-01  3.2140317e+00
1.85353376e-01  3.2532620e+00
1.85356812e-01  2.9508051e+00
1.85360248e-01  2.8877775e+00
1.85363684e-01  3.3347683e+00
1.85367120e-01  3.7507585e+00
1.85370556e-01  3.7295330e+00
1.85373992e-01  3.5381328e+00
1.85377428e-01  3.4011932e+00
1.85380865e-01  3.5121632e+00
1.85384302e-01  3.7236352e+00
