#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 unknown 
# Used material is:
 unknown 
# Number of phase matrix elements : 
 4 
# number of wavelengths 
   186
#  lambda         nteta          Cext               SSA                g 
 1.1800000e+00      145       7.8538803e+01          9.9773492e-01          -32768.0 
 1.1900000e+00      145       7.8561464e+01          9.9770939e-01          -32768.0 
 1.2000000e+00      144       7.8584360e+01          9.9768390e-01          -32768.0 
 1.2100000e+00      142       7.8604759e+01          9.9770645e-01          -32768.0 
 1.2200000e+00      140       7.8620389e+01          9.9777459e-01          -32768.0 
 1.2300000e+00      141       7.8642119e+01          9.9781990e-01          -32768.0 
 1.2400000e+00      138       7.8663121e+01          9.9787063e-01          -32768.0 
 1.2500000e+00      140       7.8683453e+01          9.9795399e-01          -32768.0 
 1.2600000e+00      137       7.8703360e+01          9.9801388e-01          -32768.0 
 1.2700000e+00      139       7.8720105e+01          9.9801474e-01          -32768.0 
 1.2800000e+00      137       7.8745035e+01          9.9791773e-01          -32768.0 
 1.2900000e+00      142       7.8762711e+01          9.9782178e-01          -32768.0 
 1.3000000e+00      144       7.8782757e+01          9.9750785e-01          -32768.0 
 1.3100000e+00      142       7.8804022e+01          9.9707562e-01          -32768.0 
 1.3200000e+00      143       7.8823032e+01          9.9671239e-01          -32768.0 
 1.3300000e+00      142       7.8841680e+01          9.9614277e-01          -32768.0 
 1.3400000e+00      144       7.8863171e+01          9.9506683e-01          -32768.0 
 1.3500000e+00      141       7.8881254e+01          9.9312838e-01          -32768.0 
 1.3600000e+00      144       7.8903037e+01          9.9256247e-01          -32768.0 
 1.3700000e+00      145       7.8921153e+01          9.9066680e-01          -32768.0 
 1.3800000e+00      143       7.8939767e+01          9.8751235e-01          -32768.0 
 1.3900000e+00      143       7.8960499e+01          9.8311175e-01          -32768.0 
 1.4000000e+00      139       7.8980063e+01          9.7566347e-01          -32768.0 
 1.4100000e+00      139       7.8998826e+01          9.6115015e-01          -32768.0 
 1.4200000e+00      140       7.9018148e+01          9.5249691e-01          -32768.0 
 1.4300000e+00      141       7.9037390e+01          9.4848253e-01          -32768.0 
 1.4400000e+00      141       7.9056756e+01          9.4771831e-01          -32768.0 
 1.4500000e+00      140       7.9076025e+01          9.4799545e-01          -32768.0 
 1.4600000e+00      141       7.9095362e+01          9.4904440e-01          -32768.0 
 1.4700000e+00      141       7.9114647e+01          9.5239632e-01          -32768.0 
 1.4800000e+00      143       7.9133984e+01          9.5742138e-01          -32768.0 
 1.4900000e+00      142       7.9153322e+01          9.6235209e-01          -32768.0 
 1.5000000e+00      141       7.9172578e+01          9.6787254e-01          -32768.0 
 1.5100000e+00      141       7.9191712e+01          9.7183711e-01          -32768.0 
 1.5200000e+00      141       7.9211257e+01          9.7485634e-01          -32768.0 
 1.5300000e+00      142       7.9229858e+01          9.7684582e-01          -32768.0 
 1.5400000e+00      143       7.9249366e+01          9.7903010e-01          -32768.0 
 1.5500000e+00      141       7.9268518e+01          9.8093189e-01          -32768.0 
 1.5600000e+00      142       7.9287058e+01          9.8241586e-01          -32768.0 
 1.5700000e+00      143       7.9306330e+01          9.8376971e-01          -32768.0 
 1.5800000e+00      143       7.9325868e+01          9.8475241e-01          -32768.0 
 1.5900000e+00      144       7.9343639e+01          9.8610606e-01          -32768.0 
 1.6000000e+00      142       7.9363188e+01          9.8690368e-01          -32768.0 
 1.6100000e+00      143       7.9382722e+01          9.8763916e-01          -32768.0 
 1.6200000e+00      140       7.9400974e+01          9.8831711e-01          -32768.0 
 1.6300000e+00      142       7.9418955e+01          9.8879763e-01          -32768.0 
 1.6400000e+00      142       7.9439377e+01          9.8907797e-01          -32768.0 
 1.6500000e+00      142       7.9456637e+01          9.8961924e-01          -32768.0 
 1.6600000e+00      143       7.9475824e+01          9.8988892e-01          -32768.0 
 1.6700000e+00      142       7.9496243e+01          9.8992909e-01          -32768.0 
 1.6800000e+00      141       7.9513412e+01          9.8986110e-01          -32768.0 
 1.6900000e+00      143       7.9532652e+01          9.8979313e-01          -32768.0 
 1.7000000e+00      142       7.9551117e+01          9.8960197e-01          -32768.0 
 1.7100000e+00      142       7.9568703e+01          9.8933397e-01          -32768.0 
 1.7200000e+00      142       7.9588393e+01          9.8899758e-01          -32768.0 
 1.7300000e+00      140       7.9606973e+01          9.8834849e-01          -32768.0 
 1.7400000e+00      141       7.9625193e+01          9.8778030e-01          -32768.0 
 1.7500000e+00      141       7.9644229e+01          9.8710420e-01          -32768.0 
 1.7600000e+00      145       7.9662388e+01          9.8665692e-01          -32768.0 
 1.7700000e+00      144       7.9680588e+01          9.8578997e-01          -32768.0 
 1.7800000e+00      144       7.9699514e+01          9.8447220e-01          -32768.0 
 1.7900000e+00      145       7.9718018e+01          9.8345685e-01          -32768.0 
 1.8000000e+00      145       7.9735806e+01          9.8312463e-01          -32768.0 
 1.8100000e+00      145       7.9754254e+01          9.8309636e-01          -32768.0 
 1.8200000e+00      145       7.9773065e+01          9.8304968e-01          -32768.0 
