#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 mie3
# Used material is:
 opac_waso70
# Number of phase matrix elements :
           4
# number of wavelengths
           1
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
     0.550000000E+00    901     0.790283684E-02     0.981127676E+00    -0.327680000E+05
# Phase matrix
# lambda =      0.5500
#         u                 F11              F44               F21               F34
    -0.977574971E+00     0.188953196E+00    -0.149783204E+00     0.223634630E-01     0.201950758E-01
    -0.976833514E+00     0.189047354E+00    -0.148584029E+00     0.226378023E-01     0.212225357E-01
    -0.976080142E+00     0.189141883E+00    -0.147392382E+00     0.228975968E-01     0.222534354E-01
    -0.975314863E+00     0.189235708E+00    -0.146208462E+00     0.231427376E-01     0.232862753E-01
    -0.974537687E+00     0.189327816E+00    -0.145032434E+00     0.233731450E-01     0.243196097E-01
    -0.973748624E+00     0.189417260E+00    -0.143864436E+00     0.235887674E-01     0.253520493E-01
    -0.972947682E+00     0.189503158E+00    -0.142704582E+00     0.237895801E-01     0.263822637E-01
    -0.972134872E+00     0.189584692E+00    -0.141552962E+00     0.239755845E-01     0.274089820E-01
    -0.971310204E+00     0.189661106E+00    -0.140409645E+00     0.241468068E-01     0.284309948E-01
    -0.970473688E+00     0.189731707E+00    -0.139274683E+00     0.243032968E-01     0.294471535E-01
    -0.969625334E+00     0.189795859E+00    -0.138148112E+00     0.244451265E-01     0.304563712E-01
    -0.968765151E+00     0.189852985E+00    -0.137029951E+00     0.245723892E-01     0.314576213E-01
    -0.967893152E+00     0.189902558E+00    -0.135920211E+00     0.246851981E-01     0.324499376E-01
    -0.967009346E+00     0.189944105E+00    -0.134818890E+00     0.247836851E-01     0.334324123E-01
    -0.966113744E+00     0.189977198E+00    -0.133725980E+00     0.248679997E-01     0.344041952E-01
    -0.965206358E+00     0.190001454E+00    -0.132641467E+00     0.249383076E-01     0.353644917E-01
    -0.964287197E+00     0.190016532E+00    -0.131565330E+00     0.249947894E-01     0.363125617E-01
    -0.963356274E+00     0.190022126E+00    -0.130497546E+00     0.250376401E-01     0.372477168E-01
    -0.962413600E+00     0.190017966E+00    -0.129438091E+00     0.250670672E-01     0.381693193E-01
    -0.961459186E+00     0.190003813E+00    -0.128386939E+00     0.250832898E-01     0.390767798E-01
    -0.960493044E+00     0.189979457E+00    -0.127344064E+00     0.250865381E-01     0.399695552E-01
    -0.959515186E+00     0.189944716E+00    -0.126309444E+00     0.250770514E-01     0.408471472E-01
    -0.958525623E+00     0.189899430E+00    -0.125283054E+00     0.250550780E-01     0.417090999E-01
    -0.957524368E+00     0.189843460E+00    -0.124264875E+00     0.250208738E-01     0.425549985E-01
    -0.956511432E+00     0.189776691E+00    -0.123254889E+00     0.249747013E-01     0.433844676E-01
    -0.955486829E+00     0.189699023E+00    -0.122253081E+00     0.249168291E-01     0.441971693E-01
    -0.954450571E+00     0.189610376E+00    -0.121259439E+00     0.248475309E-01     0.449928019E-01
    -0.953402670E+00     0.189510685E+00    -0.120273955E+00     0.247670844E-01     0.457710989E-01
    -0.952343139E+00     0.189399904E+00    -0.119296622E+00     0.246757712E-01     0.465318272E-01
    -0.951271992E+00     0.189277999E+00    -0.118327436E+00     0.245738754E-01     0.472747863E-01
    -0.950189240E+00     0.189144953E+00    -0.117366394E+00     0.244616836E-01     0.479998073E-01
    -0.949094898E+00     0.189000763E+00    -0.116413498E+00     0.243394835E-01     0.487067517E-01
    -0.947988979E+00     0.188845443E+00    -0.115468746E+00     0.242075639E-01     0.493955110E-01
    -0.946871496E+00     0.188679020E+00    -0.114532141E+00     0.240662140E-01     0.500660052E-01
    -0.945742462E+00     0.188501537E+00    -0.113603682E+00     0.239157224E-01     0.507181828E-01
    -0.944601893E+00     0.188313054E+00    -0.112683370E+00     0.237563772E-01     0.513520195E-01
    -0.943449801E+00     0.188113646E+00    -0.111771204E+00     0.235884651E-01     0.519675179E-01
    -0.942286200E+00     0.187903402E+00    -0.110867178E+00     0.234122709E-01     0.525647064E-01
    -0.941111105E+00     0.187682432E+00    -0.109971287E+00     0.232280772E-01     0.531436388E-01
    -0.939924530E+00     0.187450858E+00    -0.109083519E+00     0.230361639E-01     0.537043935E-01
    -0.938726490E+00     0.187208822E+00    -0.108203860E+00     0.228368077E-01     0.542470725E-01
    -0.937516999E+00     0.186956479E+00    -0.107332290E+00     0.226302817E-01     0.547718008E-01
    -0.936296072E+00     0.186694005E+00    -0.106468783E+00     0.224168551E-01     0.552787253E-01
    -0.935063724E+00     0.186421587E+00    -0.105613310E+00     0.221967928E-01     0.557680142E-01
    -0.933819970E+00     0.186139432E+00    -0.104765833E+00     0.219703547E-01     0.562398554E-01
    -0.932564825E+00     0.185847759E+00    -0.103926308E+00     0.217377960E-01     0.566944559E-01
    -0.931298304E+00     0.185546804E+00    -0.103094684E+00     0.214993662E-01     0.571320405E-01
    -0.930020423E+00     0.185236814E+00    -0.102270905E+00     0.212553093E-01     0.575528502E-01
    -0.928731197E+00     0.184918051E+00    -0.101454905E+00     0.210058631E-01     0.579571415E-01
    -0.927430642E+00     0.184590787E+00    -0.100646613E+00     0.207512594E-01     0.583451845E-01
    -0.926118775E+00     0.184255305E+00    -0.998459509E-01     0.204917234E-01     0.587172617E-01
    -0.924795610E+00     0.183911898E+00    -0.990528327E-01     0.202274735E-01     0.590736666E-01
    -0.923461165E+00     0.183560863E+00    -0.982671666E-01     0.199587212E-01     0.594147020E-01
    -0.922115455E+00     0.183202509E+00    -0.974888546E-01     0.196856711E-01     0.597406788E-01
    -0.920758496E+00     0.182837145E+00    -0.967177927E-01     0.194085205E-01     0.600519140E-01
    -0.919390307E+00     0.182465086E+00    -0.959538715E-01     0.191274595E-01     0.603487298E-01
    -0.918010902E+00     0.182086648E+00    -0.951969770E-01     0.188426708E-01     0.606314515E-01
    -0.916620299E+00     0.181702148E+00    -0.944469906E-01     0.185543296E-01     0.609004065E-01
    -0.915218515E+00     0.181311902E+00    -0.937037901E-01     0.182626040E-01     0.611559227E-01
    -0.913805567E+00     0.180916222E+00    -0.929672504E-01     0.179676545E-01     0.613983273E-01
    -0.912381472E+00     0.180515420E+00    -0.922372439E-01     0.176696344E-01     0.616279452E-01
    -0.910946247E+00     0.180109799E+00    -0.915136411E-01     0.173686901E-01     0.618450983E-01
    -0.909499911E+00     0.179699660E+00    -0.907963117E-01     0.170649606E-01     0.620501040E-01
    -0.908042480E+00     0.179285295E+00    -0.900851250E-01     0.167585783E-01     0.622432746E-01
    -0.906573973E+00     0.178866988E+00    -0.893799503E-01     0.164496689E-01     0.624249159E-01
    -0.905094408E+00     0.178445016E+00    -0.886806583E-01     0.161383516E-01     0.625953272E-01
    -0.903603801E+00     0.178019647E+00    -0.879871207E-01     0.158247397E-01     0.627548000E-01
    -0.902102173E+00     0.177591139E+00    -0.872992118E-01     0.155089403E-01     0.629036178E-01
    -0.900589540E+00     0.177159739E+00    -0.866168082E-01     0.151910551E-01     0.630420557E-01
    -0.899065922E+00     0.176725687E+00    -0.859397897E-01     0.148711807E-01     0.631703801E-01
    -0.897531336E+00     0.176289209E+00    -0.852680399E-01     0.145494084E-01     0.632888487E-01
    -0.895985803E+00     0.175850525E+00    -0.846014460E-01     0.142258252E-01     0.633977101E-01
    -0.894429340E+00     0.175409842E+00    -0.839398996E-01     0.139005139E-01     0.634972043E-01
    -0.892861966E+00     0.174967360E+00    -0.832832969E-01     0.135735531E-01     0.635875628E-01
    -0.891283701E+00     0.174523268E+00    -0.826315387E-01     0.132450183E-01     0.636690085E-01
    -0.889694564E+00     0.174077746E+00    -0.819845307E-01     0.129149815E-01     0.637417565E-01
    -0.888094575E+00     0.173630967E+00    -0.813421833E-01     0.125835118E-01     0.638060142E-01
    -0.886483752E+00     0.173183097E+00    -0.807044122E-01     0.122506761E-01     0.638619821E-01
    -0.884862115E+00     0.172734291E+00    -0.800711374E-01     0.119165387E-01     0.639098539E-01
    -0.883229685E+00     0.172284701E+00    -0.794422841E-01     0.115811621E-01     0.639498174E-01
    -0.881586481E+00     0.171834473E+00    -0.788177819E-01     0.112446072E-01     0.639820549E-01
    -0.879932524E+00     0.171383745E+00    -0.781975645E-01     0.109069332E-01     0.640067440E-01
    -0.878267832E+00     0.170932653E+00    -0.775815701E-01     0.105681984E-01     0.640240577E-01
    -0.876592427E+00     0.170481327E+00    -0.769697403E-01     0.102284597E-01     0.640341655E-01
    -0.874906330E+00     0.170029895E+00    -0.763620206E-01     0.988777332E-02     0.640372340E-01
    -0.873209560E+00     0.169578480E+00    -0.757583591E-01     0.954619465E-02     0.640334266E-01
    -0.871502138E+00     0.169127206E+00    -0.751587069E-01     0.920377839E-02     0.640229052E-01
    -0.869784086E+00     0.168676190E+00    -0.745630175E-01     0.886057862E-02     0.640058296E-01
    -0.868055424E+00     0.168225551E+00    -0.739712462E-01     0.851664888E-02     0.639823584E-01
    -0.866316173E+00     0.167775404E+00    -0.733833498E-01     0.817204211E-02     0.639526493E-01
    -0.864566355E+00     0.167325865E+00    -0.727992864E-01     0.782681070E-02     0.639168592E-01
    -0.862805990E+00     0.166877048E+00    -0.722190148E-01     0.748100639E-02     0.638751448E-01
    -0.861035101E+00     0.166429066E+00    -0.716424941E-01     0.713468027E-02     0.638276623E-01
    -0.859253708E+00     0.165982030E+00    -0.710696837E-01     0.678788266E-02     0.637745676E-01
    -0.857461835E+00     0.165536053E+00    -0.705005423E-01     0.644066303E-02     0.637160165E-01
    -0.855659501E+00     0.165091244E+00    -0.699350285E-01     0.609306989E-02     0.636521646E-01
    -0.853846730E+00     0.164647713E+00    -0.693730997E-01     0.574515068E-02     0.635831673E-01
    -0.852023544E+00     0.164205568E+00    -0.688147124E-01     0.539695162E-02     0.635091795E-01
    -0.850189965E+00     0.163764917E+00    -0.682598219E-01     0.504851762E-02     0.634303554E-01
    -0.848346015E+00     0.163325866E+00    -0.677083819E-01     0.469989213E-02     0.633468486E-01
    -0.846491716E+00     0.162888518E+00    -0.671603449E-01     0.435111701E-02     0.632588115E-01
    -0.844627092E+00     0.162452977E+00    -0.666156614E-01     0.400223243E-02     0.631663952E-01
    -0.842752164E+00     0.162019342E+00    -0.660742805E-01     0.365327675E-02     0.630697492E-01
    -0.840866957E+00     0.161587713E+00    -0.655361498E-01     0.330428643E-02     0.629690212E-01
    -0.838971493E+00     0.161158185E+00    -0.650012150E-01     0.295529593E-02     0.628643564E-01
    -0.837065794E+00     0.160730852E+00    -0.644694204E-01     0.260633765E-02     0.627558977E-01
    -0.835149885E+00     0.160305804E+00    -0.639407089E-01     0.225744190E-02     0.626437850E-01
    -0.833223789E+00     0.159883129E+00    -0.634150220E-01     0.190863681E-02     0.625281552E-01
    -0.831287528E+00     0.159462912E+00    -0.628923002E-01     0.155994837E-02     0.624091417E-01
    -0.829341128E+00     0.159045234E+00    -0.623724828E-01     0.121140039E-02     0.622868741E-01
    -0.827384611E+00     0.158630173E+00    -0.618555085E-01     0.863014555E-03     0.621614784E-01
    -0.825418001E+00     0.158217805E+00    -0.613413152E-01     0.514810451E-03     0.620330762E-01
    -0.823441323E+00     0.157808201E+00    -0.608298405E-01     0.166805621E-03     0.619017853E-01
    -0.821454600E+00     0.157401428E+00    -0.603210220E-01    -0.180984353E-03     0.617677186E-01
    -0.819457857E+00     0.156997553E+00    -0.598147970E-01    -0.528545762E-03     0.616309849E-01
    -0.817451117E+00     0.156596636E+00    -0.593111032E-01    -0.875866661E-03     0.614916884E-01
    -0.815434407E+00     0.156198737E+00    -0.588098788E-01    -0.122293675E-02     0.613499288E-01
    -0.813407749E+00     0.155803909E+00    -0.583110626E-01    -0.156974726E-02     0.612058013E-01
    -0.811371170E+00     0.155412206E+00    -0.578145942E-01    -0.191629079E-02     0.610593967E-01
    -0.809324693E+00     0.155023677E+00    -0.573204143E-01    -0.226256119E-02     0.609108015E-01
    -0.807268344E+00     0.154638369E+00    -0.568284644E-01    -0.260855339E-02     0.607600978E-01
    -0.805202147E+00     0.154256325E+00    -0.563386878E-01    -0.295426329E-02     0.606073639E-01
    -0.803126129E+00     0.153877588E+00    -0.558510287E-01    -0.329968757E-02     0.604526742E-01
    -0.801040314E+00     0.153502196E+00    -0.553654329E-01    -0.364482357E-02     0.602960992E-01
    -0.798944727E+00     0.153130187E+00    -0.548818480E-01    -0.398966916E-02     0.601377062E-01
    -0.796839395E+00     0.152761597E+00    -0.544002226E-01    -0.433422257E-02     0.599775591E-01
    -0.794724343E+00     0.152396459E+00    -0.539205075E-01    -0.467848234E-02     0.598157191E-01
    -0.792599596E+00     0.152034805E+00    -0.534426545E-01    -0.502244711E-02     0.596522443E-01
    -0.790465181E+00     0.151676665E+00    -0.529666172E-01    -0.536611560E-02     0.594871905E-01
    -0.788321124E+00     0.151322068E+00    -0.524923508E-01    -0.570948648E-02     0.593206112E-01
    -0.786167451E+00     0.150971042E+00    -0.520198116E-01    -0.605255832E-02     0.591525581E-01
    -0.784004188E+00     0.150623614E+00    -0.515489575E-01    -0.639532950E-02     0.589830807E-01
    -0.781831362E+00     0.150279810E+00    -0.510797474E-01    -0.673779817E-02     0.588122274E-01
    -0.779648998E+00     0.149939653E+00    -0.506121415E-01    -0.707996223E-02     0.586400449E-01
    -0.777457124E+00     0.149603168E+00    -0.501461008E-01    -0.742181931E-02     0.584665789E-01
    -0.775255767E+00     0.149270378E+00    -0.496815873E-01    -0.776336673E-02     0.582918740E-01
    -0.773044953E+00     0.148941305E+00    -0.492185636E-01    -0.810460153E-02     0.581159740E-01
    -0.770824709E+00     0.148615969E+00    -0.487569929E-01    -0.844552051E-02     0.579389219E-01
    -0.768595062E+00     0.148294393E+00    -0.482968389E-01    -0.878612019E-02     0.577607601E-01
    -0.766356040E+00     0.147976595E+00    -0.478380656E-01    -0.912639691E-02     0.575815304E-01
    -0.764107670E+00     0.147662596E+00    -0.473806368E-01    -0.946634683E-02     0.574012741E-01
    -0.761849979E+00     0.147352414E+00    -0.469245169E-01    -0.980596600E-02     0.572200320E-01
    -0.759582994E+00     0.147046066E+00    -0.464696697E-01    -0.101452504E-01     0.570378445E-01
    -0.757306744E+00     0.146743571E+00    -0.460160591E-01    -0.104841960E-01     0.568547517E-01
    -0.755021257E+00     0.146444945E+00    -0.455636486E-01    -0.108227989E-01     0.566707928E-01
    -0.752726559E+00     0.146150205E+00    -0.451124012E-01    -0.111610553E-01     0.564860070E-01
    -0.750422679E+00     0.145859366E+00    -0.446622796E-01    -0.114989613E-01     0.563004325E-01
    -0.748109646E+00     0.145572443E+00    -0.442132460E-01    -0.118365137E-01     0.561141072E-01
    -0.745787487E+00     0.145289451E+00    -0.437652617E-01    -0.121737093E-01     0.559270683E-01
    -0.743456231E+00     0.145010405E+00    -0.433182879E-01    -0.125105452E-01     0.557393522E-01
    -0.741115906E+00     0.144735316E+00    -0.428722847E-01    -0.128470191E-01     0.555509944E-01
    -0.738766540E+00     0.144464200E+00    -0.424272120E-01    -0.131831289E-01     0.553620296E-01
    -0.736408163E+00     0.144197067E+00    -0.419830288E-01    -0.135188731E-01     0.551724916E-01
    -0.734040803E+00     0.143933931E+00    -0.415396936E-01    -0.138542507E-01     0.549824131E-01
    -0.731664489E+00     0.143674803E+00    -0.410971646E-01    -0.141892611E-01     0.547918258E-01
    -0.729279250E+00     0.143419695E+00    -0.406553990E-01    -0.145239043E-01     0.546007599E-01
    -0.726885115E+00     0.143168618E+00    -0.402143541E-01    -0.148581809E-01     0.544092449E-01
    -0.724482113E+00     0.142921583E+00    -0.397739864E-01    -0.151920919E-01     0.542173087E-01
    -0.722070274E+00     0.142678601E+00    -0.393342524E-01    -0.155256389E-01     0.540249780E-01
    -0.719649627E+00     0.142439682E+00    -0.388951081E-01    -0.158588240E-01     0.538322783E-01
    -0.717220202E+00     0.142204837E+00    -0.384565095E-01    -0.161916499E-01     0.536392335E-01
    -0.714782027E+00     0.141974076E+00    -0.380184126E-01    -0.165241197E-01     0.534458664E-01
    -0.712335134E+00     0.141747409E+00    -0.375807732E-01    -0.168562371E-01     0.532521986E-01
    -0.709879551E+00     0.141524847E+00    -0.371435472E-01    -0.171880060E-01     0.530582503E-01
    -0.707415310E+00     0.141306398E+00    -0.367066907E-01    -0.175194309E-01     0.528640402E-01
    -0.704942438E+00     0.141092074E+00    -0.362701600E-01    -0.178505166E-01     0.526695863E-01
    -0.702460968E+00     0.140881885E+00    -0.358339118E-01    -0.181812683E-01     0.524749051E-01
    -0.699970929E+00     0.140675839E+00    -0.353979028E-01    -0.185116916E-01     0.522800121E-01
    -0.697472352E+00     0.140473947E+00    -0.349620904E-01    -0.188417921E-01     0.520849218E-01
    -0.694965267E+00     0.140276219E+00    -0.345264322E-01    -0.191715759E-01     0.518896478E-01
    -0.692449704E+00     0.140082665E+00    -0.340908866E-01    -0.195010492E-01     0.516942028E-01
    -0.689925695E+00     0.139893293E+00    -0.336554121E-01    -0.198302183E-01     0.514985986E-01
    -0.687393270E+00     0.139708114E+00    -0.332199678E-01    -0.201590898E-01     0.513028465E-01
    -0.684852459E+00     0.139527137E+00    -0.327845136E-01    -0.204876703E-01     0.511069571E-01
    -0.682303295E+00     0.139350370E+00    -0.323490096E-01    -0.208159664E-01     0.509109403E-01
    -0.679745808E+00     0.139177824E+00    -0.319134165E-01    -0.211439848E-01     0.507148058E-01
    -0.677180029E+00     0.139009507E+00    -0.314776956E-01    -0.214717323E-01     0.505185626E-01
    -0.674605990E+00     0.138845426E+00    -0.310418087E-01    -0.217992156E-01     0.503222196E-01
    -0.672023722E+00     0.138685591E+00    -0.306057178E-01    -0.221264414E-01     0.501257853E-01
    -0.669433257E+00     0.138530009E+00    -0.301693858E-01    -0.224534161E-01     0.499292680E-01
    -0.666834625E+00     0.138378688E+00    -0.297327756E-01    -0.227801464E-01     0.497326758E-01
    -0.664227859E+00     0.138231636E+00    -0.292958506E-01    -0.231066385E-01     0.495360166E-01
    -0.661612991E+00     0.138088858E+00    -0.288585745E-01    -0.234328988E-01     0.493392982E-01
    -0.658990052E+00     0.137950363E+00    -0.284209114E-01    -0.237589334E-01     0.491425283E-01
    -0.656359075E+00     0.137816155E+00    -0.279828256E-01    -0.240847481E-01     0.489457144E-01
    -0.653720092E+00     0.137686241E+00    -0.275442813E-01    -0.244103487E-01     0.487488640E-01
    -0.651073134E+00     0.137560628E+00    -0.271052433E-01    -0.247357408E-01     0.485519843E-01
    -0.648418234E+00     0.137439319E+00    -0.266656762E-01    -0.250609296E-01     0.483550825E-01
    -0.645755425E+00     0.137322321E+00    -0.262255448E-01    -0.253859204E-01     0.481581656E-01
    -0.643084738E+00     0.137209638E+00    -0.257848138E-01    -0.257107180E-01     0.479612401E-01
    -0.640406207E+00     0.137101275E+00    -0.253434479E-01    -0.260353272E-01     0.477643127E-01
    -0.637719864E+00     0.136997238E+00    -0.249014118E-01    -0.263597522E-01     0.475673894E-01
    -0.635025743E+00     0.136897529E+00    -0.244586701E-01    -0.266839973E-01     0.473704760E-01
    -0.632323875E+00     0.136802155E+00    -0.240151872E-01    -0.270080666E-01     0.471735781E-01
    -0.629614293E+00     0.136711120E+00    -0.235709275E-01    -0.273319637E-01     0.469767005E-01
    -0.626897032E+00     0.136624429E+00    -0.231258550E-01    -0.276556922E-01     0.467798477E-01
    -0.624172124E+00     0.136542086E+00    -0.226799337E-01    -0.279792553E-01     0.465830236E-01
    -0.621439601E+00     0.136464098E+00    -0.222331273E-01    -0.283026563E-01     0.463862317E-01
    -0.618699499E+00     0.136390468E+00    -0.217853993E-01    -0.286258981E-01     0.461894746E-01
    -0.615951849E+00     0.136321204E+00    -0.213367129E-01    -0.289489834E-01     0.459927544E-01
    -0.613196686E+00     0.136256311E+00    -0.208870311E-01    -0.292719151E-01     0.457960725E-01
    -0.610434042E+00     0.136195797E+00    -0.204363166E-01    -0.295946955E-01     0.455994297E-01
