#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 mie3
# Used material is:
 lwat
# Number of phase matrix elements :
           4
# number of wavelengths
           1
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
     0.550000000E+00    901     0.859542345E+03     0.999999468E+00    -0.327680000E+05
# Phase matrix
# lambda =      0.5500
#         u                 F11              F44               F21               F34
    -0.976833514E+00     0.102836229E+00    -0.899304815E-02     0.181675293E-01     0.630579822E-02
    -0.976080142E+00     0.102952135E+00    -0.877774926E-02     0.179889772E-01     0.638968600E-02
    -0.975314863E+00     0.103068242E+00    -0.853194720E-02     0.178075611E-01     0.646476863E-02
    -0.974537687E+00     0.103181041E+00    -0.826851562E-02     0.176078177E-01     0.653057613E-02
    -0.973748624E+00     0.103299312E+00    -0.800920649E-02     0.173906597E-01     0.659400696E-02
    -0.972947682E+00     0.103440747E+00    -0.776344060E-02     0.171677984E-01     0.666288473E-02
    -0.972134872E+00     0.103617632E+00    -0.751664521E-02     0.169515945E-01     0.673946382E-02
    -0.971310204E+00     0.103823867E+00    -0.724103155E-02     0.167472873E-01     0.681837056E-02
    -0.970473688E+00     0.104039205E+00    -0.692075966E-02     0.165491336E-01     0.689182554E-02
    -0.969625334E+00     0.104247978E+00    -0.656890148E-02     0.163428138E-01     0.695854853E-02
    -0.968765151E+00     0.104452781E+00    -0.621892955E-02     0.161164950E-01     0.702660245E-02
    -0.967893152E+00     0.104670897E+00    -0.589629667E-02     0.158740532E-01     0.710550833E-02
    -0.967009346E+00     0.104919801E+00    -0.559630892E-02     0.156357391E-01     0.719585959E-02
    -0.966113744E+00     0.105204471E+00    -0.529003320E-02     0.154208713E-01     0.728868504E-02
    -0.965206358E+00     0.105513694E+00    -0.495170553E-02     0.152286477E-01     0.737540882E-02
    -0.964287197E+00     0.105827366E+00    -0.457954956E-02     0.150388306E-01     0.745642337E-02
    -0.963356274E+00     0.106131726E+00    -0.419163580E-02     0.148320604E-01     0.753823572E-02
    -0.962413600E+00     0.106430892E+00    -0.380619825E-02     0.146064121E-01     0.762327721E-02
    -0.961459186E+00     0.106742270E+00    -0.342831595E-02     0.143731680E-01     0.770535202E-02
    -0.960493044E+00     0.107079469E+00    -0.305171060E-02     0.141413581E-01     0.777658062E-02
    -0.959515186E+00     0.107441374E+00    -0.266731980E-02     0.139110965E-01     0.783710395E-02
    -0.958525623E+00     0.107817746E+00    -0.226911729E-02     0.136792259E-01     0.789485102E-02
    -0.957524368E+00     0.108201191E+00    -0.185593947E-02     0.134443732E-01     0.795501579E-02
    -0.956511432E+00     0.108590755E+00    -0.143093479E-02     0.132036828E-01     0.801257123E-02
    -0.955486829E+00     0.108986758E+00    -0.998417875E-03     0.129481972E-01     0.805857734E-02
    -0.954450571E+00     0.109387386E+00    -0.559567367E-03     0.126667092E-01     0.809422128E-02
    -0.953402670E+00     0.109792086E+00    -0.111335314E-03     0.123568468E-01     0.813551025E-02
    -0.952343139E+00     0.110205519E+00     0.349688623E-03     0.120310621E-01     0.820097408E-02
    -0.951271992E+00     0.110634541E+00     0.822591328E-03     0.117075466E-01     0.829495031E-02
    -0.950189240E+00     0.111080802E+00     0.130213989E-02     0.113923827E-01     0.840543720E-02
    -0.949094898E+00     0.111538986E+00     0.178389745E-02     0.110724595E-01     0.851910372E-02
    -0.947988979E+00     0.112004142E+00     0.226872291E-02     0.107300452E-01     0.863617766E-02
    -0.946871496E+00     0.112478376E+00     0.276073349E-02     0.103652421E-01     0.876848017E-02
    -0.945742462E+00     0.112967090E+00     0.326029295E-02     0.100011170E-01     0.892408318E-02
    -0.944601893E+00     0.113470179E+00     0.376084980E-02     0.966469790E-02     0.909773744E-02
    -0.943449801E+00     0.113981653E+00     0.425495317E-02     0.936474445E-02     0.927818075E-02
    -0.942286200E+00     0.114498367E+00     0.474295172E-02     0.909044763E-02     0.946141801E-02
    -0.941111105E+00     0.115024356E+00     0.523346933E-02     0.883009454E-02     0.965147751E-02
    -0.939924530E+00     0.115564107E+00     0.573464616E-02     0.858630867E-02     0.984742712E-02
