#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 unknown 
# Used material is:
 unknown 
# Number of phase matrix elements : 
 4 
# number of wavelengths 
    91
#  lambda         nteta          Cext               SSA                g 
 4.0000000e-01      498       1.8133337e+01          1.0000000e+00          -32768.0 
 4.1000000e-01      498       1.8162029e+01          1.0000000e+00          -32768.0 
 4.2000000e-01      498       1.8190721e+01          1.0000000e+00          -32768.0 
 4.3000000e-01      498       1.8162029e+01          1.0000000e+00          -32768.0 
 4.4000000e-01      498       1.8133337e+01          1.0000000e+00          -32768.0 
 4.5000000e-01      498       1.8162029e+01          1.0000000e+00          -32768.0 
 4.6000000e-01      498       1.8190721e+01          1.0000000e+00          -32768.0 
 4.7000000e-01      498       1.8133337e+01          1.0000000e+00          -32768.0 
 4.8000000e-01      498       1.8190721e+01          1.0000000e+00          -32768.0 
 4.9000000e-01      498       1.8162029e+01          1.0000000e+00          -32768.0 
 5.0000000e-01      498       1.8162029e+01          1.0000000e+00          -32768.0 
 5.1000000e-01      498       1.8133337e+01          1.0000000e+00          -32768.0 
 5.2000000e-01      498       1.8190721e+01          1.0000000e+00          -32768.0 
 5.3000000e-01      498       1.8162029e+01          1.0000000e+00          -32768.0 
 5.4000000e-01      498       1.8133337e+01          1.0000000e+00          -32768.0 
 5.5000000e-01      498       1.8190721e+01          1.0000000e+00          -32768.0 
 5.6000000e-01      498       1.8133337e+01          1.0000000e+00          -32768.0 
 5.7000000e-01      498       1.8104645e+01          1.0000000e+00          -32768.0 
 5.8000000e-01      498       1.8190721e+01          1.0000000e+00          -32768.0 
 5.9000000e-01      498       1.8162029e+01          1.0000000e+00          -32768.0 
 6.0000000e-01      498       1.8162029e+01          1.0000000e+00          -32768.0 
 6.1000000e-01      498       1.8133337e+01          1.0000000e+00          -32768.0 
 6.2000000e-01      498       1.8190721e+01          1.0000000e+00          -32768.0 
 6.3000000e-01      498       1.8190721e+01          1.0000000e+00          -32768.0 
 6.4000000e-01      498       1.8104645e+01          1.0000000e+00          -32768.0 
 6.5000000e-01      498       1.8190721e+01          1.0000000e+00          -32768.0 
 6.6000000e-01      498       1.8190721e+01          1.0000000e+00          -32768.0 
 6.7000000e-01      498       1.8162029e+01          1.0000000e+00          -32768.0 
 6.8000000e-01      498       1.8162029e+01          1.0000000e+00          -32768.0 
 6.9000000e-01      498       1.8133337e+01          1.0000000e+00          -32768.0 
 7.0000000e-01      498       1.8133337e+01          1.0000000e+00          -32768.0 
 7.1000000e-01      498       1.8162029e+01          9.9990000e-01          -32768.0 
 7.2000000e-01      498       1.8162029e+01          9.9990000e-01          -32768.0 
 7.3000000e-01      498       1.8104645e+01          9.9990000e-01          -32768.0 
 7.4000000e-01      498       1.8162029e+01          9.9990000e-01          -32768.0 
 7.5000000e-01      498       1.8219413e+01          9.9990000e-01          -32768.0 
 7.6000000e-01      498       1.8162029e+01          9.9990000e-01          -32768.0 
 7.7000000e-01      498       1.8075953e+01          9.9990000e-01          -32768.0 
 7.8000000e-01      498       1.8104645e+01          9.9980000e-01          -32768.0 
 7.9000000e-01      498       1.8248105e+01          9.9980000e-01          -32768.0 
 8.0000000e-01      498       1.8276797e+01          9.9980000e-01          -32768.0 
 8.1000000e-01      498       1.8133337e+01          9.9980000e-01          -32768.0 
 8.2000000e-01      498       1.8047261e+01          9.9980000e-01          -32768.0 
 8.3000000e-01      498       1.8104645e+01          9.9980000e-01          -32768.0 
 8.4000000e-01      498       1.8190721e+01          9.9980000e-01          -32768.0 
 8.5000000e-01      498       1.8219413e+01          9.9970000e-01          -32768.0 
 8.6000000e-01      498       1.8190721e+01          9.9970000e-01          -32768.0 
 8.7000000e-01      498       1.8133337e+01          9.9960000e-01          -32768.0 
 8.8000000e-01      498       1.8104645e+01          9.9960000e-01          -32768.0 
 8.9000000e-01      498       1.8162029e+01          9.9950000e-01          -32768.0 
 9.0000000e-01      498       1.8190721e+01          9.9950000e-01          -32768.0 
 9.1000000e-01      498       1.8190721e+01          9.9940000e-01          -32768.0 
