#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 mie3
# Used material is:
 lwat
# Number of phase matrix elements :
           4
# number of wavelengths
           4
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
     0.550000000E+00   2800     0.697526463E+02     0.999999795E+00     0.841898766E+00
     0.190493500E+01   2800     0.799866099E+02     0.968812977E+00     0.797054568E+00
     0.194193100E+01   2800     0.804542378E+02     0.959473806E+00     0.800221082E+00
     0.198039200E+01   2800     0.809846184E+02     0.969110234E+00     0.799412927E+00
# Phase matrix
# lambda =      0.5500
#         u                 F11              F44               F21               F34
    -0.997825894E+00     0.481049489E+00     0.270854331E+00     0.955267255E-01     0.298383767E-01
    -0.997751281E+00     0.477608749E+00     0.268579917E+00     0.972764207E-01     0.323616056E-01
    -0.997675410E+00     0.473914187E+00     0.266012870E+00     0.987926696E-01     0.347207237E-01
    -0.997598282E+00     0.469991961E+00     0.263187292E+00     0.100088223E+00     0.369182807E-01
    -0.997519897E+00     0.465867387E+00     0.260134980E+00     0.101175732E+00     0.389574241E-01
    -0.997440254E+00     0.461564791E+00     0.256885491E+00     0.102067656E+00     0.408418357E-01
    -0.997359355E+00     0.457107386E+00     0.253466222E+00     0.102776198E+00     0.425756711E-01
    -0.997277198E+00     0.452517186E+00     0.249902511E+00     0.103313246E+00     0.441635043E-01
    -0.997193785E+00     0.447814941E+00     0.246217737E+00     0.103690337E+00     0.456102749E-01
    -0.997109115E+00     0.443020102E+00     0.242433438E+00     0.103918625E+00     0.469212372E-01
    -0.997023189E+00     0.438150804E+00     0.238569431E+00     0.104008864E+00     0.481019106E-01
    -0.996936006E+00     0.433223870E+00     0.234643924E+00     0.103971400E+00     0.491580311E-01
    -0.996847567E+00     0.428254829E+00     0.230673642E+00     0.103816170E+00     0.500955032E-01
    -0.996757871E+00     0.423257948E+00     0.226673936E+00     0.103552703E+00     0.509203517E-01
    -0.996666920E+00     0.418246273E+00     0.222658895E+00     0.103190127E+00     0.516386736E-01
    -0.996574712E+00     0.413231682E+00     0.218641445E+00     0.102737184E+00     0.522565913E-01
    -0.996481248E+00     0.408224935E+00     0.214633446E+00     0.102202237E+00     0.527802053E-01
    -0.996386529E+00     0.403235739E+00     0.210645776E+00     0.101593286E+00     0.532155490E-01
    -0.996290554E+00     0.398272805E+00     0.206688406E+00     0.100917980E+00     0.535685450E-01
    -0.996193323E+00     0.393343917E+00     0.202770464E+00     0.100183635E+00     0.538449642E-01
    -0.996094837E+00     0.388455992E+00     0.198900300E+00     0.993972422E-01     0.540503884E-01
    -0.995995096E+00     0.383615150E+00     0.195085524E+00     0.985654845E-01     0.541901765E-01
    -0.995894099E+00     0.378826779E+00     0.191333054E+00     0.976947494E-01     0.542694364E-01
    -0.995791848E+00     0.374095598E+00     0.187649143E+00     0.967911402E-01     0.542930017E-01
    -0.995688341E+00     0.369425730E+00     0.184039407E+00     0.958604884E-01     0.542654154E-01
    -0.995583580E+00     0.364820758E+00     0.180508841E+00     0.949083643E-01     0.541909196E-01
    -0.995477564E+00     0.360283798E+00     0.177061831E+00     0.939400873E-01     0.540734520E-01
    -0.995370293E+00     0.355817558E+00     0.173702163E+00     0.929607343E-01     0.539166496E-01
    -0.995261768E+00     0.351424395E+00     0.170433021E+00     0.919751469E-01     0.537238591E-01
    -0.995151989E+00     0.347106376E+00     0.167256990E+00     0.909879367E-01     0.534981536E-01
