#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00      8   1900     0.356587649E+00     0.200000522E+01     0.100000000E+01     0.100000000E+01    -0.327680000E+05
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.997351910E+00     0.536977533E+00     0.188211819E+00    -0.188276334E+00     0.158856292E+00    -0.654983476E-02    -0.118850859E-01
    -0.997230230E+00     0.537281715E+00     0.188259822E+00    -0.188330335E+00     0.159061305E+00    -0.684529219E-02    -0.124213607E-01
    -0.997105820E+00     0.537591475E+00     0.188308566E+00    -0.188385482E+00     0.159270071E+00    -0.714688174E-02    -0.129687796E-01
    -0.996978680E+00     0.537906730E+00     0.188358032E+00    -0.188441769E+00     0.159482538E+00    -0.745457085E-02    -0.135272843E-01
    -0.996848810E+00     0.538227398E+00     0.188408195E+00    -0.188499193E+00     0.159698648E+00    -0.776832628E-02    -0.140968155E-01
    -0.996716220E+00     0.538553371E+00     0.188459030E+00    -0.188557744E+00     0.159918328E+00    -0.808809006E-02    -0.146772689E-01
    -0.996580900E+00     0.538884586E+00     0.188510519E+00    -0.188617422E+00     0.160141536E+00    -0.841385180E-02    -0.152686266E-01
    -0.996442850E+00     0.539220956E+00     0.188562637E+00    -0.188678222E+00     0.160368214E+00    -0.874557633E-02    -0.158708258E-01
    -0.996302070E+00     0.539562393E+00     0.188615361E+00    -0.188740138E+00     0.160598301E+00    -0.908322779E-02    -0.164838024E-01
    -0.996158570E+00     0.539908781E+00     0.188668663E+00    -0.188803160E+00     0.160831720E+00    -0.942674578E-02    -0.171074479E-01
    -0.996012340E+00     0.540260053E+00     0.188722524E+00    -0.188867288E+00     0.161068426E+00    -0.977611720E-02    -0.177417396E-01
    -0.995863380E+00     0.540616116E+00     0.188776917E+00    -0.188932517E+00     0.161308354E+00    -0.101313043E-01    -0.183866099E-01
    -0.995711700E+00     0.540976850E+00     0.188831815E+00    -0.188998835E+00     0.161551425E+00    -0.104922449E-01    -0.190419472E-01
    -0.995557290E+00     0.541342182E+00     0.188887196E+00    -0.189066242E+00     0.161797590E+00    -0.108589238E-01    -0.197077251E-01
    -0.995400160E+00     0.541711993E+00     0.188943030E+00    -0.189134727E+00     0.162046767E+00    -0.112312777E-01    -0.203838299E-01
    -0.995240310E+00     0.542086182E+00     0.188999291E+00    -0.189204284E+00     0.162298889E+00    -0.116092666E-01    -0.210701898E-01
    -0.995077730E+00     0.542464672E+00     0.189055956E+00    -0.189274911E+00     0.162553905E+00    -0.119928733E-01    -0.217667750E-01
    -0.994912420E+00     0.542847361E+00     0.189112998E+00    -0.189346603E+00     0.162811744E+00    -0.123820563E-01    -0.224735115E-01
    -0.994744400E+00     0.543234100E+00     0.189170385E+00    -0.189419342E+00     0.163072307E+00    -0.127767265E-01    -0.231902388E-01
    -0.994573650E+00     0.543624830E+00     0.189228093E+00    -0.189493133E+00     0.163335555E+00    -0.131768885E-01    -0.239169663E-01
    -0.994400180E+00     0.544019422E+00     0.189286094E+00    -0.189567963E+00     0.163601399E+00    -0.135824756E-01    -0.246535744E-01
    -0.994223990E+00     0.544417769E+00     0.189344359E+00    -0.189643826E+00     0.163869769E+00    -0.139934440E-01    -0.253999849E-01
    -0.994045080E+00     0.544819762E+00     0.189402858E+00    -0.189720714E+00     0.164140590E+00    -0.144097495E-01    -0.261561188E-01
    -0.993863440E+00     0.545225314E+00     0.189461568E+00    -0.189798625E+00     0.164413805E+00    -0.148313704E-01    -0.269219380E-01
    -0.993679090E+00     0.545634268E+00     0.189520452E+00    -0.189877542E+00     0.164689308E+00    -0.152582148E-01    -0.276972772E-01
