#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
          15
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
      1     0.206384281E+01     0.000000000E+00     0.000000000E+00     0.214411247E+01     0.000000000E+00     0.000000000E+00
      2     0.279956701E+01     0.392002156E+01     0.368277883E+01     0.273263669E+01     0.169533207E-01    -0.996885970E-01
      3     0.245740080E+01     0.319557854E+01     0.321624080E+01     0.256464145E+01    -0.152308050E-01     0.733641428E-01
      4     0.255810987E+01     0.294495377E+01     0.279981941E+01     0.253107593E+01     0.343069852E-02    -0.958603239E-01
      5     0.217377797E+01     0.245172012E+01     0.239559615E+01     0.214230656E+01    -0.143305545E+00     0.227726931E+00
      6     0.180459648E+01     0.211794787E+01     0.206581307E+01     0.170787901E+01    -0.843495157E-01    -0.620459712E-01
      7     0.946304432E+00     0.110735264E+01     0.118410819E+01     0.967772161E+00    -0.196984502E+00     0.937994793E-01
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      4.1494
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.886805287E+00     0.000000000E+00     0.000000000E+00
      1     0.211171140E+01     0.000000000E+00     0.000000000E+00     0.214353126E+01     0.000000000E+00     0.000000000E+00
      2     0.284282374E+01     0.392674667E+01     0.370256782E+01     0.278879706E+01    -0.437057556E-01    -0.647832948E-01
      3     0.254321239E+01     0.331670012E+01     0.326844695E+01     0.260498957E+01    -0.320691263E-01     0.481524407E-01
      4     0.252742692E+01     0.296934262E+01     0.284459788E+01     0.256152203E+01     0.109583658E-01    -0.192537896E+00
      5     0.212581340E+01     0.246225285E+01     0.234897277E+01     0.214064707E+01     0.158816858E-01     0.769411870E-01
      6     0.176241435E+01     0.211609925E+01     0.196358704E+01     0.164559757E+01     0.638415921E-01    -0.124540018E+00
      7     0.945171533E+00     0.110867809E+01     0.114418259E+01     0.967701463E+00     0.332136091E-01     0.100530107E-01
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      4.1841
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.100000000E+01     0.000000000E+00     0.000000000E+00     0.849442816E+00     0.000000000E+00     0.000000000E+00
      1     0.207505507E+01     0.000000000E+00     0.000000000E+00     0.205260103E+01     0.000000000E+00     0.000000000E+00
      2     0.277860593E+01     0.384026852E+01     0.359000574E+01     0.267033093E+01    -0.102057381E+00    -0.907911079E-01
      3     0.247336190E+01     0.321165985E+01     0.311428435E+01     0.243235000E+01    -0.432041560E-01     0.339992842E-01
      4     0.241036021E+01     0.282169847E+01     0.271867927E+01     0.243297019E+01     0.388656776E-01    -0.264809410E+00
      5     0.199875734E+01     0.234595159E+01     0.218266796E+01     0.199618875E+01     0.182731265E+00     0.134917825E-01
      6     0.164777535E+01     0.201580641E+01     0.180960623E+01     0.154180769E+01     0.259417256E+00    -0.139046957E+00
