#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
         184
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext (microns^2)       SSA              g 
     0.685060000E+00      8     0.505457930E+00     0.678540932E+03     0.999995563E+00     0.877889439E+00
     0.696873000E+00      8     0.485416990E+00     0.665041828E+03     0.999993878E+00     0.857064738E+00
     0.701763000E+00      8     0.477025672E+00     0.650031621E+03     0.999993360E+00     0.847666273E+00
     0.706723000E+00      8     0.473704595E+00     0.641320632E+03     0.999991788E+00     0.856037891E+00
     0.711753000E+00      8     0.468163796E+00     0.630807511E+03     0.999989999E+00     0.868481945E+00
     0.716855000E+00      8     0.462732992E+00     0.627221990E+03     0.999986992E+00     0.863378057E+00
     0.722031000E+00      8     0.467362497E+00     0.631304374E+03     0.999985487E+00     0.854205814E+00
     0.727282000E+00      8     0.476317517E+00     0.651705142E+03     0.999981965E+00     0.850115522E+00
     0.732611000E+00      8     0.486994013E+00     0.655360949E+03     0.999983140E+00     0.871091756E+00
     0.738017000E+00      8     0.491827718E+00     0.665553919E+03     0.999975863E+00     0.871631221E+00
     0.743505000E+00      8     0.499656398E+00     0.683143115E+03     0.999977917E+00     0.857453674E+00
     0.749074000E+00      8     0.505830729E+00     0.695113794E+03     0.999977056E+00     0.854498628E+00
     0.754728000E+00      8     0.511826942E+00     0.691494329E+03     0.999978811E+00     0.873755546E+00
     0.760467000E+00      8     0.506769246E+00     0.682289451E+03     0.999979816E+00     0.879714377E+00
     0.766295000E+00      8     0.495200966E+00     0.677606750E+03     0.999978445E+00     0.861926934E+00
     0.772212000E+00      8     0.490833509E+00     0.671641788E+03     0.999979111E+00     0.852183097E+00
     0.778222000E+00      8     0.483183142E+00     0.658606113E+03     0.999980095E+00     0.861901575E+00
     0.784326000E+00      8     0.471693504E+00     0.639140524E+03     0.999981124E+00     0.871622499E+00
     0.790526000E+00      8     0.458582092E+00     0.628239990E+03     0.999979218E+00     0.857291778E+00
     0.796825000E+00      8     0.458772785E+00     0.634841092E+03     0.999980637E+00     0.841005534E+00
     0.803226000E+00      8     0.462607573E+00     0.637041005E+03     0.999980220E+00     0.853330126E+00
     0.809730000E+00      8     0.462773384E+00     0.649687166E+03     0.999961034E+00     0.851409772E+00
     0.816340000E+00      8     0.472881114E+00     0.641640821E+03     0.999974579E+00     0.865822979E+00
     0.823059000E+00      8     0.482335902E+00     0.668623213E+03     0.999968963E+00     0.846970682E+00
     0.829890000E+00      8     0.497232670E+00     0.682809809E+03     0.999969003E+00     0.861790826E+00
     0.836835000E+00      8     0.504225211E+00     0.687696348E+03     0.999967179E+00     0.875071379E+00
     0.843897000E+00      8     0.506602505E+00     0.686575926E+03     0.999964237E+00     0.875877387E+00
