#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
         209
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext      SSA              g 
     0.413251000E+00      8     0.488032320E+00     0.641728780E+03     0.999999556E+00     0.858845544E+00
     0.420198000E+00      8     0.485563727E+00     0.645708697E+03     0.999999591E+00     0.853407205E+00
     0.427382000E+00      8     0.507549791E+00     0.661825142E+03     0.999999677E+00     0.871379317E+00
     0.434815000E+00      8     0.496606762E+00     0.655299981E+03     0.999999682E+00     0.865680414E+00
     0.442513000E+00      8     0.475751483E+00     0.637849927E+03     0.999999594E+00     0.859468063E+00
     0.450487000E+00      8     0.499679742E+00     0.650004618E+03     0.999999763E+00     0.878707096E+00
     0.458754000E+00      8     0.510127554E+00     0.663654575E+03     0.999999774E+00     0.880374219E+00
     0.467331000E+00      8     0.488720768E+00     0.637854433E+03     0.999999773E+00     0.873198621E+00
     0.476234000E+00      8     0.489145181E+00     0.638916802E+03     0.999999762E+00     0.871945136E+00
     0.485483000E+00      8     0.511440528E+00     0.668754471E+03     0.999999792E+00     0.876383394E+00
     0.495098000E+00      8     0.502884844E+00     0.658676545E+03     0.999999784E+00     0.872040072E+00
     0.505102000E+00      8     0.483376250E+00     0.635964200E+03     0.999999760E+00     0.863022576E+00
     0.515519000E+00      8     0.500566621E+00     0.661459861E+03     0.999999745E+00     0.861910924E+00
     0.526374000E+00      8     0.510457121E+00     0.677909512E+03     0.999999599E+00     0.861614276E+00
     0.537697000E+00      8     0.485957300E+00     0.646640399E+03     0.999999645E+00     0.855609693E+00
     0.549517000E+00      8     0.479132227E+00     0.646357828E+03     0.999999551E+00     0.850543854E+00
     0.550000000E+00      8     0.480565659E+00     0.637321376E+03     0.999999579E+00     0.863741728E+00
     0.561869000E+00      8     0.502550907E+00     0.678501718E+03     0.999999411E+00     0.856027720E+00
     0.574789000E+00      8     0.501150151E+00     0.665910897E+03     0.999999304E+00     0.863871919E+00
     0.588317000E+00      8     0.475226855E+00     0.633408234E+03     0.999998466E+00     0.859183665E+00
     0.602497000E+00      8     0.485537357E+00     0.652349787E+03     0.999997825E+00     0.863181160E+00
     0.617378000E+00      8     0.500243431E+00     0.688441530E+03     0.999996283E+00     0.859621910E+00
     0.633013000E+00      8     0.487848348E+00     0.648172328E+03     0.999997477E+00     0.872936778E+00
     0.649460000E+00      8     0.472022689E+00     0.628214839E+03     0.999997203E+00     0.870148885E+00
     0.666785000E+00      8     0.493265186E+00     0.677523964E+03     0.999995556E+00     0.859843005E+00
     0.685060000E+00      8     0.502386528E+00     0.685526065E+03     0.999995461E+00     0.869182801E+00
     0.696873000E+00      8     0.492417901E+00     0.658346309E+03     0.999994611E+00     0.868290450E+00
     0.701763000E+00      8     0.480560160E+00     0.664401745E+03     0.999993189E+00     0.839865290E+00
     0.706723000E+00      8     0.477004635E+00     0.643800919E+03     0.999992846E+00     0.862508234E+00
     0.711753000E+00      8     0.469089660E+00     0.631695062E+03     0.999991708E+00     0.870031287E+00
     0.716855000E+00      8     0.461704832E+00     0.636471717E+03     0.999988642E+00     0.846366950E+00
     0.722031000E+00      8     0.462415357E+00     0.638115980E+03     0.999987565E+00     0.839480417E+00
     0.727282000E+00      8     0.472861458E+00     0.641163906E+03     0.999985488E+00     0.860045175E+00
     0.732611000E+00      8     0.479596628E+00     0.645092033E+03     0.999981607E+00     0.871683989E+00
     0.738017000E+00      8     0.482155607E+00     0.657612274E+03     0.999977255E+00     0.861129884E+00
     0.743505000E+00      8     0.493396102E+00     0.671840916E+03     0.999975939E+00     0.855461274E+00
     0.749074000E+00      8     0.505017400E+00     0.688425406E+03     0.999968558E+00     0.862890073E+00
     0.754728000E+00      8     0.509190536E+00     0.686060873E+03     0.999974980E+00     0.878522223E+00
     0.760467000E+00      8     0.502107004E+00     0.687273155E+03     0.999969150E+00     0.870050280E+00
     0.766295000E+00      8     0.502169313E+00     0.687945466E+03     0.999976662E+00     0.855945803E+00
     0.772212000E+00      8     0.496875943E+00     0.682233620E+03     0.999978153E+00     0.853724323E+00
     0.778222000E+00      8     0.489282995E+00     0.663501891E+03     0.999978784E+00     0.869931185E+00
     0.784326000E+00      8     0.475262249E+00     0.643431709E+03     0.999980360E+00     0.871607375E+00
     0.790526000E+00      8     0.462702435E+00     0.640867039E+03     0.999978896E+00     0.843619338E+00
     0.796825000E+00      8     0.461673077E+00     0.638587789E+03     0.999980523E+00     0.844518091E+00
     0.803226000E+00      8     0.460029753E+00     0.631729797E+03     0.999981691E+00     0.861578062E+00
     0.809730000E+00      8     0.459945041E+00     0.626058051E+03     0.999982717E+00     0.866928755E+00
     0.816340000E+00      8     0.463786789E+00     0.639282901E+03     0.999980293E+00     0.850178280E+00
     0.823059000E+00      8     0.479844872E+00     0.663598418E+03     0.999979028E+00     0.848084540E+00
     0.829890000E+00      8     0.492892602E+00     0.675622068E+03     0.999975934E+00     0.864878371E+00
     0.836835000E+00      8     0.493472808E+00     0.687949000E+03     0.999963007E+00     0.864281459E+00
     0.843897000E+00      8     0.502633865E+00     0.682972705E+03     0.999969055E+00     0.870627148E+00
     0.851079000E+00      8     0.506145552E+00     0.704294116E+03     0.999963267E+00     0.852996675E+00
     0.858385000E+00      8     0.508857784E+00     0.699111337E+03     0.999965338E+00     0.867849007E+00
     0.865817000E+00      8     0.499892018E+00     0.684230871E+03     0.999962654E+00     0.874901801E+00
     0.873379000E+00      8     0.490110673E+00     0.666717744E+03     0.999957499E+00     0.868927469E+00
     0.881074000E+00      8     0.474802358E+00     0.675221098E+03     0.999943030E+00     0.831342564E+00
     0.888906000E+00      8     0.470173327E+00     0.651186286E+03     0.999945210E+00     0.854319779E+00
     0.896879000E+00      8     0.457516748E+00     0.632565621E+03     0.999942425E+00     0.864172203E+00
     0.904996000E+00      8     0.443559109E+00     0.630201716E+03     0.999921940E+00     0.846727641E+00
     0.913261000E+00      8     0.450805897E+00     0.625109438E+03     0.999916501E+00     0.844401938E+00
     0.921679000E+00      8     0.459832647E+00     0.644957221E+03     0.999896911E+00     0.847635454E+00
     0.930253000E+00      8     0.467708194E+00     0.646694194E+03     0.999874660E+00     0.866798961E+00
     0.938988000E+00      8     0.473449036E+00     0.655054282E+03     0.999833259E+00     0.865113986E+00
     0.947889000E+00      8     0.490899667E+00     0.676494935E+03     0.999754726E+00     0.858072708E+00
